id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
564970,Niviarsiaq,und,"","",,Greenlandic,Justin,2017-10-06T20:05:26Z
47126,Naasut,und,"","",,Greenlandic,John E. Christensen,2017-12-06T07:50:38Z
67800,Orpigaq masarsummiu,und,"","",,Greenlandic,bornfeta,2021-05-02T19:12:15Z
112841,Eqalussuaq,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10083921/common/148615,Greenlandic,,2021-07-14T12:12:21Z
112841,Niialingaq,und,"","",,Greenlandic,Zane Roskoph,2021-08-03T14:27:31Z
4555,Naajavaarsuk,und,"","",,Greenlandic,Zane Roskoph,2021-08-11T12:08:56Z
194027,Pakkaluaq qillaalasortalik,und,"","",,Greenlandic,Alessandro G.,2021-09-11T13:15:36Z
217393,Pakkaluaq sungaartoq,und,"","",,Greenlandic,Alessandro G.,2021-09-11T13:16:49Z
452396,Issittup igutsassua,und,"","",,Greenlandic,Alessandro G.,2021-09-11T13:17:21Z
128994,Aamanganiaq,und,"","",,Greenlandic,Alessandro G.,2021-09-11T13:18:22Z
131056,Minngoq,und,"","",,Greenlandic,Alessandro G.,2021-09-11T13:19:28Z
522058,Issittup sikannertuua,und,"","",,Greenlandic,Alessandro G.,2021-09-11T13:19:58Z
227175,Aasiak sineriammiu,und,"","",,Greenlandic,Alessandro G.,2021-09-11T13:20:31Z
233598,Terianniaq,und,"","",,Greenlandic,Alessandro G.,2021-09-11T13:24:05Z
43126,Ukaleq,und,"","",,Greenlandic,Alessandro G.,2021-09-11T13:25:29Z
238268,Tuttu,und,"","",,Greenlandic,Alessandro G.,2021-09-11T13:28:06Z
42412,Umimmak,und,"","",,Greenlandic,Alessandro G.,2021-09-11T13:28:56Z
41566,Qipoqqaq,und,"","",,Greenlandic,Alessandro G.,2021-09-11T13:34:08Z
41562,Tikaagulliusaaq,und,"","",,Greenlandic,Alessandro G.,2021-09-11T13:35:11Z
74103,Arfiviit,und,"","",,Greenlandic,Alessandro G.,2021-09-11T13:36:08Z
41459,Qilalugaq qernertaq,und,"","",,Greenlandic,Alessandro G.,2021-09-11T13:37:04Z
41461,Qilalugaq qaqortaq,und,"","",,Greenlandic,Alessandro G.,2021-09-11T13:38:30Z
41550,Tikaagullik,und,"","",,Greenlandic,Alessandro G.,2021-09-11T13:39:44Z
41702,Aataaq,und,"","",,Greenlandic,Alessandro G.,2021-09-11T13:42:12Z
41691,Natseq,und,"","",,Greenlandic,Alessandro G.,2021-09-11T13:42:55Z
41706,Natsersuaq,und,"","",,Greenlandic,Alessandro G.,2021-09-11T13:44:05Z
41766,Aaveq,und,"","",,Greenlandic,Alessandro G.,2021-09-11T13:44:54Z
117059,Qupaloraarsuk,und,"","",,Greenlandic,Alessandro G.,2021-09-11T13:45:55Z
12822,Qussaq,und,"","",,Greenlandic,Alessandro G.,2021-09-11T13:46:41Z
5309,Nattoralik,und,"","",,Greenlandic,Alessandro G.,2021-09-11T13:48:15Z
4504,Qilanngaq,und,"","",,Greenlandic,Alessandro G.,2021-09-11T13:49:09Z
4180,Qaqulluk,und,"","",,Greenlandic,Alessandro G.,2021-09-11T13:49:49Z
4418,Serfaq,und,"","",,Greenlandic,Alessandro G.,2021-09-11T13:50:32Z
7024,Aavooq,und,"","",,Greenlandic,Alessandro G.,2021-09-11T13:51:19Z
949,Aqisseq,und,"","",,Greenlandic,Alessandro G.,2021-09-11T13:52:24Z
48648,Kapisillik,und,"","",,Greenlandic,Alessandro G.,2021-09-11T13:54:29Z
111974,Eqaluk,und,"","",,Greenlandic,Alessandro G.,2021-09-11T14:06:56Z
63740,Saarullik,und,"","",,Greenlandic,Alessandro G.,2021-09-11T14:08:14Z
230758,Suluppaagaq angisooq,und,"","",,Greenlandic,Alessandro G.,2021-09-11T14:12:26Z
229837,Qaleralik,und,"","",,Greenlandic,Alessandro G.,2021-09-11T14:13:31Z
165100,Ammassak,und,"","",,Greenlandic,Alessandro G.,2021-09-11T14:14:37Z
60603,Angusalluk,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Greenlandic,,2021-09-19T14:59:08Z
60603,Arnarluk,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Greenlandic,,2021-09-19T14:59:15Z
60603,Nipisa,und,"","",,Greenlandic,Zane Roskoph,2021-09-19T14:59:44Z
97990,Kapisilik,und,"","",,Greenlandic,Zane Roskoph,2021-09-19T16:09:26Z
97990,Ammassassuaa,und,"","",,Greenlandic,Zane Roskoph,2021-09-19T16:09:41Z
213519,Qeeraaraq,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Greenlandic,,2021-10-02T13:45:53Z
47639,Kanajok,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Greenlandic,,2021-10-02T14:13:43Z
