id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
18874,Jako,und,"","",,Haitian Creole,John E. Christensen,2017-12-15T07:20:06Z
211194,Plant vaskilè,und,"","",,Haitian Creole,John E. Christensen,2017-12-16T08:41:24Z
47158,Ensèk,und,"","",,Haitian Creole,John E. Christensen,2017-12-23T10:45:05Z
48865,Kokoye,und,"","",,Haitian Creole,John E. Christensen,2017-12-26T07:48:36Z
26041,Krokodil,und,"","",,Haitian Creole,John E. Christensen,2017-12-30T07:51:31Z
47686,Pwotozoyè,und,"","",,Haitian Creole,John E. Christensen,2018-01-10T08:49:21Z
26039,Krokodil,und,"","",,Haitian Creole,John E. Christensen,2018-01-14T07:12:33Z
47120,Atwopòd,und,"","",,Haitian Creole,John E. Christensen,2018-01-18T15:53:07Z
59254,Siv,und,"","",,Haitian Creole,John E. Christensen,2018-04-04T07:09:23Z
49556,Annipye,und,"","",,Haitian Creole,John E. Christensen,2018-12-12T11:05:49Z
70054,Melon dlo,und,"","",,Haitian Creole,John E. Christensen,2018-12-24T10:47:54Z
40151,Mamifè,und,"","",,Haitian Creole,John E. Christensen,2019-02-07T16:21:22Z
40268,Chòvsourit,und,"","",,Haitian Creole,John E. Christensen,2019-03-10T07:58:01Z
85553,Koulèv,und,"","",,Haitian Creole,John E. Christensen,2019-04-28T07:14:27Z
48876,Kayimit,und,"","",,Haitian Creole,Martin Reith,2019-07-12T00:10:35Z
317963,Bale dou,und,"","",,Haitian Creole,Martin Reith,2019-12-12T14:36:22Z
285505,Cousin,und,"","",,Haitian Creole,Martin Reith,2019-12-13T03:12:28Z
157765,Kalalou,und,"","",,Haitian Creole,Johan Devos,2020-12-20T20:41:22Z
135983,cèdre,und,"","",,Haitian Creole,Ashwin Srinivasan,2021-02-06T03:26:31Z
146059,leza recò,und,"","",,Haitian Creole,Zane Roskoph,2021-08-03T00:57:06Z
121196,Sous-gé,und,"","",,Haitian Creole,Zane Roskoph,2021-08-03T12:54:33Z
41964,Lyon,und,"","",,Haitian Creole,Zane Roskoph,2021-08-24T13:13:51Z
41967,Tig,und,"","",,Haitian Creole,Zane Roskoph,2021-08-26T15:23:32Z
95066,Bousse mazarin,und,"","",,Haitian Creole,Zane Roskoph,2021-10-17T13:47:02Z
95066,Bousse,und,"","",,Haitian Creole,Zane Roskoph,2021-10-17T13:47:26Z
469472,pòm,und,"","",,Haitian Creole,DW,2022-03-27T04:32:16Z
