id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
103792,Didove,und,"Okavango Basin | Chobe, BW","",,Hambukushu,Dewald du Plessis,2020-03-18T08:18:09Z
82777,Ngwethi,und,"Okavango Basin | Chobe, BW","",,Hambukushu,Dewald du Plessis,2020-03-18T08:56:38Z
105700,Manxhee,und,"Okavango Basin | Chobe, BW","",,Hambukushu,Dewald du Plessis,2020-03-18T08:58:49Z
615250,Nyiro,und,"Okavango Basin | Chobe, BW","",,Hambukushu,Dewald du Plessis,2020-03-18T09:00:15Z
608044,Dimbotu,und,"Okavango Basin | Chobe, BW","",,Hambukushu,Dewald du Plessis,2020-03-18T09:08:50Z
608049,Dimbotu,und,"Okavango Basin | Chobe, BW","",,Hambukushu,Dewald du Plessis,2020-03-18T09:11:35Z
82779,Thikokoro,und,"Okavango Basin | Chobe, BW","",,Hambukushu,Dewald du Plessis,2020-03-18T09:14:29Z
108747,Thijatarmvu,und,"Okavango Basin | Chobe, BW","",,Hambukushu,Dewald du Plessis,2020-03-18T09:27:25Z
188524,Diwekeweke,und,"Okavango Basin | Chobe, BW","",,Hambukushu,Dewald du Plessis,2020-03-18T09:31:41Z
113695,Dimboto,und,"Okavango Basin | Chobe, BW","",,Hambukushu,Dewald du Plessis,2020-03-18T09:37:14Z
113639,Nkokoko,und,"Okavango Basin | Chobe, BW","",,Hambukushu,Dewald du Plessis,2020-03-18T09:39:34Z
113640,Dimboto,und,"Okavango Basin | Chobe, BW","",,Hambukushu,Dewald du Plessis,2020-03-18T09:45:10Z
112197,Thideni,und,"Okavango Basin | Chobe, BW","",,Hambukushu,Dewald du Plessis,2020-03-18T09:54:02Z
105747,Mbwindi,und,"Okavango Basin | Chobe, BW","",,Hambukushu,Dewald du Plessis,2020-03-18T09:57:40Z
98766,Mbondu,und,"Okavango Basin | Chobe, BW","",,Hambukushu,Dewald du Plessis,2020-03-18T09:58:41Z
98766,Mbundu,und,"Okavango Basin | Chobe, BW","",,Hambukushu,Dewald du Plessis,2020-03-18T09:59:10Z
528869,Ngondu,und,"Okavango Basin | Chobe, BW","",,Hambukushu,Dewald du Plessis,2020-03-18T10:06:20Z
102479,Mondlhovu,und,"Okavango Basin | Chobe, BW","",,Hambukushu,Dewald du Plessis,2020-03-18T10:10:31Z
107874,Mbweya,und,"Okavango Basin | Chobe, BW","",,Hambukushu,Dewald du Plessis,2020-03-18T10:15:14Z
107887,Ntarti,und,"Okavango Basin | Chobe, BW","",,Hambukushu,Dewald du Plessis,2020-03-18T10:17:20Z
109240,Ditungungwa,und,"Okavango Basin | Chobe, BW","",,Hambukushu,Dewald du Plessis,2020-03-18T10:19:10Z
69702,Kapande,und,"Okavango Basin | Chobe, BW","",,Hambukushu,Dewald du Plessis,2020-03-18T10:22:01Z
112061,Mbaya,und,"Okavango Basin | Chobe, BW","",,Hambukushu,Dewald du Plessis,2020-03-18T10:27:41Z
112061,Nkusha,und,"Okavango Basin | Chobe, BW","",,Hambukushu,Dewald du Plessis,2020-03-18T10:28:10Z
82782,Mbonje,und,"Okavango Basin | Chobe, BW","",,Hambukushu,Dewald du Plessis,2020-03-18T10:33:49Z
112495,Mbonje,und,"Chobe, BW | Okavango Basin","",,Hambukushu,Dewald du Plessis,2020-03-18T10:35:25Z
114170,Thingu,und,"Okavango Basin | Chobe, BW","",,Hambukushu,Dewald du Plessis,2020-03-18T10:39:20Z
340302,mokondekonde,und,"","",,Hambukushu,Botswanabugs,2020-03-24T04:09:16Z
430533,mutororo,und,"","",,Hambukushu,Botswanabugs,2020-03-24T14:34:27Z
513962,kamongamba,und,"","",,Hambukushu,Botswanabugs,2021-01-06T02:54:47Z
594427,moanduchi,und,"","",,Hambukushu,Botswanabugs,2021-09-13T12:15:09Z
129706,mweye,und,"","",,Hambukushu,Botswanabugs,2021-09-14T03:01:41Z
611679,Mbonje,und,"Okavango Basin | Chobe, CH, BW","",,Hambukushu,Dewald du Plessis,2021-10-04T16:39:56Z
589740,ndongo,und,"","",,Hambukushu,Botswanabugs,2021-12-21T10:43:34Z
160871,dinyangombe,und,"","",,Hambukushu,Botswanabugs,2021-12-21T10:49:05Z
160871,rwithe,und,"","",,Hambukushu,Botswanabugs,2021-12-21T10:49:47Z
569876,diyanga,und,"","",,Hambukushu,Botswanabugs,2021-12-21T11:10:47Z
589667,mayungu anyambi,und,"","",,Hambukushu,Botswanabugs,2021-12-21T11:20:13Z
142774,dikeke,und,"","",,Hambukushu,Botswanabugs,2022-01-09T04:42:10Z
2269,dikamvu,und,"","",,Hambukushu,Botswanabugs,2022-01-09T05:11:47Z
