id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
56739,Zirman,und,"","",,Hausa,John E. Christensen,2017-12-27T15:41:46Z
123070,Akwiya,und,"","",,Hausa,John E. Christensen,2018-12-30T16:05:32Z
85553,Maciji,und,"","",,Hausa,John E. Christensen,2019-04-28T07:14:04Z
505478,Kaza,und,"","",,Hausa,John E. Christensen,2019-11-26T12:53:53Z
157765,Kuɓewa,und,"","",,Hausa,Johan Devos,2020-12-20T20:38:55Z
97790,Warushe,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082883/common/83747,Hausa,,2021-07-12T17:06:02Z
97770,Warushe,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082893/common/83739,Hausa,,2021-07-12T17:06:03Z
97790,Marushe,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082883/common/83756,Hausa,,2021-07-12T17:06:30Z
97770,Marushe,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082893/common/83735,Hausa,,2021-07-12T17:06:31Z
97790,Durukulli,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082883/common/83769,Hausa,,2021-07-12T17:06:41Z
97770,Durukulli,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082893/common/83726,Hausa,,2021-07-12T17:06:41Z
108350,Kakan kifi,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066232/common/209961,Hausa,,2021-07-15T12:42:12Z
102742,Begigi,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066252/common/233248,Hausa,,2021-07-15T14:14:58Z
102742,Berigi,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066252/common/233247,Hausa,,2021-07-15T14:15:04Z
102742,Dan shakata,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066252/common/233244,Hausa,,2021-07-15T14:15:13Z
102742,Nakantala,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066252/common/233219,Hausa,,2021-07-15T14:15:22Z
102742,Bahli,und,"","",,Hausa,Zane Roskoph,2021-07-16T16:13:24Z
102742,Bali,und,"","",,Hausa,Zane Roskoph,2021-07-16T16:14:19Z
102742,Balli,und,"","",,Hausa,Zane Roskoph,2021-07-16T16:14:45Z
102742,Bargi,und,"","",,Hausa,Zane Roskoph,2021-07-16T16:15:09Z
102690,Ramboshi,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082214/common/185275,Hausa,,2021-07-19T16:46:38Z
102692,Ramboshi,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082217/common/185243,Hausa,,2021-07-19T16:46:38Z
113597,Farin,und,"","",,Hausa,Zane Roskoph,2021-08-03T19:21:16Z
113597,Kunguuna folashe,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082464/common/80835,Hausa,,2021-08-03T19:21:25Z
113646,Kurungu,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082452/common/80906,Hausa,,2021-08-03T19:21:57Z
113597,Kurungu,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082464/common/80836,Hausa,,2021-08-03T19:21:58Z
113670,Kurungu,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082517/common/80508,Hausa,,2021-08-03T19:21:58Z
113622,Kurungu,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082490/common/80669,Hausa,,2021-08-03T19:21:58Z
113600,Kurungu,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082467/common/80815,Hausa,,2021-08-03T19:21:59Z
113675,Kurungu,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082522/common/80454,Hausa,,2021-08-03T19:21:59Z
113696,Kurungu,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082415/common/81075,Hausa,,2021-08-03T19:21:59Z
113652,Kurungu,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082497/common/80608,Hausa,,2021-08-03T19:22:00Z
113605,Kurungu,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082473/common/80780,Hausa,,2021-08-03T19:22:00Z
113679,Kurungu,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082528/common/80403,Hausa,,2021-08-03T19:22:00Z
113653,Kurungu,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082498/common/80592,Hausa,,2021-08-03T19:22:01Z
113609,Kurungu,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082477/common/80749,Hausa,,2021-08-03T19:22:02Z
113654,Kurungu,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082499/common/80580,Hausa,,2021-08-03T19:22:03Z
100381,Bano,und,"","",,Hausa,Zane Roskoph,2021-08-24T11:46:01Z
41964,Zaki,und,"","",,Hausa,Zane Roskoph,2021-08-24T13:12:13Z
101561,Wakanbani baki,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066282/common/174514,Hausa,,2021-08-28T17:01:05Z
493799,Gwando,und,"","",,Hausa,Zane Roskoph,2021-09-11T20:36:58Z
594430,dakwara,und,"","",,Hausa,Botswanabugs,2021-09-28T11:35:00Z
342724,Gwanbazi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Hausa,Ken-ichi Ueda,2021-10-21T20:14:22Z
342724,haujari,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Hausa,Ken-ichi Ueda,2021-10-21T20:14:22Z
342724,haujarin rakumi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Hausa,Ken-ichi Ueda,2021-10-21T20:14:22Z
342724,Haujeri,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Hausa,Ken-ichi Ueda,2021-10-21T20:14:23Z
342724,haujerin,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Hausa,Ken-ichi Ueda,2021-10-21T20:14:23Z
342724,ja ni baibai,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Hausa,Ken-ichi Ueda,2021-10-21T20:14:23Z
342724,kabdarai,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Hausa,Ken-ichi Ueda,2021-10-21T20:14:24Z
342724,kabdodo,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Hausa,Ken-ichi Ueda,2021-10-21T20:14:24Z
342724,kadabebe,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Hausa,Ken-ichi Ueda,2021-10-21T20:14:24Z
342724,tshetsheaka,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Hausa,Ken-ichi Ueda,2021-10-21T20:14:24Z
141177,baurere,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Hausa,Ken-ichi Ueda,2021-10-21T20:14:25Z
141177,gatarin kurege,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Hausa,Ken-ichi Ueda,2021-10-21T20:14:25Z
141177,gudumar zomo,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Hausa,Ken-ichi Ueda,2021-10-21T20:14:25Z
141177,gufumar zomo,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Hausa,Ken-ichi Ueda,2021-10-21T20:14:26Z
164238,bi ni zuguu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Hausa,Ken-ichi Ueda,2021-10-21T20:14:26Z
164238,halallamai,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Hausa,Ken-ichi Ueda,2021-10-21T20:14:27Z
81491,belangu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Hausa,Ken-ichi Ueda,2021-10-21T20:14:27Z
81491,giiwaa,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Hausa,Ken-ichi Ueda,2021-10-21T20:14:27Z
81491,hantsar giiwaa,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Hausa,Ken-ichi Ueda,2021-10-21T20:14:27Z
81491,noonon,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Hausa,Ken-ichi Ueda,2021-10-21T20:14:28Z
81491,rahainaa,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Hausa,Ken-ichi Ueda,2021-10-21T20:14:28Z
81491,rahunia,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Hausa,Ken-ichi Ueda,2021-10-21T20:14:28Z
81491,rawuya,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Hausa,Ken-ichi Ueda,2021-10-21T20:14:29Z
81491,taramniya,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Hausa,Ken-ichi Ueda,2021-10-21T20:14:29Z
133184,Wada,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Hausa,Ken-ichi Ueda,2021-10-21T20:14:29Z
601161,filasko,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Hausa,Ken-ichi Ueda,2021-10-21T20:14:30Z
601161,hilisko,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Hausa,Ken-ichi Ueda,2021-10-21T20:14:30Z
601161,illesko,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Hausa,Ken-ichi Ueda,2021-10-21T20:14:30Z
340393,cika fagee,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Hausa,Ken-ichi Ueda,2021-10-21T20:14:31Z
340393,domashi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Hausa,Ken-ichi Ueda,2021-10-21T20:14:31Z
340393,kumbura fagee,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Hausa,Ken-ichi Ueda,2021-10-21T20:14:31Z
113934,Tallibombom,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Hausa,,2021-12-23T20:20:05Z
188508,Kurungu,und,"","",,Hausa,Zane Roskoph,2021-12-31T15:16:41Z
427768,Chusar doki,und,"","",,Hausa,Botswanabugs,2022-02-04T04:43:07Z
427768,fatefate,und,"","",,Hausa,Botswanabugs,2022-02-04T04:44:51Z
