id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
4836,Ae'o,haw,"","","FA Bisby, YR Roskov, MA Ruggiero, TM Orrell, LE Paglinawan, PW Brewer, N Bailly, J van Hertum, eds (2007). Species 2000 & ITIS Catalogue of Life: 2007 Annual Checklist Taxonomic Classification. CD-ROM; Species 2000: Reading, U.K.",Hawaiian,max kirsch,2008-03-13T02:46:32Z
7104,Nēnē,haw,"Hawaii Volcanoes National Park, US, HI","","FA Bisby, YR Roskov, MA Ruggiero, TM Orrell, LE Paglinawan, PW Brewer, N Bailly, J van Hertum, eds (2007). Species 2000 & ITIS Catalogue of Life: 2007 Annual Checklist Taxonomic Classification. CD-ROM; Species 2000: Reading, U.K.",Hawaiian,Scott Loarie,2008-03-13T02:53:35Z
12672,ʻōʻōʻāʻā,haw,"","","FA Bisby, YR Roskov, MA Ruggiero, TM Orrell, LE Paglinawan, PW Brewer, N Bailly, J van Hertum, eds (2007). Species 2000 & ITIS Catalogue of Life: 2007 Annual Checklist Taxonomic Classification. CD-ROM; Species 2000: Reading, U.K.",Hawaiian,sea-kangaroo,2008-03-13T03:13:41Z
47257,ono,haw,"","","FA Bisby, YR Roskov, MA Ruggiero, TM Orrell, LE Paglinawan, PW Brewer, N Bailly, J van Hertum, eds (2007). Species 2000 & ITIS Catalogue of Life: 2007 Annual Checklist Taxonomic Classification. CD-ROM; Species 2000: Reading, U.K.",Hawaiian,Cédric de Foucault,2008-08-07T03:34:41Z
51201,kumimi pua,haw,"","",,Hawaiian,Ken-ichi Ueda,2009-05-03T08:08:57Z
52411,humuhumu hi'ukole,haw,"","",http://www.ubio.org/browser/details.php?namebankID=833927,Hawaiian,David R,2009-07-17T18:37:05Z
52449,Humu­humu­nuku­nuku­āpuaʻa,haw,"","",,Hawaiian,Ken-ichi Ueda,2009-07-21T00:04:47Z
52464,humuhumu 'ele'ele,haw,"","",,Hawaiian,Ken-ichi Ueda,2009-07-21T02:57:38Z
53737,`Åhiki,haw,"","",,Hawaiian,Ken-ichi Ueda,2009-10-25T01:12:26Z
54993,ʻōhelo,haw,"","","FA Bisby, YR Roskov, MA Ruggiero, TM Orrell, LE Paglinawan, PW Brewer, N Bailly, J van Hertum, eds (2007). Species 2000 & ITIS Catalogue of Life: 2007 Annual Checklist Taxonomic Classification. CD-ROM; Species 2000: Reading, U.K.",Hawaiian,sea-kangaroo,2010-01-04T06:45:42Z
54994,naupaka kuahiwi,haw,"Hawaii Volcanoes National Park, US, HI","","FA Bisby, YR Roskov, MA Ruggiero, TM Orrell, LE Paglinawan, PW Brewer, N Bailly, J van Hertum, eds (2007). Species 2000 & ITIS Catalogue of Life: 2007 Annual Checklist Taxonomic Classification. CD-ROM; Species 2000: Reading, U.K.",Hawaiian,sea-kangaroo,2010-01-04T07:05:10Z
54995,ʻilima,haw,"Hawaii Volcanoes National Park, US, HI","",,Hawaiian,Ken-ichi Ueda,2010-01-04T07:42:09Z
60441,ohiaku,haw,"","",http://www.ubio.org/browser/details.php?namebankID=794615,Hawaiian,,2010-05-09T18:52:03Z
60447,ʻŌhiʻa Lehua,haw,"","",,Hawaiian,Ken-ichi Ueda,2010-05-09T18:58:54Z
67928,ʻŌlapa,haw,"","",,Hawaiian,Ken-ichi Ueda,2011-03-01T18:41:27Z
478,ʻalae keʻokeʻo,haw,"","",,Hawaiian,Sam McNally,2011-03-02T06:37:15Z
70026,hala,haw,"Hawaii Volcanoes National Park, US, HI","",,Hawaiian,Scott Loarie,2011-04-29T15:37:13Z
70030,ʻōhelo ʻai,haw,"","",,Hawaiian,Scott Loarie,2011-04-29T15:39:13Z
70036,māmane,haw,"","",,Hawaiian,Ken-ichi Ueda,2011-04-29T17:14:39Z
82376,Koa,haw,"","",,Hawaiian,Sam McNally,2011-06-07T23:42:43Z
83067,maʻo hau hele,haw,"Hawaii Volcanoes National Park, US, HI","",,Hawaiian,Scott Loarie,2011-06-14T19:17:14Z
120923,kukuau,haw,"","",,Hawaiian,Ken-ichi Ueda,2011-11-20T00:49:47Z
121227,'Ulae,haw,"","",,Hawaiian,David R,2011-12-02T08:58:33Z
52508,hinalea 'i'iwi,haw,"","",,Hawaiian,David R,2011-12-02T09:02:03Z
98510,hilu,haw,"","",,Hawaiian,David R,2011-12-02T09:05:26Z
121169,nohu,haw,"","",,Hawaiian,David R,2011-12-02T09:41:13Z
103436,laenihi,haw,"","",,Hawaiian,David R,2011-12-02T09:45:05Z
121225,‘ōpelu,haw,"","",,Hawaiian,David R,2011-12-02T09:55:29Z
120963,puhi uha,haw,"","",,Hawaiian,David R,2011-12-02T10:16:46Z
97170,kīkākapu,haw,"","",,Hawaiian,David R,2011-12-02T10:41:42Z
52478,po‘opa‘a,haw,"","",,Hawaiian,David R,2011-12-02T10:46:29Z
121394,piliko‘a,haw,"","",,Hawaiian,David R,2011-12-06T05:31:14Z
121460,'Ala'ihi,haw,"","",,Hawaiian,David R,2011-12-08T10:59:10Z
121457,Nohu,haw,"","",,Hawaiian,David R,2011-12-08T11:01:59Z
121459,To'au,haw,"","",,Hawaiian,David R,2011-12-08T11:12:27Z
117459,Mamamu,haw,"","",,Hawaiian,David R,2011-12-08T11:14:22Z
121499,Paki'i,haw,"","",,Hawaiian,David R,2011-12-09T07:24:14Z
121500,puhi,haw,"","",,Hawaiian,David R,2011-12-09T07:47:48Z
97181,kīkākapu,haw,"","",,Hawaiian,David R,2011-12-09T08:06:13Z
121572,Kawalea,haw,"","",,Hawaiian,David R,2011-12-10T06:21:34Z
121597,Palani,haw,"","",,Hawaiian,David R,2011-12-12T07:15:56Z
121706,Alaihi,haw,"","",,Hawaiian,David R,2011-12-14T06:50:36Z
121704,naʻenaʻe,haw,"","",,Hawaiian,David R,2011-12-14T06:56:22Z
47282,Nohu,haw,"","",,Hawaiian,David R,2011-12-15T08:07:31Z
121738,hīhīmanu,haw,"","",,Hawaiian,David R,2011-12-16T09:04:45Z
96498,ponuhunuhu,haw,"","",,Hawaiian,David R,2011-12-17T05:26:51Z
121707,wana hālula,haw,"","",,Hawaiian,David R,2011-12-18T05:47:22Z
121658,kala,haw,"","",,Hawaiian,David R,2011-12-18T06:33:42Z
49979,puhi,haw,"","",,Hawaiian,David R,2011-12-20T08:21:47Z
122032,nenue,haw,"","",,Hawaiian,David R,2011-12-23T09:28:02Z
48743,kapuhili,haw,"","",,Hawaiian,David R,2011-12-24T07:21:27Z
122116,‘ala‘ihi,haw,"","",,Hawaiian,David R,2011-12-25T08:38:31Z
122127,hawae,haw,"","",,Hawaiian,David R,2011-12-26T03:12:07Z
122505,‘ū‘ū,haw,"","",,Hawaiian,David R,2012-01-07T09:47:03Z
122514,moano ‘ukali ulua,haw,"","",,Hawaiian,David R,2012-01-07T09:52:42Z
67750,koki'o ke'oke'o,haw,"","",,Hawaiian,David R,2012-01-07T10:36:47Z
97192,lauhau,haw,"","",,Hawaiian,David R,2012-01-07T11:16:21Z
122527,Kōlea lau nui,haw,"","",,Hawaiian,David R,2012-01-08T10:12:13Z
122525,ʻIeʻie,haw,"","",,Hawaiian,David R,2012-01-08T10:15:43Z
122662,Pūkiawe,haw,"","",,Hawaiian,David R,2012-01-10T04:56:37Z
122914,opakapaka,haw,"","",,Hawaiian,sea-kangaroo,2012-01-12T01:59:38Z
98531,mahimahi,haw,"","",,Hawaiian,sea-kangaroo,2012-01-12T02:22:07Z
122965,hala kahiki,haw,"","",,Hawaiian,sea-kangaroo,2012-01-12T07:10:52Z
3909,Kioea,haw,"Hawaii Volcanoes National Park, US, HI","",,Hawaiian,David R,2012-01-12T08:31:04Z
122711,ʻaʻali'i,haw,"Hawaii, US | Hawaii Volcanoes National Park, US, HI","",,Hawaiian,David R,2012-01-12T09:42:20Z
123000,Kūkaenēnē,haw,"","",,Hawaiian,David R,2012-01-12T09:45:11Z
108081,Po'ou,haw,"","",,Hawaiian,David R,2012-01-16T03:47:14Z
123123,'Ulae,haw,"","",,Hawaiian,David R,2012-01-16T04:12:08Z
70027,'ulu,haw,"","",,Hawaiian,sea-kangaroo,2012-01-23T08:47:58Z
48865,niu,haw,"Hawaii Volcanoes National Park, US, HI","",,Hawaiian,sea-kangaroo,2012-01-23T08:48:16Z
97312,Kupou,haw,"","",,Hawaiian,David R,2012-01-24T07:48:18Z
113990,`awela,haw,"","",,Hawaiian,David R,2012-01-24T07:52:19Z
122835,kalo,haw,"Hawaii Volcanoes National Park, US, HI","",,Hawaiian,sea-kangaroo,2012-01-26T19:14:15Z
60439,ʻohai aliʻi,haw,"","",,Hawaiian,David R,2012-01-30T04:23:17Z
123529,‘api,haw,"","",,Hawaiian,David R,2012-01-30T08:47:05Z
123573,'Ae,haw,"","",,Hawaiian,David R,2012-02-01T09:27:59Z
123617,Kāwaʻu,haw,"","",,Hawaiian,David R,2012-02-02T06:49:16Z
52492,Uluhe,haw,"Hawaii Volcanoes National Park, US, HI","",,Hawaiian,David R,2012-02-02T06:51:48Z
122709,ʻAmaʻu,haw,"","",,Hawaiian,David R,2012-02-02T06:54:50Z
123618,Pāwale,haw,"","",,Hawaiian,David R,2012-02-02T07:13:37Z
123619,ʻUki,haw,"","",,Hawaiian,David R,2012-02-02T07:30:44Z
123620,'Ala'ala wai nui,haw,"","",,Hawaiian,David R,2012-02-02T07:46:45Z
123681,Pua kenikeni,haw,"","",,Hawaiian,David R,2012-02-05T06:15:07Z
123687,Ae‘o,haw,"","",,Hawaiian,David R,2012-02-05T06:27:28Z
61373,`a`ama,haw,"","",,Hawaiian,David R,2012-02-13T08:51:06Z
123893,Hinahina,haw,"","",,Hawaiian,David R,2012-02-13T08:52:30Z
123922,Kūpīpī,haw,"","",,Hawaiian,David R,2012-02-15T07:57:27Z
97645,uhu-uliuli,haw,"","",,Hawaiian,David R,2012-02-15T08:22:04Z
124008,ʻŌhai,haw,"","",,Hawaiian,David R,2012-02-19T07:26:58Z
54441,Pūhi kāpā,haw,"","",,Hawaiian,David R,2012-02-19T11:33:48Z
121167,Puhi kauila,haw,"","",,Hawaiian,David R,2012-02-19T11:37:03Z
120940,Puhi kauila,haw,"","",,Hawaiian,David R,2012-02-19T11:38:05Z
116736,Puhi ‘Ōni‘o,haw,"","",,Hawaiian,David R,2012-02-19T11:39:03Z
52399,Puhi lau milo,haw,"","",,Hawaiian,David R,2012-02-19T11:42:00Z
85465,Puhi palahoana,haw,"","",,Hawaiian,David R,2012-02-19T11:43:48Z
98531,Mahi mahi oma,haw,"","",http://www.ubio.org/browser/details.php?namebankID=871680,Hawaiian,Mark Rosenstein,2012-02-22T18:41:16Z
98531,Mahi mahi lapa,haw,"","",http://www.ubio.org/browser/details.php?namebankID=871679,Hawaiian,Mark Rosenstein,2012-02-22T18:41:16Z
122034,pōpōhau,haw,"","",,Hawaiian,David R,2012-02-23T08:25:35Z
124393,`a`ama,haw,"","",,Hawaiian,Ken-ichi Ueda,2012-02-24T08:01:54Z
124445,ʻŪlei,haw,"","",,Hawaiian,David R,2012-02-26T10:22:43Z
124448,Lama,haw,"","",,Hawaiian,David R,2012-02-26T10:40:32Z
124449,Papala kepau,haw,"","",,Hawaiian,David R,2012-02-26T10:54:02Z
6956,Koloa maoli,haw,"","",,Hawaiian,David R,2012-02-27T09:43:32Z
124491,ʻAlae ʻula,haw,"","",,Hawaiian,David R,2012-02-28T04:22:00Z
