id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
338691,ouzuwo,und,"","",,Herero,Bobby McCabe,2019-11-25T05:20:00Z
340305,Okahonukondu,und,"","",,Herero,Botswanabugs,2020-01-11T04:45:41Z
527590,Omungwati,und,"","",,Herero,Botswanabugs,2020-01-11T04:51:32Z
566202,Omuzema,und,"","",,Herero,Botswanabugs,2020-01-11T04:55:27Z
340175,Omuama,und,"","",,Herero,Botswanabugs,2020-01-11T07:35:33Z
579631,Otjindombo,und,"","",,Herero,Botswanabugs,2020-01-11T08:05:00Z
340324,Omudenja,und,"","",,Herero,Botswanabugs,2020-01-11T08:12:02Z
579375,Omuryandjima,und,"","",,Herero,Botswanabugs,2020-01-11T08:15:19Z
533457,Omukarambandje,und,"","",,Herero,Botswanabugs,2020-01-11T08:18:40Z
861928,Omutaurambuku,und,"","",,Herero,Botswanabugs,2020-01-11T08:22:39Z
340228,Omukaru,und,"","",,Herero,Botswanabugs,2020-01-11T08:32:38Z
582623,Omutungi,und,"","",,Herero,Botswanabugs,2020-01-11T08:41:54Z
83832,Omuninga,und,"","",,Herero,Botswanabugs,2020-01-11T08:49:12Z
431063,Omundana,und,"","",,Herero,Botswanabugs,2020-01-11T08:58:13Z
591344,Ohwanga,und,"","",,Herero,Botswanabugs,2020-01-11T09:00:19Z
84992,Omungaraha,und,"","",,Herero,Botswanabugs,2020-01-11T09:02:28Z
430533,Omuhama,und,"","",,Herero,Botswanabugs,2020-01-11T14:21:23Z
584362,Omusepa,und,"","",,Herero,Botswanabugs,2020-01-11T14:24:26Z
340336,Omuve,und,"","",,Herero,Botswanabugs,2020-01-11T14:34:42Z
138688,Omuparara,und,"","",,Herero,Botswanabugs,2020-01-11T14:56:20Z
191689,Omuryahere,und,"","",,Herero,Botswanabugs,2020-01-11T15:18:07Z
336810,Omuseasetu,und,"","",,Herero,Botswanabugs,2020-01-11T15:28:27Z
591483,Omutete,und,"","",,Herero,Botswanabugs,2020-01-11T15:35:49Z
582629,Omurenda,und,"","",,Herero,Botswanabugs,2020-01-11T15:38:07Z
184447,Onyarayongwe,und,"","",,Herero,Botswanabugs,2020-01-11T16:12:48Z
340166,Omumbeke,und,"","",,Herero,Botswanabugs,2020-01-11T16:15:10Z
340245,omukongo,und,"","",,Herero,Botswanabugs,2020-01-13T05:58:17Z
340245,omungongo,und,"","",,Herero,Botswanabugs,2020-01-13T05:59:03Z
340245,omuongo,und,"","",,Herero,Botswanabugs,2020-01-13T05:59:44Z
583075,omUmbango,und,"","",,Herero,Dewald du Plessis,2020-03-20T07:45:33Z
428749,omutati,und,"","",,Herero,Botswanabugs,2020-08-07T10:22:48Z
489563,orusu,und,"","",,Herero,Botswanabugs,2020-08-07T10:38:06Z
513962,oruzenga,und,"","",,Herero,Botswanabugs,2021-01-06T02:56:47Z
47158,Oupuka,und,"","",,Herero,Botswanabugs,2021-03-30T04:25:23Z
427214,omukeka,und,"","",,Herero,Botswanabugs,2021-07-25T10:53:19Z
595009,omusu,und,"","",,Herero,Botswanabugs,2021-07-28T03:48:27Z
340059,omumbuti,und,"","",,Herero,Botswanabugs,2021-08-12T09:24:02Z
567417,oruweyo,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Herero,Ken-ichi Ueda,2021-10-21T20:14:42Z
567417,orweyo,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Herero,Ken-ichi Ueda,2021-10-21T20:14:42Z
595946,omumbonde,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Herero,Ken-ichi Ueda,2021-10-21T20:14:43Z
594421,okadilanghono,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Herero,Ken-ichi Ueda,2021-10-21T20:14:43Z
594421,omungongomwi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Herero,Ken-ichi Ueda,2021-10-21T20:14:43Z
