id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
67521,Guar,und,"","","FA Bisby, YR Roskov, MA Ruggiero, TM Orrell, LE Paglinawan, PW Brewer, N Bailly, J van Hertum, eds (2007). Species 2000 & ITIS Catalogue of Life: 2007 Annual Checklist Taxonomic Classification. CD-ROM; Species 2000: Reading, U.K.",Hindi,,2011-01-20T06:34:32Z
67522,Guar,und,"","","FA Bisby, YR Roskov, MA Ruggiero, TM Orrell, LE Paglinawan, PW Brewer, N Bailly, J van Hertum, eds (2007). Species 2000 & ITIS Catalogue of Life: 2007 Annual Checklist Taxonomic Classification. CD-ROM; Species 2000: Reading, U.K.",Hindi,,2011-01-20T06:34:32Z
27689,Dâluâ nâga,und,"","",The Reptile Database (2011). Downloaded from http://www.reptile-database.org on 31/07/2011,Hindi,John Sullivan,2011-08-19T02:14:53Z
202342,bajra,und,"","",,Hindi,"Charles Thomas Hash, Jr.",2014-03-15T19:54:13Z
202342,bajri,und,"","",,Hindi,"Charles Thomas Hash, Jr.",2014-03-15T19:55:19Z
112506,Patara,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/10057932/common/216437,Hindi,Ken-ichi Ueda,2015-07-29T21:50:38Z
107190,Patara,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/10066247/common/95117,Hindi,Ken-ichi Ueda,2015-07-29T21:50:39Z
170044,Chiriyari,und,"","",,Hindi,Chandan Pandey,2015-09-02T09:59:22Z
369985,Gopoli,und,"","",,Hindi,Chandan Pandey,2015-09-04T10:53:33Z
369985,Codhara,und,"","",,Hindi,Chandan Pandey,2015-09-04T10:53:45Z
473484,Bhamber,und,"","",,Hindi,Chandan Pandey,2015-09-04T11:03:09Z
181061,Kali tulasi,und,"","",,Hindi,Chandan Pandey,2015-09-07T11:13:16Z
64241,Sarson,und,"","",,Hindi,Chandan Pandey,2015-09-11T10:35:37Z
60987,Jangli hala,und,"","",,Hindi,Chandan Pandey,2015-09-11T10:52:39Z
167965,Chamsuru,und,India,IN,,Hindi,Chandan Pandey,2015-09-11T11:14:10Z
346340,कडू पडवळ Kadu Padwal,und,"","",http://eol.org/pages/52988890,Hindi,Bobby McCabe,2015-09-22T13:49:55Z
77058,Tara Mira,und,"","",,Hindi,Chandan Pandey,2017-02-21T22:45:32Z
537694,Tendu,und,"","",,Hindi,c michael hogan,2017-03-09T16:40:34Z
537701,Saaj,und,"","",,Hindi,c michael hogan,2017-03-09T17:00:01Z
68666,Anjan,und,"","",,Hindi,c michael hogan,2017-04-01T11:48:40Z
541887,Son Pakhad,und,"","",,Hindi,c michael hogan,2017-04-02T16:38:57Z
489309,Lendia,und,"","",,Hindi,c michael hogan,2017-04-03T03:59:09Z
196563,Kulu,und,"","",,Hindi,c michael hogan,2017-04-03T19:15:25Z
542325,Lokhandi,und,"","",,Hindi,c michael hogan,2017-04-07T17:58:58Z
68703,Goonja,und,"","",,Hindi,c michael hogan,2017-04-07T22:07:31Z
543017,Aal,und,"","",,Hindi,c michael hogan,2017-04-14T16:38:37Z
68654,Shisham,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/572934/common/190877,Hindi,,2017-07-10T11:05:50Z
161584,Shisham,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/573452/common/191036,Hindi,,2017-07-10T11:05:51Z
41964,शेर,und,"","",,Hindi,Bobby McCabe,2017-08-03T00:43:06Z
41967,बाघ,und,"","",,Hindi,Bobby McCabe,2017-08-11T01:16:44Z
41967,शेर,und,"","",,Hindi,Bobby McCabe,2017-08-11T01:17:22Z
43697,एशियाई हाथी,und,"","",,Hindi,Bobby McCabe,2017-08-12T15:41:56Z
41651,भालु,und,"","",,Hindi,Bobby McCabe,2017-08-17T02:46:23Z
465033,भारतीय हाथी,und,"","",,Hindi,Bobby McCabe,2017-09-19T03:57:21Z
130793,बंगाल टाइगर,und,"","",,Hindi,Bobby McCabe,2017-09-20T00:08:56Z
74831,हिम तेन्दुआ,und,"","",,Hindi,Bobby McCabe,2017-10-13T01:00:17Z
499898,जंगली सुअर,und,"","",,Hindi,Bobby McCabe,2017-10-22T16:24:34Z
499898,वाराह,und,"","",,Hindi,Bobby McCabe,2017-10-22T16:25:05Z
81925,भैंस,und,"","",,Hindi,Bobby McCabe,2017-10-23T22:10:58Z
41963,तेन्दुआ,und,"","",,Hindi,Bobby McCabe,2017-10-25T00:43:01Z
372505,भारतीय तेन्दुआ,und,"","",,Hindi,Bobby McCabe,2017-10-25T00:50:05Z
147732,श्रीलंकाई तेन्दुआ,und,"","",,Hindi,Bobby McCabe,2017-10-25T00:52:37Z
41964,सिंह,und,"","",,Hindi,Bobby McCabe,2017-10-29T18:55:19Z
42042,स्याहगोश,und,"","",,Hindi,Bobby McCabe,2017-11-14T14:40:59Z
74111,गौर,und,"","",,Hindi,Bobby McCabe,2017-11-25T22:40:54Z
42356,मारखोर,und,"","",,Hindi,Bobby McCabe,2017-11-26T20:27:53Z
2,रज्जुकी,und,"","",,Hindi,John E. Christensen,2017-11-30T12:42:32Z
123005,चाय,und,"","",,Hindi,Bobby McCabe,2017-12-12T00:08:24Z
170883,केला,und,"","",,Hindi,John E. Christensen,2017-12-20T15:51:10Z
40019,स्थलीय कछुआ,und,"","",,Hindi,John E. Christensen,2017-12-29T13:53:23Z
42416,काला हिरन,und,"","",,Hindi,Bobby McCabe,2017-12-31T23:53:20Z
41659,पाण्डा,und,"","",,Hindi,Bobby McCabe,2018-01-03T00:35:19Z
43345,भारतीय गैण्डा,und,"","",,Hindi,Bobby McCabe,2018-01-03T17:06:18Z
47599,शतावर,und,"","",,Hindi,John E. Christensen,2018-01-09T12:23:56Z
43697,हाथी,und,"","",,Hindi,Bobby McCabe,2018-01-11T21:12:23Z
43697,गज,und,"","",,Hindi,Bobby McCabe,2018-01-11T21:13:28Z
40151,स्तनधारी,und,"","",,Hindi,Bobby McCabe,2018-01-11T21:20:05Z
40268,चमगादड़,und,"","",,Hindi,Bobby McCabe,2018-01-11T21:22:10Z
71272,शूलपर्णी,und,"","",,Hindi,John E. Christensen,2018-01-16T08:53:42Z
47170,फफूंद,und,"","",,Hindi,John E. Christensen,2018-01-20T08:43:17Z
47459,शीर्षपाद,und,"","",,Hindi,John E. Christensen,2018-01-30T07:27:40Z
5438,धनेश,und,"","",,Hindi,John E. Christensen,2018-02-01T11:13:57Z
42426,नीलगाय,und,"","",,Hindi,Bobby McCabe,2018-02-05T04:05:21Z
51921,छुइमुइ पौधा,und,"","",,Hindi,John E. Christensen,2018-02-06T15:59:28Z
53052,सौंफ,und,"","",,Hindi,John E. Christensen,2018-02-15T09:14:34Z
98531,सूंस,und,"","",,Hindi,John E. Christensen,2018-02-16T15:42:50Z
62941,शकरकन्द,und,"","",,Hindi,John E. Christensen,2018-02-17T13:20:11Z
48872,भारतीय आम,und,"","",,Hindi,John E. Christensen,2018-02-21T08:22:50Z
47217,ऑर्किड,und,"","",,Hindi,John E. Christensen,2018-03-01T11:17:03Z
123880,डायटोम,und,"","",,Hindi,John E. Christensen,2018-03-02T13:39:44Z
49292,सरो,und,"","",,Hindi,John E. Christensen,2018-03-09T08:13:41Z
164869,तोरई,und,"","",,Hindi,Anna T.,2018-06-01T17:16:46Z
116523,घड़ियाल,und,"","",,Hindi,Bobby McCabe,2018-06-05T12:10:14Z
116523,पशु,und,"","",,Hindi,Bobby McCabe,2018-06-05T12:10:30Z
63081,जोंक,und,"","",,Hindi,John E. Christensen,2018-06-13T08:45:54Z
39392,गोह,und,"","",,Hindi,John E. Christensen,2018-07-08T16:13:34Z
333586,केंचुआ,und,"","",,Hindi,John E. Christensen,2018-07-11T14:09:36Z
47375,कोणधारी,und,"","",,Hindi,John E. Christensen,2018-08-12T07:05:59Z
130793,बाघ,und,"","",,Hindi,harshithjv,2018-08-23T05:15:42Z
26258,पुंगवाभ मंडूक,und,India,IN,,Hindi,harshithjv,2018-08-25T19:31:24Z
787528,Paneer phool,und,"","",,Hindi,faerthen,2018-10-19T19:35:46Z
47336,चींटी,und,"","",,Hindi,John E. Christensen,2018-11-01T16:25:26Z
33177,छिपकली,und,"","",,Hindi,harshithjv,2018-11-08T05:31:41Z
47157,तितली,und,"","",,Hindi,John E. Christensen,2018-11-23T08:55:06Z
805392,Chhirvel,und,"","",,Hindi,Kai-Philipp Schablewski,2018-12-03T00:24:18Z
49556,शतपाद,und,"","",,Hindi,John E. Christensen,2018-12-12T11:04:13Z
57983,सूरजमुखी,und,"","",,Hindi,John E. Christensen,2018-12-23T15:21:41Z
70054,तरबूज़,und,"","",,Hindi,John E. Christensen,2018-12-24T10:47:36Z
114891,गोह,und,"","",,Hindi,John E. Christensen,2019-01-03T07:19:41Z
447155,गंगा चिल्ली,und,"","",,Hindi,John E. Christensen,2019-02-22T15:37:37Z
54960,सूत्रकृमि,und,"","",,Hindi,John E. Christensen,2019-03-01T09:38:43Z
47125,सपुष्पक पौधा,und,"","",,Hindi,John E. Christensen,2019-04-27T09:48:39Z
85553,साँप,und,"","",,Hindi,John E. Christensen,2019-04-28T07:14:54Z
425508,Barhar,und,"","",,Hindi,CheongWeei Gan,2019-05-03T00:12:38Z
43367,नरवानर गण,und,"","",,Hindi,John E. Christensen,2019-05-11T11:15:34Z
56739,अरंडी,und,"","",,Hindi,John E. Christensen,2019-05-12T14:28:25Z
47584,पटलक्लोमी,und,"","",,Hindi,John E. Christensen,2019-05-21T07:20:05Z
344178,अबोली,und,"Goa, IN","",,Hindi,harshithjv,2019-07-14T10:04:04Z
123745,कढीपत्ता पेड,und,India,IN,,Hindi,harshithjv,2019-07-14T10:18:22Z
123745,करी पत्ता पेड,und,India,IN,,Hindi,harshithjv,2019-07-14T10:19:17Z
123745,मीठा नीम पेड,und,India,IN,,Hindi,harshithjv,2019-07-14T10:20:03Z
369990,मधुपत्ती,und,India,IN,,Hindi,harshithjv,2019-07-14T10:50:54Z
160294,बल्लारि,und,"","",,Hindi,harshithjv,2019-07-14T11:00:01Z
160294,भेकी,und,"","",,Hindi,harshithjv,2019-07-14T11:00:11Z
160294,ब्रह्ममण्डूकी,und,"","",,Hindi,harshithjv,2019-07-14T11:00:26Z
160294,ब्राह्मी,und,"","",,Hindi,harshithjv,2019-07-14T11:00:37Z
160294,खुलखुडी,und,"","",,Hindi,harshithjv,2019-07-14T11:00:50Z
160294,मण्डूकी,und,"","",,Hindi,harshithjv,2019-07-14T11:01:09Z
122835,अरवी,und,"","",,Hindi,harshithjv,2019-07-14T12:32:04Z
122835,कचालू,und,"","",,Hindi,harshithjv,2019-07-14T12:32:32Z
122835,अरबी,und,"","",,Hindi,harshithjv,2019-07-14T12:37:41Z
311355,मोठ दाल,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/595784/common/197049,Hindi,sea-kangaroo,2019-08-03T18:30:23Z
199299,खींप,und,"","",,Hindi,Cody Hough,2019-08-15T22:18:26Z
325928,Bheel,und,"","",,Hindi,searipple,2019-10-09T03:39:43Z
49042,Ber,und,"","",,Hindi,searipple,2019-11-03T04:43:52Z
154212,Mullilam,und,"","",,Hindi,searipple,2019-11-08T16:16:41Z
505478,मुर्गी,und,"","",,Hindi,John E. Christensen,2019-11-26T12:51:02Z
131236,वायरस,und,"","",,Hindi,James K. Douch,2020-01-25T14:43:55Z
566591,कश्मीरी हंगुल,und,"","",,Hindi,Bobby McCabe,2020-02-14T01:50:36Z
557485,एशियाई सिंह,und,"","",https://www.inaturalist.org/taxon_names/945132/edit,Hindi,Bobby McCabe,2020-03-26T18:22:50Z
42313,भरल,und,"","",,Hindi,yak_czechia,2020-03-30T23:06:57Z
42309,Ruru,und,"","",,Hindi,Dewald du Plessis,2020-04-24T14:44:08Z
47114,उदरपाद,und,"","",,Hindi,John E. Christensen,2020-04-24T14:45:13Z
67532,अजगर,und,"","",,Hindi,John E. Christensen,2020-05-14T12:24:14Z
48536,सूरण कुल,und,"","",,Hindi,John E. Christensen,2020-07-03T13:12:49Z
42313,भरड़,und,"","",,Hindi,Bobby McCabe,2020-08-21T00:18:58Z
32150,अजगर,und,"","",,Hindi,harshithjv,2020-09-11T07:39:56Z
827,तिब्बती तीतर,und,"","",https://eol.org/pages/45515952,Hindi,lwnrngr,2020-09-22T18:02:42Z
