id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
48670,Aahu,und,"","",,Hopi,anneliese merrigan,2020-07-20T22:12:22Z
47336,Aanu,und,"","",,Hopi,anneliese merrigan,2020-07-20T22:13:12Z
7998,Angwusi,und,"","",,Hopi,anneliese merrigan,2020-07-20T22:13:57Z
41636,Hoonawu,und,"","",,Hopi,anneliese merrigan,2020-07-20T22:14:52Z
42051,Iisaw,und,"","",,Hopi,anneliese merrigan,2020-07-20T22:16:20Z
42387,Kaneelo,und,"","",,Hopi,anneliese merrigan,2020-07-20T22:17:08Z
42048,Kwewu,und,"","",,Hopi,anneliese merrigan,2020-07-20T22:18:08Z
47118,Kòokyangw,und,"","",,Hopi,anneliese merrigan,2020-07-20T22:19:04Z
42069,Leetayo,und,"","",,Hopi,anneliese merrigan,2020-07-20T22:20:10Z
47224,Masivie,und,"","",,Hopi,anneliese merrigan,2020-07-20T22:20:56Z
118552,Moosa,und,"","",,Hopi,anneliese merrigan,2020-07-20T22:21:55Z
42408,Mosayru,und,"","",,Hopi,anneliese merrigan,2020-07-20T22:22:28Z
44026,Muungyaw,und,"","",,Hopi,anneliese merrigan,2020-07-20T22:23:09Z
5305,Nuvakwahu,und,"","",,Hopi,anneliese merrigan,2020-07-20T22:24:02Z
43794,Pahona,und,"","",,Hopi,anneliese merrigan,2020-07-20T22:25:16Z
44705,Pö̀ösa,und,"","",,Hopi,anneliese merrigan,2020-07-20T22:26:35Z
44737,Qaala,und,"","",,Hopi,anneliese merrigan,2020-07-20T22:27:05Z
45933,Sakuna,und,"","",,Hopi,anneliese merrigan,2020-07-20T22:28:21Z
43117,Sowi,und,"","",,Hopi,anneliese merrigan,2020-07-20T22:29:06Z
29416,Taaho,und,"","",,Hopi,anneliese merrigan,2020-07-20T22:29:42Z
42007,Toho,und,"","",,Hopi,anneliese merrigan,2020-07-20T22:30:43Z
3,Tsiro,und,"","",,Hopi,anneliese merrigan,2020-07-20T22:31:30Z
39532,Yöngösona,und,"","",,Hopi,anneliese merrigan,2020-07-20T22:32:50Z
47982,Pelli,und,"","",,Hopi,Jared Shorma,2020-08-17T07:51:13Z
79345,Hohoise,und,"","",,Hopi,Elliott Gordon,2022-01-04T19:24:50Z
