id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
284455,abat,und,"","",,Huasteco,Ken-ichi Ueda,2013-05-16T07:57:47Z
209896,abib,und,"","",,Huasteco,Ken-ichi Ueda,2013-05-16T07:57:49Z
209892,ac,und,"","",,Huasteco,Ken-ichi Ueda,2013-05-16T07:57:53Z
273713,acan-tele,und,"","",,Huasteco,Ken-ichi Ueda,2013-05-16T07:57:59Z
139185,acte,und,"","",,Huasteco,Ken-ichi Ueda,2013-05-16T07:58:13Z
223927,ananté,und,"","",,Huasteco,Bodo Nuñez Oberg,2013-05-16T07:59:34Z
278714,ananté,und,"","",,Huasteco,Ken-ichi Ueda,2013-05-16T07:59:34Z
286029,anquith-i-cóxol,und,"","",,Huasteco,Ken-ichi Ueda,2013-05-16T07:59:39Z
168257,apatz,und,"","",,Huasteco,Ken-ichi Ueda,2013-05-16T07:59:42Z
154538,aquich,und,"","",,Huasteco,Adrian Bojorquez,2013-05-16T07:59:45Z
275112,ata,und,"","",,Huasteco,Ken-ichi Ueda,2013-05-16T08:00:08Z
120942,ata,und,"","",,Huasteco,Ken-ichi Ueda,2013-05-16T08:00:08Z
147252,barbas de chivo,und,"","",,Huasteco,Ken-ichi Ueda,2013-05-16T08:00:36Z
286052,barbas de chivo,und,"","",,Huasteco,Ken-ichi Ueda,2013-05-16T08:00:36Z
279093,barbas de chivo,und,"","",,Huasteco,Ken-ichi Ueda,2013-05-16T08:00:37Z
55727,barbas de chivo,und,"","",,Huasteco,Donald Davesne,2013-05-16T08:00:37Z
276511,bathuch,und,"","",,Huasteco,Ken-ichi Ueda,2013-05-16T08:00:44Z
62859,bec,und,"","",,Huasteco,Ken-ichi Ueda,2013-05-16T08:00:45Z
126925,Bolom,und,"","",,Huasteco,Ken-ichi Ueda,2013-05-16T08:02:29Z
76541,calam,und,"","",,Huasteco,Carlos Galindo-Leal,2013-05-16T08:03:17Z
275445,calulté,und,"","",,Huasteco,Ken-ichi Ueda,2013-05-16T08:03:19Z
60146,canimim-tzójol,und,"","",,Huasteco,Ken-ichi Ueda,2013-05-16T08:03:40Z
274199,cante,und,"","",,Huasteco,Ken-ichi Ueda,2013-05-16T08:03:41Z
79312,caxyhuitz,und,"","",,Huasteco,Jorge Rojas S.,2013-05-16T08:04:27Z
122965,chabchamhuitz,und,"","",,Huasteco,Ken-ichi Ueda,2013-05-16T08:04:47Z
154798,chabchamhuitz,und,"","",,Huasteco,Ken-ichi Ueda,2013-05-16T08:04:47Z
126305,chac-loc,und,"","",,Huasteco,Cheng Te Hsu,2013-05-16T08:04:50Z
161155,chilipajtle,und,"","",,Huasteco,Ken-ichi Ueda,2013-05-16T08:05:33Z
75396,chith,und,"","",,Huasteco,Ken-ichi Ueda,2013-05-16T08:05:40Z
47445,choben,und,"","",,Huasteco,Yingyod Lapwong,2013-05-16T08:05:40Z
51921,choben,und,"","",,Huasteco,Alec Cowles,2013-05-16T08:05:41Z
49665,Chuche,und,"","",,Huasteco,Ken-ichi Ueda,2013-05-16T08:05:50Z
122985,cobem,und,"","",,Huasteco,Ken-ichi Ueda,2013-05-16T08:06:08Z
141279,cócom,und,"","",,Huasteco,Ken-ichi Ueda,2013-05-16T08:06:11Z
210961,cócom-huey,und,"","",,Huasteco,Ken-ichi Ueda,2013-05-16T08:06:11Z
210062,colobte,und,"","",,Huasteco,Ken-ichi Ueda,2013-05-16T08:06:28Z
281785,cóyol,und,"","",,Huasteco,Ken-ichi Ueda,2013-05-16T08:07:10Z
146643,cóyol,und,"","",,Huasteco,Alec Cowles,2013-05-16T08:07:10Z
122521,cuath,und,"","",,Huasteco,Ken-ichi Ueda,2013-05-16T08:07:29Z
143208,cuath,und,"","",,Huasteco,Cheng Te Hsu,2013-05-16T08:07:29Z
192534,cuatlaquilocuáhuitl,und,"","",,Huasteco,Ken-ichi Ueda,2013-05-16T08:07:29Z
206192,cuhuich,und,"","",,Huasteco,Ken-ichi Ueda,2013-05-16T08:07:42Z
49569,cúthey,und,"","",,Huasteco,Bobby McCabe,2013-05-16T08:08:00Z
84798,cútil-papá,und,"","",,Huasteco,Ken-ichi Ueda,2013-05-16T08:08:00Z
291787,cutzé,und,"","",,Huasteco,Ken-ichi Ueda,2013-05-16T08:08:01Z
