id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
164415,cixauri-te,und,"","",,Huichol,sea-kangaroo,2013-05-16T08:06:02Z
169286,cuaripa,und,"","",,Huichol,Ken-ichi Ueda,2013-05-16T08:07:28Z
48514,cucú-rite,und,"","",,Huichol,Nick Block,2013-05-16T08:07:40Z
64017,háca-te,und,"","",,Huichol,Yoshimasa Uchiyama,2013-05-16T08:10:48Z
154828,hairite,und,"","",,Huichol,Adrian Bojorquez,2013-05-16T08:10:48Z
48448,'icú,und,"","",,Huichol,Ken-ichi Ueda,2013-05-16T08:15:26Z
164777,Hikuri,und,"","",,Huichol,Pedro Nájera Quezada,2013-05-16T08:16:11Z
122869,macú-te,und,"","",,Huichol,Oscar González,2013-05-16T08:18:06Z
166920,mutúri-te,und,"","",,Huichol,joshua_tx,2013-05-16T08:19:43Z
61375,taxiu-hixi,und,"","",,Huichol,Ken-ichi Ueda,2013-05-16T08:25:18Z
48592,uyuri,und,"","",,Huichol,Ken-ichi Ueda,2013-05-16T08:27:13Z
62859,vayeváxi-te,und,"","",,Huichol,Ken-ichi Ueda,2013-05-16T08:27:17Z
122985,xá-ta-te,und,"","",,Huichol,Ken-ichi Ueda,2013-05-16T08:27:33Z
76541,xusi-te,und,"","",,Huichol,Carlos Galindo-Leal,2013-05-16T08:28:00Z
170883,caaru-te,und,"","",,Huichol,Carlos Galindo-Leal,2014-10-13T18:18:13Z
287444,Tugüi,und,"","",,Huichol,Carlos Galindo-Leal,2017-04-05T14:23:19Z
79472,xiri-xi,und,"","",,Huichol,Konstantinos Kalaentzis,2017-04-20T06:43:51Z
273862,Uxa,und,"","",,Huichol,Pedro Nájera Quezada,2019-04-28T17:10:13Z
146589,Tsik+tame,und,"","",,Huichol,Pedro Nájera Quezada,2020-04-14T15:06:30Z
47118,Tuucá,und,"","",,Huichol,Diego Barrales,2021-03-14T17:01:46Z
48894,Nï'áari,und,"","",,Huichol,Diego Barrales,2021-03-14T17:04:18Z
48894,Teerïca,und,"","",,Huichol,Diego Barrales,2021-03-14T17:05:44Z
