id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
64373,Pireneusi göte,hu,"","",,Hungarian,Victor HOYEAU,2011-05-05T06:16:32Z
27735,alpesi szalamandra,hu,"","",,Hungarian,max kirsch,2011-05-05T06:16:37Z
19350,Bagolyalakúak,hu,"","",,Hungarian,John E. Christensen,2017-11-28T11:27:08Z
84298,Közönséges vadgesztenye,hu,"","",,Hungarian,John E. Christensen,2017-11-28T16:34:03Z
4956,Királygém,hu,"","",,Hungarian,John E. Christensen,2017-11-29T07:48:33Z
47434,Perjefélék,hu,"","",,Hungarian,John E. Christensen,2017-11-29T09:33:57Z
47115,Puhatestűek,hu,"","",,Hungarian,John E. Christensen,2017-11-29T21:55:49Z
2,Gerinchúrosok,hu,"","",,Hungarian,John E. Christensen,2017-11-30T13:20:10Z
47208,Bogarak,hu,"","",,Hungarian,John E. Christensen,2017-11-30T21:46:08Z
20978,Kétéltűek,hu,"","",,Hungarian,John E. Christensen,2017-12-01T10:08:49Z
47549,Tüskésbőrűek,hu,"","",,Hungarian,John E. Christensen,2017-12-02T21:07:23Z
1,Állatok,hu,"","",,Hungarian,John E. Christensen,2017-12-04T12:11:28Z
47373,Mamutfenyőformák,hu,"","",,Hungarian,John E. Christensen,2017-12-04T16:09:36Z
136329,Toboztermők,hu,"","",,Hungarian,John E. Christensen,2017-12-04T16:20:01Z
47126,Növények,hu,"","",,Hungarian,John E. Christensen,2017-12-06T07:48:37Z
48301,Ezüstös pikkelyke,hu,"","",,Hungarian,John E. Christensen,2017-12-09T15:42:29Z
56235,Tárnics,hu,"","",,Hungarian,John E. Christensen,2017-12-10T10:59:26Z
58205,Narancseper,hu,"","",,Hungarian,John E. Christensen,2017-12-11T06:45:37Z
59747,Európai vörösfenyő,hu,"","",,Hungarian,John E. Christensen,2017-12-11T17:46:55Z
53453,fűz,hu,"","",,Hungarian,John E. Christensen,2017-12-11T17:54:31Z
41708,Borjúfóka,hu,"","",,Hungarian,John E. Christensen,2017-12-12T13:12:59Z
49370,Csüdfű,hu,"","",,Hungarian,John E. Christensen,2017-12-12T15:19:16Z
53398,Golyós eukaliptusz,hu,"","",,Hungarian,John E. Christensen,2017-12-13T09:36:55Z
48220,Barnamoszatok,hu,"","",,Hungarian,John E. Christensen,2017-12-14T10:28:43Z
123003,Jákafa,hu,"","",,Hungarian,John E. Christensen,2017-12-14T11:22:29Z
83992,Közönséges nyír,hu,"","",,Hungarian,John E. Christensen,2017-12-14T22:16:50Z
5267,Vörös kánya,hu,"","",,Hungarian,John E. Christensen,2017-12-15T07:02:53Z
18874,Papagájalakúak,hu,"","",,Hungarian,John E. Christensen,2017-12-15T07:18:24Z
605446,napraforgó,hu,"","",,Hungarian,John E. Christensen,2017-12-15T08:20:02Z
211194,Szövetes növények,hu,"","",,Hungarian,John E. Christensen,2017-12-16T08:40:33Z
49187,Gesztenye,hu,"","",,Hungarian,John E. Christensen,2017-12-17T11:06:02Z
11858,Amerikai sziklafecske,hu,"","",,Hungarian,John E. Christensen,2017-12-17T14:39:41Z
48582,Madárberkenye,hu,"","",,Hungarian,John E. Christensen,2017-12-18T06:22:23Z
48796,Mályvavirágúak,hu,"","",,Hungarian,John E. Christensen,2017-12-18T12:56:25Z
1409,Bóbitás fürj,hu,"","",,Hungarian,John E. Christensen,2017-12-19T07:19:26Z
47124,Kétszikűek,hu,"","",,Hungarian,John E. Christensen,2017-12-20T07:56:56Z
48111,Imádkozó sáska,hu,"","",,Hungarian,John E. Christensen,2017-12-21T13:04:34Z
115167,Kardhal,hu,"","",,Hungarian,John E. Christensen,2017-12-22T08:25:01Z
