id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
20978,Amfibio,und,"","",,Ido,John E. Christensen,2017-12-01T10:11:49Z
43792,Kastoro,und,"","",,Ido,John E. Christensen,2017-12-06T08:57:07Z
49825,Esturjono,und,"","",,Ido,John E. Christensen,2017-12-22T21:35:24Z
47398,Ermit-krabo,und,"","",,Ido,John E. Christensen,2018-02-06T12:03:42Z
51884,Urtiko,und,"","",,Ido,John E. Christensen,2018-05-11T20:00:00Z
47783,Kankro,und,"","",,Ido,John E. Christensen,2018-06-20T15:48:09Z
47336,Formiko,und,"","",,Ido,John E. Christensen,2018-11-01T16:25:55Z
21359,Rospo,und,"","",,Ido,John E. Christensen,2018-12-21T09:45:18Z
57983,Helianto,und,"","",,Ido,John E. Christensen,2018-12-23T15:22:56Z
53352,Alno,und,"","",,Ido,John E. Christensen,2019-07-12T20:08:43Z
505478,Hano,und,"","",,Ido,John E. Christensen,2019-12-05T11:28:55Z
47903,Kaktuso,und,"","",,Ido,John E. Christensen,2021-02-10T16:19:07Z
41970,Jaguaro,und,"","",,Ido,Zane Roskoph,2021-07-30T12:04:31Z
42007,Pumao,und,"","",,Ido,Zane Roskoph,2021-08-01T00:59:14Z
41955,Gepardo,und,"","",,Ido,Zane Roskoph,2021-08-13T12:05:12Z
112581,Siluro,und,"","",,Ido,Zane Roskoph,2021-08-14T18:13:52Z
41553,Baleno blua,und,"","",,Ido,Zane Roskoph,2021-08-15T14:56:38Z
41964,Leono,und,"","",,Ido,Zane Roskoph,2021-08-24T13:16:31Z
74831,Unco,und,"","",,Ido,Zane Roskoph,2021-08-25T11:43:35Z
41967,Tigro,und,"","",,Ido,Zane Roskoph,2021-08-26T15:25:54Z
