id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
101881,Asa,und,"","",http://www.ubio.org/browser/details.php?namebankID=920884,Igbo,max kirsch,2013-04-16T05:29:41Z
131236,nje,und,"","",,Igbo,James K. Douch,2020-02-23T02:07:02Z
169944,mbuli,und,"","",,Igbo,Botswanabugs,2021-06-19T04:49:44Z
97790,Okpo isiukwu,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082883/common/83752,Igbo,,2021-07-12T17:05:48Z
97770,Okpo isiukwu,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082893/common/83736,Igbo,,2021-07-12T17:05:49Z
102742,Kpokpo,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066252/common/233224,Igbo,,2021-07-15T14:15:31Z
102742,Okpo,und,"","",,Igbo,Zane Roskoph,2021-07-16T16:15:58Z
102692,Azu isii,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082217/common/185258,Igbo,,2021-07-19T16:46:45Z
102690,Azu isii,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082214/common/185301,Igbo,,2021-07-19T16:46:47Z
102691,Azu isii,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082216/common/185264,Igbo,,2021-07-19T16:46:47Z
426816,Uhio,und,"","",,Igbo,Zane Roskoph,2021-07-23T18:37:42Z
426816,Uhiokrihio,und,"","",,Igbo,Zane Roskoph,2021-07-23T18:38:08Z
41964,Odúm,und,"","",,Igbo,Zane Roskoph,2021-08-24T13:15:00Z
41967,agụ,und,"","",,Igbo,Zane Roskoph,2021-08-26T15:25:03Z
141177,ugaele,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Igbo,Ken-ichi Ueda,2021-10-21T20:16:14Z
141177,uguele,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Igbo,Ken-ichi Ueda,2021-10-21T20:16:15Z
164238,botuje,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Igbo,Ken-ichi Ueda,2021-10-21T20:16:15Z
164238,botuje pupa,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Igbo,Ken-ichi Ueda,2021-10-21T20:16:15Z
164238,bula-olo,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Igbo,Ken-ichi Ueda,2021-10-21T20:16:16Z
164238,lapalapa,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Igbo,Ken-ichi Ueda,2021-10-21T20:16:16Z
164238,lapalapa-funfun,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Igbo,Ken-ichi Ueda,2021-10-21T20:16:16Z
164238,lobotuje,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Igbo,Ken-ichi Ueda,2021-10-21T20:16:17Z
164238,okwata,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Igbo,Ken-ichi Ueda,2021-10-21T20:16:17Z
164238,olobotuje,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Igbo,Ken-ichi Ueda,2021-10-21T20:16:17Z
164238,olobuntuje,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Igbo,Ken-ichi Ueda,2021-10-21T20:16:18Z
164238,owe ayaba,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Igbo,Ken-ichi Ueda,2021-10-21T20:16:18Z
81491,alamborodar,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Igbo,Ken-ichi Ueda,2021-10-21T20:16:18Z
81491,itemi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Igbo,Ken-ichi Ueda,2021-10-21T20:16:19Z
81491,izbi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Igbo,Ken-ichi Ueda,2021-10-21T20:16:19Z
81491,oke ogisi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Igbo,Ken-ichi Ueda,2021-10-21T20:16:19Z
81491,okpe sera,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Igbo,Ken-ichi Ueda,2021-10-21T20:16:20Z
81491,uturbrin,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Igbo,Ken-ichi Ueda,2021-10-21T20:16:20Z
81491,uturubein,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Igbo,Ken-ichi Ueda,2021-10-21T20:16:20Z
81491,uturukpa,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Igbo,Ken-ichi Ueda,2021-10-21T20:16:21Z
188508,Okpo,und,"","",,Igbo,Zane Roskoph,2021-12-31T15:17:20Z
427768,onugbu,und,"","",,Igbo,Botswanabugs,2022-02-04T04:40:27Z
469472,apụl,und,"","",,Igbo,DW,2022-03-27T04:37:31Z
469472,udara,und,"","",,Igbo,DW,2022-03-27T04:38:10Z
