id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
24830,Percil Jawa,id,Indonesia,ID,,Indonesian,Naufal Urfi Dhiya'ulhaq,2011-05-05T06:15:50Z
43592,Owa Jawa,id,"","",,Indonesian,Tan Kok Hui,2011-05-18T03:02:35Z
40081,Baning Sulawesi,id,Indonesia,ID,The Reptile Database (2011). Downloaded from http://www.reptile-database.org on 31/07/2011,Indonesian,Naufal Urfi Dhiya'ulhaq,2011-08-19T02:52:28Z
83106,Nipah,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-17T07:52:59Z
121022,Mengkudu,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-17T09:04:54Z
83100,Sagu,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-22T23:37:00Z
70027,Sukun,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-22T23:42:37Z
123003,Nangka,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-22T23:45:48Z
346373,Kluwih,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-22T23:47:38Z
347392,Cempedak,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-22T23:53:58Z
50616,Bunga Pukul Empat,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-23T09:01:33Z
127387,Puring,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-23T09:04:04Z
62924,Tapak Dara,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-23T09:08:53Z
208742,Ekor Kucing,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-23T09:24:20Z
63694,Rimbang,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-23T09:33:42Z
63694,Takokak,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-23T09:34:41Z
160759,Bunga Biru,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-23T09:39:14Z
160759,Kembang Telang,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-23T09:40:20Z
128270,Tebu,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-23T09:44:48Z
164238,Jarak Pagar,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-23T09:48:40Z
56739,Jarak,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-23T09:53:48Z
283377,Keladi,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-23T09:57:14Z
122278,Keong Mas,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-23T10:04:02Z
62941,Ubi Rambat,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-23T10:11:30Z
62941,Ubi Jalar,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-23T10:12:32Z
164077,Kangkung,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-23T10:14:45Z
48865,Kelapa,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-23T10:17:43Z
278605,Rambutan,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-23T10:19:36Z
123001,Manggis,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-23T10:22:02Z
48872,Mangga,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-23T10:40:04Z
345967,Kedondong,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-23T10:42:49Z
327846,Duku,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-23T10:49:14Z
327846,Langsat,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-23T10:50:11Z
62887,Jati,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-23T10:55:25Z
292127,Kayumanis,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-23T10:59:01Z
192894,Kayu Ulin,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-23T11:03:02Z
192894,Kayu Bulian,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-23T11:04:36Z
68656,Cendana,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-23T11:10:20Z
344723,Tembesu,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-23T11:14:35Z
347424,Tanjung,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-23T11:25:59Z
189370,Gaharu,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-23T11:32:23Z
164065,Nila,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-23T11:41:14Z
164065,Tarum,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-23T11:42:56Z
122796,Cabe Rawit,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-24T02:09:30Z
48514,Cabe,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-24T02:13:32Z
62868,Baru,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-24T02:24:22Z
119386,Kunyit,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-24T02:32:58Z
347622,Temumangga,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-24T02:36:05Z
122971,Jahe,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-24T02:39:26Z
123046,Pandan,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-24T02:43:44Z
184182,Sereh,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-24T02:48:21Z
122770,Cengkeh,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-24T02:56:55Z
346606,Kencur,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-24T03:00:51Z
62844,Asam Jawa,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-24T03:05:17Z
346855,Cabe Jawa,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-24T03:08:10Z
83583,Merica,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-24T03:10:39Z
83583,Lada,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-24T03:11:40Z
122768,Pala,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-24T03:30:02Z
53052,Adas Manis,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-24T04:09:11Z
119387,Kapulaga,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-24T04:13:33Z
123732,Lengkuas,id,Indonesia,ID,,Indonesian,Tabris Tabarsi,2014-03-24T04:16:39Z
