id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
55869,cyclamen,und,"","",http://www.ubio.org/browser/details.php?namebankID=842951,Informal Latinized Name (Vernacular Concept Only),Ken-ichi Ueda,2010-02-10T20:14:23Z
56872,eranthis,und,"","",http://www.ubio.org/browser/details.php?namebankID=795403,Informal Latinized Name (Vernacular Concept Only),Ken-ichi Ueda,2010-03-11T19:01:21Z
59362,urospermum,und,"","",http://www.ubio.org/browser/details.php?namebankID=815439,Informal Latinized Name (Vernacular Concept Only),Ken-ichi Ueda,2010-04-08T20:44:20Z
59379,kalanchoe,und,"","",http://www.ubio.org/browser/details.php?namebankID=842614,Informal Latinized Name (Vernacular Concept Only),Ken-ichi Ueda,2010-04-10T03:11:01Z
64027,arundo,und,"","",http://www.ubio.org/browser/details.php?namebankID=818042,Informal Latinized Name (Vernacular Concept Only),Ken-ichi Ueda,2010-11-27T05:21:54Z
68175,ascidiota,und,"","",http://www.ubio.org/browser/details.php?namebankID=792899,Informal Latinized Name (Vernacular Concept Only),Ken-ichi Ueda,2011-03-10T08:38:19Z
70270,dacrycarpus,und,"","",http://www.ubio.org/browser/details.php?namebankID=842929,Informal Latinized Name (Vernacular Concept Only),Ken-ichi Ueda,2011-05-02T03:50:21Z
84150,pandanus,und,"","",http://www.ubio.org/browser/details.php?namebankID=849646,Informal Latinized Name (Vernacular Concept Only),Ken-ichi Ueda,2011-06-29T17:11:27Z
52942,navarretia,und,"","",http://www.ubio.org/browser/details.php?namebankID=808300,Informal Latinized Name (Vernacular Concept Only),Ken-ichi Ueda,2011-06-29T17:53:47Z
55853,brunnera,und,"","",http://www.ubio.org/browser/details.php?namebankID=843137,Informal Latinized Name (Vernacular Concept Only),Ken-ichi Ueda,2011-07-23T01:36:44Z
116670,microstegium,und,"","",http://www.ubio.org/browser/details.php?namebankID=842693,Informal Latinized Name (Vernacular Concept Only),Ken-ichi Ueda,2011-08-07T15:45:30Z
122577,hedyotis,und,"","",http://www.ubio.org/browser/details.php?namebankID=811843,Informal Latinized Name (Vernacular Concept Only),Ken-ichi Ueda,2012-01-09T18:27:05Z
170552,canna lily,und,"","",http://www.ubio.org/browser/details.php?namebankID=819048,Informal Latinized Name (Vernacular Concept Only),Ken-ichi Ueda,2012-08-08T22:04:35Z
68685,cassia,und,"","",http://www.ubio.org/browser/details.php?namebankID=802531,Informal Latinized Name (Vernacular Concept Only),Ken-ichi Ueda,2012-09-02T21:46:57Z
147263,crescentia,und,"","",http://www.ubio.org/browser/details.php?namebankID=811219,Informal Latinized Name (Vernacular Concept Only),Ken-ichi Ueda,2012-09-06T05:51:05Z
148399,hillebrandia,und,"","",http://www.ubio.org/browser/details.php?namebankID=799107,Informal Latinized Name (Vernacular Concept Only),Ken-ichi Ueda,2012-09-11T04:04:54Z
155675,whitneya,und,"","",http://www.ubio.org/browser/details.php?namebankID=815529,Informal Latinized Name (Vernacular Concept Only),Ken-ichi Ueda,2012-10-21T21:13:08Z
155904,telaranea,und,"","",http://www.ubio.org/browser/details.php?namebankID=792777,Informal Latinized Name (Vernacular Concept Only),Ken-ichi Ueda,2012-10-21T21:53:00Z
155985,stokesia,und,"","",http://www.ubio.org/browser/details.php?namebankID=815283,Informal Latinized Name (Vernacular Concept Only),Ken-ichi Ueda,2012-10-21T21:59:19Z
156005,steerecleus moss,und,"","",http://www.ubio.org/browser/details.php?namebankID=859390,Informal Latinized Name (Vernacular Concept Only),Ken-ichi Ueda,2012-10-21T22:02:15Z
156098,shoshonea,und,"","",http://www.ubio.org/browser/details.php?namebankID=842849,Informal Latinized Name (Vernacular Concept Only),Ken-ichi Ueda,2012-10-21T22:10:36Z
156117,seseli,und,"","",http://www.ubio.org/browser/details.php?namebankID=806748,Informal Latinized Name (Vernacular Concept Only),Ken-ichi Ueda,2012-10-21T22:10:59Z
156113,shortia,und,"","",http://www.ubio.org/browser/details.php?namebankID=800651,Informal Latinized Name (Vernacular Concept Only),Ken-ichi Ueda,2012-10-21T22:11:01Z
156333,bischofia,und,"","",http://www.ubio.org/browser/details.php?namebankID=805050,Informal Latinized Name (Vernacular Concept Only),Cheng Te Hsu,2012-10-21T22:25:40Z
156419,pteralyxia,und,"","",http://www.ubio.org/browser/details.php?namebankID=807085,Informal Latinized Name (Vernacular Concept Only),Ken-ichi Ueda,2012-10-21T22:32:38Z
156446,pseudoditrichum moss,und,"","",http://www.ubio.org/browser/details.php?namebankID=793084,Informal Latinized Name (Vernacular Concept Only),Ken-ichi Ueda,2012-10-21T22:34:28Z
156467,pseudoclappia,und,"","",http://www.ubio.org/browser/details.php?namebankID=815098,Informal Latinized Name (Vernacular Concept Only),Ken-ichi Ueda,2012-10-21T22:35:09Z
156564,pritchardia,und,"","",http://www.ubio.org/browser/details.php?namebankID=819087,Informal Latinized Name (Vernacular Concept Only),Ken-ichi Ueda,2012-10-21T22:37:55Z
156487,pseudephemerum moss,und,"","",http://www.ubio.org/browser/details.php?namebankID=859373,Informal Latinized Name (Vernacular Concept Only),Ken-ichi Ueda,2012-10-21T22:38:57Z
