id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
1,ᓂᕐᔪᑦ,und,"","",,Inuktitut,John E. Christensen,2017-12-04T11:33:26Z
42412,ᐅᒥᖕᒪᒃ,und,"","",,Inuktitut,Bobby McCabe,2018-01-18T19:17:43Z
120156,ᑎᒻᒥᕗᖅ/timmivuq,und,"","",,Inuktitut,John E. Christensen,2018-02-05T17:38:57Z
52134,ᑭᒃᑐᕆᐊᖅ,und,"","",,Inuktitut,John E. Christensen,2018-02-17T10:24:44Z
447155,ᓇᐅᔭᖅ,und,"","",,Inuktitut,John E. Christensen,2018-10-01T14:20:59Z
47157,ᑕᕐᕋᓕᑭᑖᖅ,und,"","",,Inuktitut,John E. Christensen,2018-11-23T08:55:35Z
505478,ᐊ'ᐊ'ᐋᒃ,und,"","",,Inuktitut,John E. Christensen,2019-12-05T11:29:45Z
48648,Saamarug,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078694/common/45750,Inuktitut,,2021-07-09T13:43:15Z
48648,Kapisalirksoak,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078694/common/45801,Inuktitut,,2021-07-09T13:44:14Z
98438,Kapisilik,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078574/common/6491,Inuktitut,Cole Gaerber,2021-07-09T13:44:20Z
98440,Kapisilik,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078577/common/6460,Inuktitut,,2021-07-09T13:44:23Z
110661,Kapisilik,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078660/common/187975,Inuktitut,,2021-07-09T13:44:23Z
97990,Kapisilik,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10058053/common/90139,Inuktitut,,2021-07-09T13:44:23Z
48648,Kapisilik,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078694/common/45800,Inuktitut,,2021-07-09T13:44:24Z
215151,Kapisilik,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10064995/common/223753,Inuktitut,,2021-07-09T13:44:24Z
119501,Kapisilik,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10085535/common/347271,Inuktitut,,2021-07-09T13:44:25Z
98445,Kapisilik,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078563/common/6620,Inuktitut,,2021-07-09T13:44:25Z
48648,Saamakutaak,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078694/common/45751,Inuktitut,,2021-07-09T13:44:31Z
48648,Kumaliq,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078694/common/45795,Inuktitut,,2021-07-09T13:45:02Z
48648,Kebleriksorsoak,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078694/common/45798,Inuktitut,,2021-07-09T13:45:05Z
48648,Kavisilik,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078694/common/45799,Inuktitut,,2021-07-09T13:45:15Z
98445,Kavisilik,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078563/common/6616,Inuktitut,,2021-07-09T13:45:15Z
98438,Kavisilik,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078574/common/6489,Inuktitut,Cole Gaerber,2021-07-09T13:45:15Z
98469,Kavisilik,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078607/common/6159,Inuktitut,,2021-07-09T13:45:16Z
110661,Kavisilik,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078660/common/187973,Inuktitut,,2021-07-09T13:45:16Z
112841,Ekaludjuag,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10083921/common/148623,Inuktitut,,2021-07-14T12:12:56Z
112841,Ekalugssuak,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10083921/common/148624,Inuktitut,,2021-07-14T12:13:13Z
