id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
112118,Deargan,und,"","",http://www.ubio.org/browser/details.php?namebankID=891039,Irish,Ken-ichi Ueda,2012-05-01T02:45:46Z
41708,Rón Beag,und,"","",,Irish,Bobby McCabe,2017-10-10T00:30:28Z
2,Chordates,und,"","",,Irish,John E. Christensen,2017-11-30T13:05:57Z
136329,Cónaiféar,und,"","",,Irish,John E. Christensen,2017-12-04T16:22:54Z
47208,Ciaróg,und,"","",,Irish,John E. Christensen,2017-12-22T08:28:50Z
49825,Bradán fearna,und,"","",,Irish,John E. Christensen,2017-12-22T21:37:26Z
56739,Planda ola ricne,und,"","",,Irish,John E. Christensen,2017-12-27T15:40:13Z
343021,Earcán caoch,und,"","",,Irish,John E. Christensen,2018-01-02T11:18:17Z
48301,Gilín (feithid),und,"","",,Irish,John E. Christensen,2018-01-19T15:35:32Z
85552,Laghairt,und,"","",,Irish,John E. Christensen,2018-01-27T07:33:10Z
39532,Turtar,und,"","",,Irish,John E. Christensen,2018-02-02T07:38:43Z
3800,Gainnéad,und,"","",,Irish,John E. Christensen,2018-02-08T09:50:51Z
83204,Dreancaid,und,"","",,Irish,John E. Christensen,2018-02-10T13:29:52Z
10070,Rí rua,und,"","",,Irish,John E. Christensen,2018-02-12T12:50:35Z
115167,Colgán,und,"","",,Irish,John E. Christensen,2018-02-17T13:16:12Z
49292,Cúfróg,und,"","",,Irish,John E. Christensen,2018-03-09T08:12:34Z
47668,Méadail mhéarach,und,"","",,Irish,John E. Christensen,2018-03-16T14:31:07Z
5305,Iolar maol,und,"","",,Irish,John E. Christensen,2018-03-23T10:47:43Z
56152,Creamh,und,"","",,Irish,John E. Christensen,2018-04-02T06:30:34Z
53178,Slánlus,und,"","",,Irish,John E. Christensen,2018-04-03T06:51:52Z
56222,Sponc,und,"","",,Irish,John E. Christensen,2018-04-10T16:31:18Z
40019,Toirtís,und,"","",,Irish,John E. Christensen,2018-04-15T12:55:20Z
143243,Fíogadán,und,"","",,Irish,John E. Christensen,2018-04-25T14:44:50Z
47603,Caisearbhán,und,"","",,Irish,John E. Christensen,2018-04-30T15:06:29Z
47429,Ciotón,und,"","",,Irish,John E. Christensen,2018-05-02T14:18:22Z
67759,Lus an choire,und,"","",,Irish,John E. Christensen,2018-05-06T07:28:50Z
765394,trom,und,"","",,Irish,cassi saari,2018-09-28T13:15:01Z
53030,Leadán,und,"","",,Irish,John E. Christensen,2018-10-24T09:18:06Z
41871,Scúnc,und,"","",,Irish,John E. Christensen,2018-10-28T12:55:14Z
51611,Seamair chré,und,"","",,Irish,John E. Christensen,2018-11-05T09:44:03Z
