id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
59567,sequoia gigante,und,"","",,Italiano,John E. Christensen,2017-12-07T15:20:45Z
605446,girasole comune,und,"","",,Italiano,John E. Christensen,2017-12-15T08:19:34Z
47451,Acacia di Costantinopoli,und,"","",,Italiano,John E. Christensen,2018-01-03T11:27:21Z
481959,Stelle marine,und,"","",,Italiano,John E. Christensen,2018-01-29T09:53:14Z
48256,Abete di Douglas,und,"","",,Italiano,John E. Christensen,2018-03-18T20:59:54Z
55886,Medaglie del papa,und,Italy,IT,,Italiano,Claudio Flamigni,2018-04-10T21:15:04Z
56306,Erica carnicina,und,Italy,IT,,Italiano,Claudio Flamigni,2018-04-12T11:06:10Z
55850,Farfaraccio maggiore,und,Italy,IT,,Italiano,Claudio Flamigni,2018-04-12T11:10:54Z
55819,Primula odorosa,und,Italy,IT,,Italiano,Claudio Flamigni,2018-04-12T11:18:07Z
55883,L'edera comune,und,"","",,Italiano,John E. Christensen,2018-05-01T06:58:37Z
326185,Stella alpina,und,"","",,Italiano,fabriziolanfredi,2018-07-24T18:02:01Z
331124,Limone,und,Italy,IT,,Italiano,XXX,2018-10-18T14:29:41Z
48582,Sorbi,und,"","",,Italiano,Corrado Alessandrini,2019-01-05T09:22:50Z
124550,Mosca carnaria,und,"","",,Italiano,Marcello Consolo,2019-01-07T12:21:07Z
48662,Monarca,und,"","",,Italiano,Marcello Consolo,2019-01-07T12:48:41Z
56064,Ranuncolo comune,und,"","",,Italiano,Irene Saltini,2019-07-22T11:27:44Z
48460,Essere vivente,und,Italy,IT,,Italiano,Daniele Seglie,2019-09-22T07:50:44Z
962343,GGambero di fiume europeo,und,Italy,IT,,Italiano,Daniele Seglie,2019-11-05T16:54:07Z
971275,Betonica gialla di Tenore,und,"","",,Italiano,Wolfgang Jauch,2019-11-29T19:37:27Z
866327,Senecione del Sannio,und,"","",,Italiano,Wolfgang Jauch,2019-11-29T20:55:34Z
335873,Pedicolare elegante,und,"","",,Italiano,Wolfgang Jauch,2019-11-30T13:08:31Z
55830,Edera terrestre,und,"","",,Italiano,Irene Saltini,2020-02-20T12:49:28Z
1017167,Martasteria,und,"","",,Italiano,Karim Haddad,2020-03-19T21:21:50Z
64161,Frumento,und,"","",,Italiano,Daniel Dreosso,2020-05-18T22:03:52Z
168867,Finocchiella maggiore,und,"","",,Italiano,Irene Saltini,2020-07-18T14:07:44Z
