id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
154282,Haharan,und,"","",,Ivatan,Zane Roskoph,2021-07-27T16:31:42Z
94016,Ngangadi,und,"","",,Ivatan,Zane Roskoph,2021-07-27T16:56:07Z
94016,Taysiw,und,"","",,Ivatan,Zane Roskoph,2021-07-27T16:56:36Z
135283,Ched,und,"","",,Ivatan,Zane Roskoph,2021-07-27T18:06:09Z
135283,Chud,und,"","",,Ivatan,Zane Roskoph,2021-07-27T18:06:21Z
63597,Taysiw,und,"","",,Ivatan,Zane Roskoph,2021-07-27T19:27:27Z
132410,Hangsa,und,"","",,Ivatan,Zane Roskoph,2021-07-28T14:59:16Z
49639,Pakes,und,"","",,Ivatan,Zane Roskoph,2021-07-29T00:42:02Z
53669,Natutong,und,"","",,Ivatan,Zane Roskoph,2021-07-30T11:35:56Z
53669,Tutong,und,"","",,Ivatan,Zane Roskoph,2021-07-30T11:36:37Z
52451,Nitinit,und,"","",,Ivatan,Zane Roskoph,2021-08-03T16:13:38Z
371890,Natipolo,und,"","",,Ivatan,Zane Roskoph,2021-08-05T17:24:57Z
84181,Tapel,und,"","",,Ivatan,Zane Roskoph,2021-09-13T12:37:14Z
83879,Ulungan,und,"","",,Ivatan,Zane Roskoph,2021-09-15T23:32:57Z
47257,Tanigi,und,"","",,Ivatan,Zane Roskoph,2021-09-20T00:27:02Z
97098,Arawa,und,"","",,Ivatan,Zane Roskoph,2021-09-25T15:29:18Z
97004,Uhami,und,"","",,Ivatan,Zane Roskoph,2021-10-09T16:09:22Z
52464,Totong,und,"","",,Ivatan,Zane Roskoph,2021-10-17T14:16:17Z
49498,Navuvuyas,und,"","",,Ivatan,Zane Roskoph,2021-10-17T14:32:26Z
109043,Adngey,und,"","",,Ivatan,Zane Roskoph,2021-12-04T06:34:31Z
122514,Malawlaw,und,"","",,Ivatan,Zane Roskoph,2021-12-06T00:21:08Z
122514,Tavuyon,und,"","",,Ivatan,Zane Roskoph,2021-12-06T00:21:29Z
95815,Batuan,und,"","",,Ivatan,Zane Roskoph,2022-01-07T02:09:16Z
