id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
429261,柃,und,Japan,JP,,Japanese (Kanji),Erwin Gruber,2015-03-22T09:30:15Z
359224,檀,und,Japan,JP,,Japanese (Kanji),harum.koh,2015-10-24T14:31:30Z
450812,小紫陽花,und,Japan,JP,,Japanese (Kanji),harum.koh,2016-05-27T16:41:32Z
516899,雲雀,und,Japan,JP,,Japanese (Kanji),harum.koh,2016-11-28T00:16:48Z
118894,螻蛄,und,Japan,JP,,Japanese (Kanji),harum.koh,2017-04-24T13:04:10Z
342868,大花延齢草,und,Japan,JP,,Japanese (Kanji),harum.koh,2017-05-20T05:39:55Z
546896,杓,und,Japan,JP,,Japanese (Kanji),harum.koh,2017-05-23T11:48:29Z
547458,山桜,und,Japan,JP,,Japanese (Kanji),harum.koh,2017-05-28T16:23:15Z
469185,赤手蟹,und,Japan,JP,,Japanese (Kanji),harum.koh,2017-06-25T15:28:40Z
64323,棕櫚,und,Japan,JP,,Japanese (Kanji),harum.koh,2017-08-04T11:56:33Z
53183,蝦夷立傍食,und,Japan,JP,,Japanese (Kanji),harum.koh,2017-08-17T13:14:46Z
371228,馬の鈴草,und,Japan,JP,,Japanese (Kanji),harum.koh,2017-08-17T17:07:46Z
4835,背高鷸,und,Japan,JP,,Japanese (Kanji),harum.koh,2017-08-20T13:51:46Z
158727,子鮒草,und,Japan,JP,,Japanese (Kanji),harum.koh,2017-09-22T14:27:30Z
372170,紙八手,und,Japan,JP,,Japanese (Kanji),harum.koh,2017-09-24T11:16:21Z
452096,青膚,und,Japan,JP,,Japanese (Kanji),harum.koh,2017-09-25T13:31:08Z
119830,独活,und,Japan,JP,,Japanese (Kanji),harum.koh,2017-09-26T19:49:49Z
369319,河原決明,und,Japan,JP,,Japanese (Kanji),harum.koh,2017-10-03T11:53:48Z
201627,殿様飛蝗,und,Japan,JP,,Japanese (Kanji),harum.koh,2017-10-04T15:22:03Z
53911,鯉,und,Japan,JP,,Japanese (Kanji),harum.koh,2017-10-06T11:53:28Z
627203,衝羽根樫,und,Japan,JP,,Japanese (Kanji),harum.koh,2018-01-12T13:25:16Z
359576,大紫羅欄花,und,Japan,JP,,Japanese (Kanji),harum.koh,2018-02-17T05:28:34Z
359576,諸葛菜,und,Japan,JP,,Japanese (Kanji),harum.koh,2018-02-17T05:29:15Z
359576,紫花菜,und,Japan,JP,,Japanese (Kanji),harum.koh,2018-02-17T05:29:45Z
635715,山母子,und,Japan,JP,,Japanese (Kanji),harum.koh,2018-02-17T13:17:43Z
56027,水仙,und,Japan,JP,,Japanese (Kanji),harum.koh,2018-02-18T16:25:33Z
510041,三葉空木,und,Japan,JP,,Japanese (Kanji),harum.koh,2018-02-19T13:08:41Z
639248,姥岳人参,und,Japan,JP,,Japanese (Kanji),harum.koh,2018-03-05T14:51:56Z
639253,類葉升麻,und,Japan,JP,,Japanese (Kanji),harum.koh,2018-03-05T15:23:40Z
125423,白木蓮,und,Japan,JP,,Japanese (Kanji),harum.koh,2018-03-17T11:09:20Z
190912,日向水木,und,Japan,JP,,Japanese (Kanji),harum.koh,2018-03-24T12:00:30Z
69930,草藺,und,Japan,JP,,Japanese (Kanji),harum.koh,2018-04-05T20:16:10Z
707570,小哨吶草,und,Japan,JP,,Japanese (Kanji),harum.koh,2018-05-01T23:30:05Z
127861,広葉杉,und,Japan,JP,,Japanese (Kanji),harum.koh,2018-05-02T00:37:33Z
474408,衝羽根,und,Japan,JP,,Japanese (Kanji),harum.koh,2018-05-02T01:01:39Z
427548,蚊母樹,und,Japan,JP,,Japanese (Kanji),harum.koh,2018-05-02T04:23:29Z
501448,黄菫,und,Japan,JP,,Japanese (Kanji),harum.koh,2018-05-09T11:37:24Z
162991,青桐,und,Japan,JP,,Japanese (Kanji),harum.koh,2018-05-09T13:20:39Z
62205,立葵,und,Japan,JP,,Japanese (Kanji),harum.koh,2018-05-12T14:14:36Z
75747,数の子草,und,Japan,JP,,Japanese (Kanji),harum.koh,2018-05-25T16:56:02Z
627160,野蒜,und,Japan,JP,,Japanese (Kanji),harum.koh,2018-06-02T14:09:49Z
483447,棘蟻,und,Japan,JP,,Japanese (Kanji),harum.koh,2018-06-30T17:09:33Z
359318,藪萱草,und,Japan,JP,,Japanese (Kanji),harum.koh,2018-07-01T16:38:47Z
359178,麒麟草,und,Japan,JP,,Japanese (Kanji),harum.koh,2018-07-13T12:39:29Z
503240,鳥足升麻,und,Japan,JP,,Japanese (Kanji),harum.koh,2018-08-22T08:25:22Z
858337,白糸草,und,Japan,JP,,Japanese (Kanji),harum.koh,2019-06-03T14:56:13Z
170260,深山菫,und,Japan,JP,,Japanese (Kanji),harum.koh,2019-06-29T16:34:26Z
452324,三角草,und,Japan,JP,,Japanese (Kanji),harum.koh,2019-07-13T09:06:47Z
342867,延齢草,und,Japan,JP,,Japanese (Kanji),harum.koh,2019-08-07T09:49:11Z
553295,大山黄菫,und,Japan,JP,,Japanese (Kanji),harum.koh,2019-09-15T23:15:54Z
