id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
47115,Moluska,und,"","",,Javanese,John E. Christensen,2017-12-02T11:19:24Z
355675,Vertebrata,und,"","",,Javanese,John E. Christensen,2017-12-06T09:32:05Z
43343,Warak Sumatra,und,"","",,Javanese,Bobby McCabe,2018-01-29T01:27:42Z
39532,Bulus,und,"","",,Javanese,John E. Christensen,2018-02-02T07:40:04Z
311249,Lumut,und,"","",,Javanese,John E. Christensen,2018-02-03T08:14:07Z
47219,Tawon undhuhan,und,"","",,Javanese,John E. Christensen,2018-02-06T10:30:08Z
136329,Tetanduran runjung,und,"","",,Javanese,John E. Christensen,2018-03-03T08:24:19Z
59254,Lokio,und,"","",,Javanese,John E. Christensen,2018-04-04T07:09:49Z
39392,Mencawak,und,"","",,Javanese,John E. Christensen,2018-07-08T16:12:35Z
45933,Cuwut,und,"","",,Javanese,John E. Christensen,2018-07-12T15:28:00Z
47336,Semut,und,"","",,Javanese,John E. Christensen,2018-11-01T16:27:03Z
57140,Jaétun,und,"","",,Javanese,John E. Christensen,2018-12-02T22:41:15Z
371057,Tekèk,und,"","",,Javanese,John E. Christensen,2018-12-10T16:33:24Z
57983,Kembang srengéngé,und,"","",,Javanese,John E. Christensen,2018-12-23T15:23:16Z
114891,Mencawak,und,"","",,Javanese,John E. Christensen,2019-01-03T07:20:04Z
70027,Sukun,und,"","",,Javanese,John E. Christensen,2019-02-03T13:36:12Z
47398,Pong-pongan,und,"","",,Javanese,John E. Christensen,2019-02-24T13:31:02Z
40268,Lawa,und,"","",,Javanese,John E. Christensen,2019-03-10T07:57:37Z
47217,Anggrèk,und,"","",,Javanese,John E. Christensen,2019-03-15T10:46:14Z
26592,Bencok,und,"","",,Javanese,Steven Kurniawidjaja,2019-04-26T00:20:30Z
13893,Emprit peking,und,"","",,Javanese,Steven Kurniawidjaja,2019-04-26T00:25:45Z
13892,Emprit haji,und,"","",,Javanese,Steven Kurniawidjaja,2019-04-26T00:29:43Z
14620,Cucakrawa,und,"","",,Javanese,Steven Kurniawidjaja,2019-04-26T02:13:10Z
82814,Padma,und,"","",,Javanese,John E. Christensen,2019-05-05T10:39:39Z
15344,Prenjak,und,"","",,Javanese,Steven Kurniawidjaja,2019-05-25T07:02:15Z
126882,Ilat baya,und,"","",,Javanese,John E. Christensen,2019-08-04T21:46:19Z
94390,Pernet,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10062245/common/276674,Javanese,,2019-08-27T18:24:49Z
607860,Pernet,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10055335/common/321818,Javanese,,2019-08-27T18:24:49Z
165230,Senggani,und,"","",,Javanese,Abu Hamas,2019-09-17T09:31:44Z
84370,Jambu dersana,und,"","",,Javanese,Abu Hamas,2019-09-17T09:33:10Z
608986,Kebogerang,und,"","",,Javanese,Abu Hamas,2019-09-17T15:42:43Z
187722,Senggaringan,und,"","",,Javanese,Abu Hamas,2019-09-17T15:53:06Z
95108,Santran,und,"","",,Javanese,Abu Hamas,2019-09-17T17:43:49Z
94107,Uling asu,und,"","",,Javanese,Abu Hamas,2019-09-18T03:21:23Z
128424,Uling kembang,und,"","",,Javanese,Abu Hamas,2019-09-18T03:36:01Z
505478,Pitik,und,"","",,Javanese,John E. Christensen,2019-12-05T11:30:27Z
131236,virus,und,"","",,Javanese,James K. Douch,2020-02-23T02:56:07Z
236935,Bèbèk ingon-ingon,und,"","",,Javanese,John E. Christensen,2020-02-25T12:21:32Z
47114,Siput,und,"","",,Javanese,John E. Christensen,2020-04-24T14:45:51Z
81925,Kebo,und,"","",,Javanese,Naufal Urfi Dhiya'ulhaq,2020-05-15T07:54:04Z
199,Truwok,und,"","",,Javanese,Naufal Urfi Dhiya'ulhaq,2020-06-02T03:31:42Z
7120,Menthok,und,"","",,Javanese,Naufal Urfi Dhiya'ulhaq,2020-06-02T04:11:14Z
526556,Berang-berang,und,"","",,Javanese,John E. Christensen,2020-06-07T11:43:36Z
348330,Widodaren,und,"East Java, ID","",,Javanese,Hani Ristiawan,2020-12-21T05:56:56Z
794783,Sendora Benggala,und,"Central Java, ID","",,Javanese,Hani Ristiawan,2020-12-21T05:58:48Z
794780,Kedusan,und,"East Java, ID","",,Javanese,Hani Ristiawan,2020-12-21T06:04:40Z
343834,Irah-irahan,und,"Central Java, ID","",,Javanese,Hani Ristiawan,2020-12-21T06:06:57Z
136133,Bintami,und,"Central Java, ID","",,Javanese,Hani Ristiawan,2020-12-21T06:09:00Z
132451,Paitan,und,"Central Java, ID","",,Javanese,Hani Ristiawan,2020-12-21T06:11:21Z
348099,Benda/Bendo,und,"Central Java, ID","",,Javanese,Hani Ristiawan,2020-12-21T06:20:29Z
84996,Cucut bekeman,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10055550/common/130025,Javanese,,2021-07-13T16:47:55Z
84996,Hius buas,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10055550/common/130065,Javanese,,2021-07-13T16:48:06Z
128424,Lumbon,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10054356/common/20225,Javanese,,2021-07-15T12:31:38Z
128424,Pelus,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10054356/common/20209,Javanese,,2021-07-15T12:31:48Z
128424,Sidang,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10054356/common/20203,Javanese,,2021-07-15T12:32:00Z
102778,Pari macan,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078375/common/78179,Javanese,,2021-07-19T14:50:09Z
102779,Pari macan,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078376/common/78127,Javanese,,2021-07-19T14:50:10Z
67971,Pari macan,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078380/common/265801,Javanese,,2021-07-19T14:50:10Z
607435,Pari macan,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078348/common/78518,Javanese,,2021-07-19T14:50:10Z
67971,Pari blentik,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078380/common/265797,Javanese,,2021-07-19T14:52:24Z
115010,Cangop,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10081706/common/102880,Javanese,,2021-07-19T15:55:09Z
115010,Jambal,und,"","",,Javanese,Zane Roskoph,2021-07-19T15:55:41Z
48066,Cucut kopral,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10055533/common/343587,Javanese,,2021-07-20T15:09:12Z
48066,Cucutronggeng,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10055533/common/343585,Javanese,,2021-07-20T15:09:34Z
56764,Hiu caping,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10055536/common/158324,Javanese,,2021-07-20T15:09:46Z
56766,Hiu caping,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10055538/common/158186,Javanese,,2021-07-20T15:09:46Z
56765,Hiu caping,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10055541/common/157957,Javanese,,2021-07-20T15:09:46Z
48066,Hiu caping,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10055533/common/343577,Javanese,,2021-07-20T15:09:47Z
48066,Ronggeng,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10055533/common/343558,Javanese,,2021-07-20T15:09:47Z
113041,Hiu botol,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10083904/common/37077,Javanese,,2021-07-20T16:12:29Z
96917,Hiu botol,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10083927/common/79533,Javanese,,2021-07-20T16:12:29Z
96920,Hiu botol,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10083930/common/79450,Javanese,,2021-07-20T16:12:30Z
113034,Hiu botol,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10083893/common/37211,Javanese,,2021-07-20T16:12:30Z
96925,Hiu botol,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10083936/common/79381,Javanese,,2021-07-20T16:12:30Z
113036,Hiu botol,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10083897/common/37200,Javanese,,2021-07-20T16:12:30Z
113040,Hiu botol,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10083903/common/37082,Javanese,,2021-07-20T16:12:31Z
95038,Kelaling,und,"","",,Javanese,Zane Roskoph,2021-07-27T12:58:11Z
188570,Sengkareng,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10061244/common/93492,Javanese,,2021-07-27T13:54:35Z
188571,Sengkareng,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10061245/common/93467,Javanese,,2021-07-27T13:54:36Z
99786,Welut listrik,und,"","",,Javanese,Zane Roskoph,2021-07-29T03:06:52Z
41970,Jaguar,und,"","",,Javanese,Zane Roskoph,2021-07-30T12:05:24Z
50873,Hiu putih,und,"","",,Javanese,Zane Roskoph,2021-07-30T13:59:36Z
42007,Puma,und,"","",,Javanese,Zane Roskoph,2021-08-01T01:00:48Z
30472,Ula anang,und,"","",,Javanese,Zane Roskoph,2021-08-02T18:24:15Z
331121,Jeruk nipis,und,"","",,Javanese,Zane Roskoph,2021-08-10T12:22:16Z
765432,Yuzu,und,"","",,Javanese,Zane Roskoph,2021-08-10T13:09:16Z
41553,Paus Biru,und,"","",,Javanese,Zane Roskoph,2021-08-15T14:58:13Z
493695,Iwak setan,und,"","",,Javanese,Zane Roskoph,2021-08-19T14:31:53Z
41964,Singa,und,"","",,Javanese,Zane Roskoph,2021-08-24T13:17:23Z
74831,Macan tutul salju,und,"","",,Javanese,Zane Roskoph,2021-08-25T11:45:03Z
42407,Wisent,und,"","",,Javanese,Zane Roskoph,2021-08-25T13:52:13Z
41967,Macan,und,"","",,Javanese,Zane Roskoph,2021-08-26T16:04:27Z
130799,Macan Sumatra,und,"","",,Javanese,Zane Roskoph,2021-08-26T16:58:41Z
130799,Macan Sumatera,und,"","",,Javanese,Zane Roskoph,2021-08-26T16:58:52Z
130799,Macan Jawa,und,"","",,Javanese,Zane Roskoph,2021-08-27T11:41:36Z
47251,Alu-alu,und,"","",,Javanese,Zane Roskoph,2021-10-17T23:18:55Z
344862,Bleketupuk,und,Indonesia,ID,,Javanese,Naufal Urfi Dhiya'ulhaq,2021-11-14T11:44:37Z
342667,Sawa,und,"Banjarnegara, ID, JT","",,Javanese,Hani Ristiawan,2021-11-25T04:53:55Z
97440,Cucut dolok,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Javanese,,2021-12-04T03:26:52Z
97441,Cucut dolok,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Javanese,,2021-12-04T03:26:53Z
97439,Cucut dolok,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Javanese,,2021-12-04T03:26:53Z
93987,Bale balang,und,"","",,Javanese,Zane Roskoph,2021-12-04T16:28:03Z
93987,Betik,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Javanese,,2021-12-04T16:28:13Z
93987,Krucilan,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Javanese,,2021-12-04T16:28:44Z
