id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
7089,Nerlernaarsuk,und,"","",,Kalaallisut,John E. Christensen,2018-05-10T16:25:21Z
8010,Tulugaq,und,"","",,Kalaallisut,John E. Christensen,2019-08-02T13:54:46Z
112841,Eqalussuaq,und,"","",,Kalaallisut,Zane Roskoph,2021-08-03T15:30:11Z
41644,Nanoq,und,"","",,Kalaallisut,Zane Roskoph,2021-08-11T16:31:37Z
41553,Tunnullit,und,"","",,Kalaallisut,Zane Roskoph,2021-08-15T15:01:22Z
41553,Tikaagulliusaq,und,"","",,Kalaallisut,Zane Roskoph,2021-08-15T15:01:44Z
41553,Tunnulik,und,"","",,Kalaallisut,Zane Roskoph,2021-08-15T15:02:04Z
41461,Qilalugaq qaqortaq,und,"","",,Kalaallisut,Zane Roskoph,2021-08-15T19:42:39Z
233598,Terianniaq,und,"","",,Kalaallisut,Alessandro G.,2021-09-11T13:23:51Z
43126,Ukaleq,und,"","",,Kalaallisut,Alessandro G.,2021-09-11T13:25:16Z
238268,Tuttu,und,"","",,Kalaallisut,Alessandro G.,2021-09-11T13:27:53Z
42412,Umimmak,und,"","",,Kalaallisut,Alessandro G.,2021-09-11T13:28:42Z
194027,Pakkaluaq qillaalasortalik,und,"","",,Kalaallisut,Alessandro G.,2021-09-11T13:29:59Z
217393,Pakkaluaq sungaartoq,und,"","",,Kalaallisut,Alessandro G.,2021-09-11T13:30:42Z
452396,Issittup igutsassua,und,"","",,Kalaallisut,Alessandro G.,2021-09-11T13:31:11Z
128994,Aamanganiaq,und,"","",,Kalaallisut,Alessandro G.,2021-09-11T13:31:40Z
131056,Minngoq,und,"","",,Kalaallisut,Alessandro G.,2021-09-11T13:32:04Z
522058,Issittup sikannertuua,und,"","",,Kalaallisut,Alessandro G.,2021-09-11T13:32:42Z
227175,Aasiak sineriammiu,und,"","",,Kalaallisut,Alessandro G.,2021-09-11T13:33:15Z
41566,Qipoqqaq,und,"","",,Kalaallisut,Alessandro G.,2021-09-11T13:33:55Z
41562,Tikaagulliusaaq,und,"","",,Kalaallisut,Alessandro G.,2021-09-11T13:34:49Z
74103,Arfiviit,und,"","",,Kalaallisut,Alessandro G.,2021-09-11T13:35:49Z
41459,Qilalugaq qernertaq,und,"","",,Kalaallisut,Alessandro G.,2021-09-11T13:36:51Z
41550,Tikaagullik,und,"","",,Kalaallisut,Alessandro G.,2021-09-11T13:39:30Z
41702,Aataaq,und,"","",,Kalaallisut,Alessandro G.,2021-09-11T13:41:56Z
41691,Natseq,und,"","",,Kalaallisut,Alessandro G.,2021-09-11T13:42:43Z
41706,Natsersuaq,und,"","",,Kalaallisut,Alessandro G.,2021-09-11T13:43:45Z
41766,Aaveq,und,"","",,Kalaallisut,Alessandro G.,2021-09-11T13:44:40Z
117059,Qupaloraarsuk,und,"","",,Kalaallisut,Alessandro G.,2021-09-11T13:45:41Z
12822,Qussaq,und,"","",,Kalaallisut,Alessandro G.,2021-09-11T13:46:28Z
5309,Nattoralik,und,"","",,Kalaallisut,Alessandro G.,2021-09-11T13:47:59Z
4504,Qilanngaq,und,"","",,Kalaallisut,Alessandro G.,2021-09-11T13:48:57Z
4180,Qaqulluk,und,"","",,Kalaallisut,Alessandro G.,2021-09-11T13:49:36Z
4418,Serfaq,und,"","",,Kalaallisut,Alessandro G.,2021-09-11T13:50:20Z
7024,Aavooq,und,"","",,Kalaallisut,Alessandro G.,2021-09-11T13:51:08Z
949,Aqisseq,und,"","",,Kalaallisut,Alessandro G.,2021-09-11T13:52:08Z
48648,Kapisillik,und,"","",,Kalaallisut,Alessandro G.,2021-09-11T13:54:03Z
111974,Eqaluk,und,"","",,Kalaallisut,Alessandro G.,2021-09-11T14:06:38Z
63740,Saarullik,und,"","",,Kalaallisut,Alessandro G.,2021-09-11T14:08:02Z
230758,Suluppaagaq angisooq,und,"","",,Kalaallisut,Alessandro G.,2021-09-11T14:12:10Z
229837,Qaleralik,und,"","",,Kalaallisut,Alessandro G.,2021-09-11T14:13:10Z
165100,Ammassak,und,"","",,Kalaallisut,Alessandro G.,2021-09-11T14:14:25Z
