id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
70065,ntopi,und,"","",,Kalanga,Botswanabugs,2019-09-27T11:53:12Z
600201,moreketli,und,"","",,Kalanga,Botswanabugs,2019-10-02T04:58:30Z
600201,moretete,und,"","",,Kalanga,Botswanabugs,2019-10-02T04:59:49Z
340062,nswazwi,und,"","",,Kalanga,Botswanabugs,2019-10-02T06:40:02Z
340408,mbgweti,und,"","",,Kalanga,Botswanabugs,2019-10-02T06:50:20Z
343032,nshangule,und,"","",,Kalanga,Botswanabugs,2019-10-02T07:26:11Z
428749,mpani,und,"","",,Kalanga,Botswanabugs,2019-10-15T07:30:40Z
340245,ntula,und,"","",,Kalanga,Botswanabugs,2019-10-15T07:35:56Z
147002,ndingambizi,und,"","",,Kalanga,Botswanabugs,2019-10-15T07:38:10Z
340228,Nchecheni,und,"","",,Kalanga,Botswanabugs,2019-10-15T07:39:48Z
336810,ndula,und,"","",,Kalanga,Botswanabugs,2019-10-15T07:41:20Z
489563,nsu,und,"","",,Kalanga,Botswanabugs,2019-10-15T07:42:43Z
43694,Zhou,und,"","",,Kalanga,wisemankanoko,2020-02-16T08:24:00Z
340245,nthula,und,"","",,Kalanga,Botswanabugs,2020-02-18T09:21:41Z
592259,ubulimbu,und,"","",,Kalanga,Botswanabugs,2020-03-24T03:46:22Z
47735,Tshongololo,und,Makgadikgadi Pans | Botswana,BW,,Kalanga,Dewald du Plessis,2020-09-09T10:43:35Z
342711,ntogwe,und,"","",,Kalanga,Botswanabugs,2020-12-23T14:42:18Z
147000,ngaganyama,und,"","",,Kalanga,Botswanabugs,2020-12-23T14:50:26Z
581380,nkumbakumba,und,"","",,Kalanga,Botswanabugs,2020-12-23T14:53:12Z
199161,ntutogwe,und,"","",,Kalanga,Botswanabugs,2020-12-23T14:56:03Z
138688,nzeze,und,"","",,Kalanga,Botswanabugs,2020-12-23T14:58:03Z
47434,Dhigwa,und,"","",,Kalanga,Botswanabugs,2020-12-23T15:11:01Z
489563,nsusu,und,"","",,Kalanga,Botswanabugs,2020-12-23T15:13:55Z
336810,nkutu,und,"","",,Kalanga,Botswanabugs,2020-12-23T15:16:57Z
469316,zwigwa,und,"","",,Kalanga,Botswanabugs,2020-12-23T15:18:45Z
594427,nkoba,und,"","",,Kalanga,Botswanabugs,2020-12-23T15:20:52Z
595009,mthamba,und,"","",,Kalanga,Botswanabugs,2020-12-23T15:23:59Z
595009,kwakwa,und,"","",,Kalanga,Botswanabugs,2020-12-23T15:25:18Z
129706,mpangale,und,"","",,Kalanga,Botswanabugs,2020-12-23T15:27:29Z
340408,mbwete,und,"","",,Kalanga,Botswanabugs,2020-12-23T15:29:45Z
83832,swanja bakwaa,und,"","",,Kalanga,Botswanabugs,2020-12-23T15:35:16Z
7238,funye,und,"","",,Kalanga,Botswanabugs,2020-12-27T03:16:08Z
20526,mhou,und,"","",,Kalanga,Botswanabugs,2020-12-27T03:19:36Z
123070,mbudzi,und,"","",,Kalanga,Botswanabugs,2020-12-27T03:24:56Z
41964,shumba,und,"","",,Kalanga,Botswanabugs,2020-12-27T03:27:25Z
489775,seBube,und,"Francistown, FR, BW","",,Kalanga,Dewald du Plessis,2021-02-01T10:32:58Z
48139,seBube,und,"Francistown, FR, BW","",,Kalanga,Dewald du Plessis,2021-02-01T10:36:05Z
147000,nshashanyama,und,"","",,Kalanga,Botswanabugs,2021-05-24T10:48:53Z
44173,nungu,und,"","",,Kalanga,Khama III Memorial Museum in Serowe,2021-07-21T10:04:05Z
30851,thumbi,und,"","",,Kalanga,Khama III Memorial Museum in Serowe,2021-07-21T10:07:19Z
1210966,phungugwe,und,"","",,Kalanga,Khama III Memorial Museum in Serowe,2021-07-21T10:09:51Z
20526,phou,und,"","",,Kalanga,Khama III Memorial Museum in Serowe,2021-07-21T10:11:10Z
41886,phele,und,"","",,Kalanga,Khama III Memorial Museum in Serowe,2021-07-21T10:12:43Z
48894,phani,und,"","",,Kalanga,Khama III Memorial Museum in Serowe,2021-07-21T10:13:50Z
142774,chibelu,und,"","",,Kalanga,Botswanabugs,2021-07-21T14:39:40Z
70054,libisi,und,"","",,Kalanga,Botswanabugs,2021-07-21T14:41:52Z
118903,nchenje,und,"","",,Kalanga,Botswanabugs,2021-07-21T14:44:23Z
41963,dindingwe,und,"","",,Kalanga,Botswanabugs,2021-07-21T14:47:41Z
986414,maboti,und,"","",,Kalanga,Botswanabugs,2021-07-23T12:47:27Z
986414,mabhoti,und,"","",,Kalanga,Botswanabugs,2021-07-23T12:48:11Z
147000,nsasanyama,und,"","",,Kalanga,Botswanabugs,2021-07-23T16:05:24Z
147000,mhahanyama,und,"","",,Kalanga,Botswanabugs,2021-07-23T16:07:08Z
147000,Hahanyama,und,"","",,Kalanga,Botswanabugs,2021-07-23T16:08:31Z
340166,Nswanja ng'ombe,und,"","",,Kalanga,Botswanabugs,2021-07-23T16:26:21Z
340166,Swanja ng'ombe,und,"","",,Kalanga,Botswanabugs,2021-07-23T16:27:01Z
14930,Wodzululu,und,"","",,Kalanga,Botswanabugs,2021-07-27T04:17:01Z
