id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
354106,Kolla,kn,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/10057954/common/175744,Kannada,,2014-04-17T16:25:04Z
472346,Balarakshi gida,kn,"","",,Kannada,Chandan Pandey,2015-08-19T08:48:21Z
170044,Kadu bende,kn,"","",,Kannada,Chandan Pandey,2015-09-02T10:02:09Z
164527,alavibija,kn,"","",,Kannada,Chandan Pandey,2015-09-11T11:01:50Z
355675,ಕಶೇರುಕ,kn,"","",,Kannada,John E. Christensen,2017-12-06T09:22:35Z
51921,ಮುಟ್ಟಿದರೆ ಮುನಿ,kn,"","",,Kannada,John E. Christensen,2018-02-06T16:01:14Z
53052,ಸೊಂಪು,kn,"","",,Kannada,John E. Christensen,2018-02-15T09:16:14Z
56955,ಸೂರ್ಯಕಾಂತಿ,kn,"","",,Kannada,John E. Christensen,2018-04-24T08:39:21Z
47429,ಉಭಯ ನರಹುರಿ ಪ್ರಾಣಿಗಳು,kn,"","",,Kannada,John E. Christensen,2018-05-02T14:16:11Z
53492,ಚೀನೀ ನಾಗರ,kn,"","",,Kannada,John E. Christensen,2018-07-04T14:13:35Z
333586,ಎರೆಹುಳು,kn,"","",,Kannada,John E. Christensen,2018-07-11T14:11:02Z
107190,Chamari,kn,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066247/common/223918,Kannada,,2018-07-25T23:58:22Z
130793,ಹುಲಿ,kn,"","",,Kannada,harshithjv,2018-08-23T05:16:38Z
39415,ಉಡ,kn,"","",,Kannada,harshithjv,2018-08-23T05:31:09Z
26258,ಗೋಂಕರು ಕಪ್ಪೆ,kn,"Karnataka, IN","",,Kannada,harshithjv,2018-08-25T19:29:40Z
68530,ತಗಡು ಹಪ್ಪಟೆ ಹಾವು,kn,"","",,Kannada,harshithjv,2018-08-26T09:07:48Z
68530,ಉಬ್ಬು ಮೂಗಿನ ಮಂಡಲ,kn,"","",,Kannada,harshithjv,2018-08-26T09:08:29Z
68530,ತೌಡು ಹಪ್ಪಟೆ ಹಾವು,kn,"","",,Kannada,harshithjv,2018-08-26T09:09:10Z
32150,ಹೆಬ್ಬಾವು,kn,"Karnataka, IN | Kasaragod, KL, IN","",,Kannada,harshithjv,2018-08-26T09:11:31Z
30687,ಕನ್ನಡಿ ಹಾವು,kn,"","",,Kannada,harshithjv,2018-08-26T09:13:01Z
8031,ಕಾಗೆ,kn,"","",,Kannada,harshithjv,2018-09-06T04:04:34Z
18911,ಗಿಳಿ,kn,"","",,Kannada,harshithjv,2018-09-06T04:07:17Z
41618,ಪುನುಗು ಬೆಕ್ಕು,kn,"","",,Kannada,harshithjv,2018-09-06T04:14:35Z
41797,ಮರಬೆಕ್ಕು,kn,"","",,Kannada,harshithjv,2018-09-06T04:17:25Z
319218,ಬಿಲಿಂಬಿ,kn,"Karnataka, IN","",,Kannada,harshithjv,2018-09-25T05:41:57Z
348016,ಮಿಡತೆ,kn,"","",,Kannada,harshithjv,2018-10-22T06:52:51Z
700600,ಮಿಡತೆ,kn,"","",,Kannada,harshithjv,2018-10-22T06:53:22Z
19350,ಗೂಬೆ,kn,"","",,Kannada,harshithjv,2018-10-24T04:34:58Z
