id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
55196,Kaya,und,"","","FA Bisby, YR Roskov, MA Ruggiero, TM Orrell, LE Paglinawan, PW Brewer, N Bailly, J van Hertum, eds (2007). Species 2000 & ITIS Catalogue of Life: 2007 Annual Checklist Taxonomic Classification. CD-ROM; Species 2000: Reading, U.K.",Kanuri,Ken-ichi Ueda,2010-01-17T15:49:30Z
55198,Kaya,und,"","","FA Bisby, YR Roskov, MA Ruggiero, TM Orrell, LE Paglinawan, PW Brewer, N Bailly, J van Hertum, eds (2007). Species 2000 & ITIS Catalogue of Life: 2007 Annual Checklist Taxonomic Classification. CD-ROM; Species 2000: Reading, U.K.",Kanuri,Ken-ichi Ueda,2010-01-17T15:49:32Z
55199,Kaya,und,"","","FA Bisby, YR Roskov, MA Ruggiero, TM Orrell, LE Paglinawan, PW Brewer, N Bailly, J van Hertum, eds (2007). Species 2000 & ITIS Catalogue of Life: 2007 Annual Checklist Taxonomic Classification. CD-ROM; Species 2000: Reading, U.K.",Kanuri,Ken-ichi Ueda,2010-01-17T15:49:33Z
55200,Kaya,und,"","","FA Bisby, YR Roskov, MA Ruggiero, TM Orrell, LE Paglinawan, PW Brewer, N Bailly, J van Hertum, eds (2007). Species 2000 & ITIS Catalogue of Life: 2007 Annual Checklist Taxonomic Classification. CD-ROM; Species 2000: Reading, U.K.",Kanuri,Ken-ichi Ueda,2010-01-17T15:49:34Z
55203,Kaya,und,"","","FA Bisby, YR Roskov, MA Ruggiero, TM Orrell, LE Paglinawan, PW Brewer, N Bailly, J van Hertum, eds (2007). Species 2000 & ITIS Catalogue of Life: 2007 Annual Checklist Taxonomic Classification. CD-ROM; Species 2000: Reading, U.K.",Kanuri,Bobby McCabe,2010-01-17T15:49:37Z
102742,Kawi,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066252/common/233228,Kanuri,,2021-07-15T14:16:28Z
102692,Kairo,und,"","",,Kanuri,Zane Roskoph,2021-07-19T16:47:12Z
113934,Kufe,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kanuri,,2021-12-23T20:17:36Z
113605,Fono,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kanuri,,2021-12-31T15:18:02Z
113679,Fono,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kanuri,,2021-12-31T15:18:02Z
113696,Fono,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kanuri,,2021-12-31T15:18:02Z
113653,Fono,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kanuri,,2021-12-31T15:18:02Z
113609,Fono,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kanuri,,2021-12-31T15:18:03Z
113654,Fono,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kanuri,,2021-12-31T15:18:03Z
113646,Fono,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kanuri,,2021-12-31T15:18:05Z
113670,Fono,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kanuri,,2021-12-31T15:18:06Z
113622,Fono,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kanuri,,2021-12-31T15:18:06Z
113600,Fono,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kanuri,,2021-12-31T15:18:06Z
113675,Fono,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kanuri,,2021-12-31T15:18:07Z
113652,Fono,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kanuri,,2021-12-31T15:18:08Z
188508,Fono,und,"","",,Kanuri,Zane Roskoph,2021-12-31T15:18:38Z
1315817,Kaya,und,"","","FA Bisby, YR Roskov, MA Ruggiero, TM Orrell, LE Paglinawan, PW Brewer, N Bailly, J van Hertum, eds (2007). Species 2000 & ITIS Catalogue of Life: 2007 Annual Checklist Taxonomic Classification. CD-ROM; Species 2000: Reading, U.K.",Kanuri,,2022-05-11T00:41:41Z
1316321,Kaya,und,"","","FA Bisby, YR Roskov, MA Ruggiero, TM Orrell, LE Paglinawan, PW Brewer, N Bailly, J van Hertum, eds (2007). Species 2000 & ITIS Catalogue of Life: 2007 Annual Checklist Taxonomic Classification. CD-ROM; Species 2000: Reading, U.K.",Kanuri,,2022-05-11T00:42:21Z
