id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
47497,bandapakukutu,und,"","",,Karanga,Botswanabugs,2020-01-16T14:16:40Z
47347,chihombiro,und,"","",,Karanga,Botswanabugs,2020-01-16T14:22:44Z
7238,funye,und,"","",,Karanga,Botswanabugs,2020-12-27T03:14:41Z
20526,mhou,und,"","",,Karanga,Botswanabugs,2020-12-27T03:18:10Z
123070,mbudzi,und,"","",,Karanga,Botswanabugs,2020-12-27T03:23:46Z
505798,rukato,und,"","",,Karanga,Botswanabugs,2021-03-26T15:12:39Z
516181,Zvikonje,und,"","",,Karanga,Botswanabugs,2021-03-26T15:14:14Z
168423,Masavamhanda,und,"","",,Karanga,Botswanabugs,2021-03-26T15:16:47Z
168423,Zvikonje,und,"","",,Karanga,Botswanabugs,2021-04-11T03:37:59Z
168423,Masava,und,"","",,Karanga,Botswanabugs,2021-04-11T03:42:01Z
546792,Sharamhanda,und,"","",,Karanga,Botswanabugs,2021-04-11T03:47:34Z
546792,Masavamhanda,und,"","",,Karanga,Botswanabugs,2021-04-11T03:53:01Z
342711,Dohwe,und,"","",,Karanga,Botswanabugs,2021-07-21T14:20:35Z
342711,Toghwe,und,"","",,Karanga,Botswanabugs,2021-07-21T14:22:59Z
342711,uxakuxaku,und,"","",,Karanga,Botswanabugs,2021-07-21T14:23:54Z
342711,dobgwe,und,"","",,Karanga,Botswanabugs,2021-07-21T14:30:08Z
340166,nhengeni,und,"","",,Karanga,Botswanabugs,2021-07-23T16:28:25Z
592162,masekesa,und,"","",,Karanga,Botswanabugs,2021-09-05T13:29:13Z
41900,hovo,und,"","",,Karanga,Botswanabugs,2021-10-20T18:21:38Z
340136,musambarabgabga,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Karanga,Ken-ichi Ueda,2021-10-21T20:16:49Z
340136,musambarabyabwa,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Karanga,Ken-ichi Ueda,2021-10-21T20:16:49Z
506952,Mutomo,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Karanga,Ken-ichi Ueda,2021-10-21T20:16:50Z
428367,musesetu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Karanga,Ken-ichi Ueda,2021-10-21T20:16:50Z
428367,mutsatsati,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Karanga,Ken-ichi Ueda,2021-10-21T20:16:50Z
133587,rimirenyombe,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Karanga,Ken-ichi Ueda,2021-10-21T20:16:51Z
469795,mufandicimuka,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Karanga,Ken-ichi Ueda,2021-10-21T20:16:51Z
138688,muzezi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Karanga,Ken-ichi Ueda,2021-10-21T20:16:51Z
593077,gwidzi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Karanga,Ken-ichi Ueda,2021-10-21T20:16:52Z
340253,mutuviti,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Karanga,Ken-ichi Ueda,2021-10-21T20:16:52Z
340253,mutuvuti,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Karanga,Ken-ichi Ueda,2021-10-21T20:16:52Z
42328,Dhumukwa,und,"","",,Karanga,Botswanabugs,2021-10-30T05:28:27Z
117214,Mukwasikwasi,und,"","",,Karanga,Botswanabugs,2021-10-31T12:55:20Z
792926,hohodza,und,"","",,Karanga,Botswanabugs,2021-11-02T12:05:06Z
792926,Chigogodzamtanda,und,"","",,Karanga,Botswanabugs,2021-11-02T12:38:54Z
86007,gakanje,und,"","",,Karanga,Botswanabugs,2021-11-08T01:44:05Z
81500,muuyu,und,"","",,Karanga,Botswanabugs,2021-11-11T15:24:38Z
81500,muwuyu,und,"","",,Karanga,Botswanabugs,2021-11-11T15:25:00Z
81500,mumbuyu,und,"","",,Karanga,Botswanabugs,2021-11-11T15:25:22Z
81500,muvuka,und,"","",,Karanga,Botswanabugs,2021-11-11T15:25:40Z
14051,Dhimba,und,"","",,Karanga,Botswanabugs,2021-11-12T06:32:28Z
43335,mbizi,und,"","",,Karanga,Botswanabugs,2021-11-16T05:09:47Z
144281,dendera,und,"","",,Karanga,Botswanabugs,2021-11-23T04:32:11Z
117214,mukwasumukwasu,und,"","",,Karanga,Botswanabugs,2021-11-23T04:33:45Z
117214,thamme,und,"","",,Karanga,Botswanabugs,2021-11-23T04:35:05Z
42157,twiza,und,"","",,Karanga,Botswanabugs,2021-11-27T09:23:18Z
532889,Hanga,und,"","",,Karanga,Botswanabugs,2021-12-30T06:00:19Z
340143,Sosoti,und,"","",,Karanga,Botswanabugs,2022-01-20T14:19:44Z
138688,muriranyenze,und,"","",,Karanga,Botswanabugs,2022-02-03T11:39:24Z
721186,Shuramurove,und,"","",,Karanga,Botswanabugs,2022-03-28T15:06:27Z
