id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
492089,Жұмыршөп,und,"","",,Kazakh,John E. Christensen,2017-11-29T07:59:42Z
40268,Қолқанаттылар,und,"","",,Kazakh,John E. Christensen,2018-01-24T16:25:56Z
311249,Мүктәрізділер,und,"","",,Kazakh,John E. Christensen,2018-02-03T08:12:33Z
120156,Үй шыбыны,und,"","",,Kazakh,John E. Christensen,2018-02-05T17:38:02Z
56222,Өгейшөп,und,"","",,Kazakh,John E. Christensen,2018-04-10T16:28:45Z
47603,Бақбақ,und,"","",,Kazakh,John E. Christensen,2018-04-30T15:05:38Z
61396,Кәдімгі жұпаргүл,und,"","",,Kazakh,John E. Christensen,2018-05-14T08:14:51Z
55737,Сиырсілекей,und,"","",,Kazakh,John E. Christensen,2018-05-15T09:29:30Z
53350,Атбасталшын,und,"","",,Kazakh,John E. Christensen,2018-07-06T13:55:55Z
121943,Қырыққұлақтәрізділер,und,"","",,Kazakh,John E. Christensen,2018-08-12T07:11:18Z
51304,Жыңғыл,und,"","",,Kazakh,John E. Christensen,2018-09-23T12:41:46Z
57278,Айлант,und,"","",,Kazakh,John E. Christensen,2018-10-31T08:27:23Z
122970,Жер алмұрты,und,"","",,Kazakh,John E. Christensen,2018-11-04T13:19:16Z
8034,Шөл құзғыны,und,"","",,Kazakh,John E. Christensen,2019-01-06T08:58:15Z
4950,Құтандардың негізгі туысы,und,"","",,Kazakh,John E. Christensen,2019-01-13T08:44:33Z
45933,Тиінтәрізділер,und,"","",,Kazakh,John E. Christensen,2019-01-14T09:19:49Z
48241,Қандық,und,"","",,Kazakh,ruslan,2019-01-24T03:19:45Z
52913,Кәдімгі шашырақты,und,"","",,Kazakh,ruslan,2019-01-24T03:23:52Z
47780,Құртқашаш,und,"","",,Kazakh,ruslan,2019-01-24T03:26:07Z
59554,Мысықоты,und,"","",,Kazakh,ruslan,2019-01-24T03:28:20Z
59554,Күнгелді,und,"","",,Kazakh,ruslan,2019-01-24T03:28:47Z
52797,Arpa Арпа,und,"","",,Kazakh,ruslan,2019-01-24T03:31:10Z
159827,Сары қараған,und,"","",,Kazakh,ruslan,2019-01-24T03:34:30Z
139450,Қараған,und,"","",,Kazakh,ruslan,2019-01-24T03:35:11Z
47170,Саңырауқұлақтар мен қыналар,und,"","",,Kazakh,ruslan,2019-01-24T03:52:07Z
818685,Қарабарақ,und,"","",,Kazakh,ruslan,2019-01-24T05:13:56Z
79181,Сортандық айбатмия,und,"","",,Kazakh,ruslan,2019-01-24T05:15:36Z
77329,Ақ шеңгел,und,"","",,Kazakh,ruslan,2019-01-24T05:25:53Z
55800,Қызғалдақ,und,"","",,Kazakh,ruslan,2019-01-24T05:28:35Z
146995,Жүзгін,und,"","",,Kazakh,ruslan,2019-01-24T05:33:01Z
359511,Қаратау жуасы,und,"","",,Kazakh,ruslan,2019-01-24T05:43:46Z
470430,Маралқұрай,und,"","",,Kazakh,ruslan,2019-01-24T05:52:36Z
53779,Құлмақ,und,"","",,Kazakh,ruslan,2019-01-24T05:57:02Z
410856,Жаушымылдық,und,"","",,Kazakh,ruslan,2019-01-24T05:58:44Z
72151,Мақта,und,"","",,Kazakh,ruslan,2019-01-24T06:00:06Z
141357,Шырыш,und,"","",,Kazakh,ruslan,2019-01-24T06:23:04Z
53881,Қылша,und,"","",,Kazakh,ruslan,2019-01-24T06:29:08Z
135804,Жатаған шырша,und,"","",,Kazakh,ruslan,2019-01-24T06:31:22Z
366815,Маньчжур жаңғағы,und,"","",,Kazakh,ruslan,2019-01-26T11:30:01Z
42241,Қуысмүйізділер,und,"","",,Kazakh,John E. Christensen,2019-01-30T16:18:43Z
56015,Қызыл жыңғыл,und,"","",,Kazakh,ruslan,2019-02-01T13:14:22Z
45867,Орман қарақасы,und,"","",,Kazakh,ruslan,2019-02-05T07:46:11Z
58369,Арпаған,und,"","",,Kazakh,ruslan,2019-02-11T14:17:38Z
58369,Тарақбоз,und,"","",,Kazakh,ruslan,2019-02-11T14:17:53Z
52720,Kәдімгі тарғақшөп,und,"","",,Kazakh,ruslan,2019-02-11T14:21:51Z
164678,Айғыр қияқ,und,"","",,Kazakh,ruslan,2019-02-11T14:24:32Z
164678,Құмқияқ,und,"","",,Kazakh,ruslan,2019-02-11T14:24:56Z
164678,Еркек қияқ,und,"","",,Kazakh,ruslan,2019-02-11T14:25:46Z
58382,Жуашықты қоңырбас,und,"","",,Kazakh,ruslan,2019-02-11T14:27:14Z
558596,Ұқсассуықторғай,und,"","",,Kazakh,ruslan,2019-03-04T05:32:17Z
143793,Мойыл,und,"","",,Kazakh,ruslan,2019-03-04T05:44:24Z
58722,Кәдімгі қарағай,und,"","",,Kazakh,ruslan,2019-03-04T08:37:21Z
46035,Зорман,und,"","",,Kazakh,ruslan,2019-03-08T19:04:32Z
568727,Қарақұйрық,und,"","",,Kazakh,ruslan,2019-03-08T19:05:59Z
72342,Шұбаршөп,und,"","",,Kazakh,ruslan,2019-03-12T15:51:25Z
135495,Қырықбуынды қылша,und,"","",,Kazakh,ruslan,2019-03-18T05:43:47Z
135495,Тау қылша,und,"","",,Kazakh,ruslan,2019-03-18T05:44:25Z
55818,Айдаршөп,und,"","",,Kazakh,ruslan,2019-03-21T04:27:11Z
47561,Қарағай,und,"","",,Kazakh,ruslan,2019-04-07T09:21:09Z
83992,Қотыр қайың,und,"","",,Kazakh,ruslan,2019-04-07T09:23:26Z
83992,Сүйелді қайың,und,"","",,Kazakh,ruslan,2019-04-07T09:23:55Z
49156,Қайың,und,"","",,Kazakh,ruslan,2019-04-07T09:24:54Z
45994,Тиін,und,"","",,Kazakh,ruslan,2019-04-07T09:26:42Z
47602,Дәрілік бақбағы,und,"","",,Kazakh,ruslan,2019-04-07T09:29:10Z
49869,Қалтагүл,und,"","",,Kazakh,ruslan,2019-04-07T09:31:35Z
133387,Көкбұта тұқымдасы,und,"","",,Kazakh,John E. Christensen,2019-04-07T11:52:34Z
158030,Көктем жанаргүл,und,"","",,Kazakh,ruslan,2019-04-07T15:39:39Z
54004,Жанаргүл,und,"","",,Kazakh,ruslan,2019-04-07T15:40:18Z
48582,Шетен,und,"","",,Kazakh,ruslan,2019-04-07T15:41:54Z
52914,Шашыратқы,und,"","",,Kazakh,ruslan,2019-04-07T15:44:18Z
332682,Сібір қандығы,und,"","",,Kazakh,ruslan,2019-04-07T15:46:20Z
48241,Иттіс,und,"","",,Kazakh,ruslan,2019-04-07T15:47:48Z
52821,Кәдімгі мыңжапырақ,und,"","",,Kazakh,ruslan,2019-04-07T15:50:15Z
52818,Мыңжапырақ,und,"","",,Kazakh,ruslan,2019-04-07T15:51:11Z
436159,Ірі гүлді шолпанкебіс,und,"","",,Kazakh,ruslan,2019-04-07T15:52:48Z
47589,Шолпанкебіс,und,"","",,Kazakh,ruslan,2019-04-07T15:53:30Z
54638,Кәдімгі шолпанкебіс,und,"","",,Kazakh,ruslan,2019-04-07T15:54:24Z
161505,Секпіл шолпанкебіс,und,"","",,Kazakh,ruslan,2019-04-07T15:55:44Z
48983,Саусақтамыр,und,"","",,Kazakh,ruslan,2019-04-07T15:59:19Z
48983,Бармақтамыр,und,"","",,Kazakh,ruslan,2019-04-07T15:59:49Z
56233,Батпақ жылантамыры,und,"","",,Kazakh,ruslan,2019-04-07T18:17:59Z
56312,Қызылжидек,und,"","",,Kazakh,ruslan,2019-04-19T12:40:55Z
56312,Итбүлдірген,und,"","",,Kazakh,ruslan,2019-04-19T12:41:26Z
55460,Тауқалақай,und,"","",,Kazakh,ruslan,2019-04-20T05:03:39Z
50644,Сәлбен,und,"","",,Kazakh,ruslan,2019-04-20T05:06:11Z
55876,Ақ тауқалақай,und,"","",,Kazakh,ruslan,2019-04-20T05:10:37Z
56172,Сасықшөп,und,"","",,Kazakh,ruslan,2019-04-20T05:14:01Z
