id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
99465,Atilabeli,und,"","",,Kele,Bobby McCabe,2021-03-07T01:10:41Z
99465,Boyai,und,"","",,Kele,Bobby McCabe,2021-03-07T01:11:10Z
99465,Iyaiyai,und,"","",,Kele,Bobby McCabe,2021-03-07T01:11:34Z
103023,Ifwe,und,"","",,Kele,Zane Roskoph,2021-07-16T15:52:44Z
103023,Ilembu,und,"","",,Kele,Zane Roskoph,2021-07-16T15:53:12Z
103023,Imemenga,und,"","",,Kele,Zane Roskoph,2021-07-16T15:53:47Z
103023,Menga,und,"","",,Kele,Zane Roskoph,2021-07-16T15:54:10Z
103023,Isenekwa,und,"","",,Kele,Zane Roskoph,2021-07-16T15:54:45Z
103023,Soowa,und,"","",,Kele,Zane Roskoph,2021-07-16T15:55:16Z
105133,Itutula sha bosunga,und,"","",,Kele,Zane Roskoph,2021-07-16T16:31:10Z
105133,Itutula sha kamba,und,"","",,Kele,Zane Roskoph,2021-07-16T16:31:27Z
105133,Tula sha bosunga,und,"","",,Kele,Zane Roskoph,2021-07-16T16:31:47Z
105133,Tula sha lyetetele,und,"","",,Kele,Zane Roskoph,2021-07-16T16:32:05Z
105133,Itutula sa bosunga,und,"","",,Kele,Zane Roskoph,2021-07-16T16:32:33Z
105133,Itutula sa lyetetele,und,"","",,Kele,Zane Roskoph,2021-07-16T16:32:52Z
105133,Tula sa bosunga,und,"","",,Kele,Zane Roskoph,2021-07-16T16:33:12Z
105133,Tula sa lyetetele,und,"","",,Kele,Zane Roskoph,2021-07-16T16:33:33Z
371437,Botonga,und,"","",,Kele,Zane Roskoph,2021-07-19T15:09:04Z
371437,Itotonga,und,"","",,Kele,Zane Roskoph,2021-07-19T15:09:21Z
371437,Ilolondi,und,"","",,Kele,Zane Roskoph,2021-07-19T15:09:36Z
102692,Lifo,und,"","",,Kele,Zane Roskoph,2021-07-19T16:47:43Z
102692,Lifonde,und,"","",,Kele,Zane Roskoph,2021-07-19T16:48:06Z
102692,Sumi,und,"","",,Kele,Zane Roskoph,2021-07-19T16:48:22Z
102692,Isu,und,"","",,Kele,Zane Roskoph,2021-07-19T16:48:40Z
