id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
186271,!Gurueb,und,"","",,Khoekhoegowab,Botswanabugs,2020-01-11T04:42:30Z
527590,Daweb,und,"","",,Khoekhoegowab,Botswanabugs,2020-01-11T04:50:18Z
566202,Tsabi,und,"","",,Khoekhoegowab,Botswanabugs,2020-01-11T04:54:39Z
340245,Goarus,und,"","",,Khoekhoegowab,Botswanabugs,2020-01-11T07:26:31Z
340175,Arub/s,und,"","",,Khoekhoegowab,Botswanabugs,2020-01-11T07:34:16Z
533457,#Haub,und,"","",,Khoekhoegowab,Botswanabugs,2020-01-11T08:19:41Z
861928,/Ha,und,"","",,Khoekhoegowab,Botswanabugs,2020-01-11T08:21:50Z
340228,Faros,und,"","",,Khoekhoegowab,Botswanabugs,2020-01-11T08:30:32Z
567007,/Hantu,und,"","",,Khoekhoegowab,Botswanabugs,2020-01-11T08:39:59Z
340248,#Gûuge-anme/s,und,"","",,Khoekhoegowab,Botswanabugs,2020-01-11T08:53:16Z
84992,!Naras/b,und,"","",,Khoekhoegowab,Botswanabugs,2020-01-11T09:03:18Z
527059,/Awa#âis,und,"","",,Khoekhoegowab,Botswanabugs,2020-01-11T09:05:26Z
430533,Heras,und,"","",,Khoekhoegowab,Botswanabugs,2020-01-11T14:22:08Z
340336,Fhûin,und,"","",,Khoekhoegowab,Botswanabugs,2020-01-11T14:31:31Z
336810,/Gaab,und,"","",,Khoekhoegowab,Botswanabugs,2020-01-11T15:27:07Z
582629,Dau-areb,und,"","",,Khoekhoegowab,Botswanabugs,2020-01-11T15:38:42Z
568770,#Nunib,und,"","",,Khoekhoegowab,Botswanabugs,2020-01-11T15:41:33Z
546911,//Khaos,und,"","",,Khoekhoegowab,Botswanabugs,2020-01-11T15:50:13Z
469306,T!eyoii,und,"","",,Khoekhoegowab,Botswanabugs,2020-01-11T15:52:39Z
527004,#Nuu!gabab,und,"","",,Khoekhoegowab,Botswanabugs,2020-01-11T16:03:24Z
67688,=Hom,und,"","",,Khoekhoegowab,Dewald du Plessis,2020-03-14T13:45:52Z
52884,=Iri,und,"","",,Khoekhoegowab,Dewald du Plessis,2020-03-14T13:49:31Z
48112,||Gãüwa,und,"","",,Khoekhoegowab,Dewald du Plessis,2020-03-16T07:48:34Z
152102,!Hoba,und,"","",,Khoekhoegowab,Dewald du Plessis,2020-04-07T11:34:40Z
124833,"Gaap, Gab, Ghaap, Ghap, Guaap, Ngaap",und,"Kgalagadi Transfrontier Park, NC, ZA","",,Khoekhoegowab,Dewald du Plessis,2020-04-15T19:30:14Z
54991,"Gaap, Gab, Ghaap, Ghap, Guaap, Ngaap",und,"Kgalagadi Transfrontier Park, NC, ZA","",,Khoekhoegowab,Dewald du Plessis,2020-04-15T19:30:37Z
595138,"Gaap, Gab, Ghaap, Ghap, Guaap, Ngaap",und,"Kgalagadi Transfrontier Park, NC, ZA","",,Khoekhoegowab,Dewald du Plessis,2020-04-15T19:31:01Z
575527,"Gaap, Gab, Ghaap, Ghap, Guaap, Ngaap",und,"Kgalagadi Transfrontier Park, NC, ZA","",,Khoekhoegowab,Dewald du Plessis,2020-04-15T19:31:40Z
42281,Gnoo,und,"","",,Khoekhoegowab,Dewald du Plessis,2020-04-24T12:46:42Z
42280,Kaop,und,"","",,Khoekhoegowab,Dewald du Plessis,2020-04-24T13:10:07Z
42280,Baas,und,"","",,Khoekhoegowab,Dewald du Plessis,2020-04-24T13:10:48Z
75192,T'ganna,und,"","",,Khoekhoegowab,Dewald du Plessis,2020-04-24T13:30:26Z
43330,Daow,und,"","",,Khoekhoegowab,Dewald du Plessis,2020-04-24T14:18:31Z
42157,Naip,und,"","",,Khoekhoegowab,Dewald du Plessis,2020-04-24T15:09:03Z
42405,Qu'araho,und,"","",,Khoekhoegowab,Dewald du Plessis,2020-04-24T18:05:57Z
42384,Kainsi,und,"","",,Khoekhoegowab,Dewald du Plessis,2020-04-24T19:20:24Z
74870,Noumetje,und,"","",,Khoekhoegowab,Dewald du Plessis,2020-04-24T19:45:13Z
76465,T'karkai,und,"Western Cape, ZA | BioGaps Karoo","",,Khoekhoegowab,Dewald du Plessis,2020-05-22T16:30:35Z
51672,=Xoba,und,"","",,Khoekhoegowab,Dewald du Plessis,2020-08-21T11:26:46Z
51673,=Xoba,und,"","",,Khoekhoegowab,Dewald du Plessis,2020-08-21T11:30:55Z
680214,"Kxoma, Oma",und,"","",,Khoekhoegowab,Dewald du Plessis,2020-08-21T12:03:31Z
527446,//garab,und,"","",,Khoekhoegowab,Mark,2020-11-18T10:31:55Z
527446,Choje,und,"","",,Khoekhoegowab,Mark,2020-11-18T10:37:49Z
571306,Kabong,und,"","",,Khoekhoegowab,Mark,2020-11-18T10:45:13Z
311268,Kauimp,und,"","",,Khoekhoegowab,Mark,2020-11-18T11:37:21Z
311268,Kannip,und,"","",,Khoekhoegowab,Mark,2020-11-18T11:37:59Z
574851,!norra,und,"","",,Khoekhoegowab,Mark,2020-12-01T15:20:58Z
42281,Gnu,und,"","",,Khoekhoegowab,Dewald du Plessis,2020-12-18T22:22:00Z
186549,Ghaap,und,BioGaps Karoo,"",,Khoekhoegowab,Dewald du Plessis,2021-04-15T19:12:13Z
186193,Ghaap,und,BioGaps Karoo,"",,Khoekhoegowab,Dewald du Plessis,2021-04-15T19:13:14Z
531596,"Aroena, Ghaap, Gwaap",und,BioGaps Karoo,"",,Khoekhoegowab,Dewald du Plessis,2021-04-15T19:16:35Z
545725,Ghaap,und,BioGaps Karoo,"",,Khoekhoegowab,Dewald du Plessis,2021-04-15T19:17:30Z
186183,Ghaap,und,BioGaps Karoo,"",,Khoekhoegowab,Dewald du Plessis,2021-04-15T19:18:12Z
567318,Quaqua,und,"","",,Khoekhoegowab,Dewald du Plessis,2021-04-22T10:23:21Z
591504,Ghaap,und,"Swartruggens< Koue Bokkeveld | Clanwilliam, WC, ZA | Calvinia, NC, ZA","",,Khoekhoegowab,Dewald du Plessis,2021-04-22T10:30:09Z
418212,||Kxar,und,"","",,Khoekhoegowab,Dewald du Plessis,2021-10-19T19:28:32Z
668025,||Kxar,und,"","",,Khoekhoegowab,Dewald du Plessis,2021-10-19T19:50:02Z
489554,=Xãĩ,und,"","",,Khoekhoegowab,Dewald du Plessis,2021-10-19T20:11:43Z
567393,Gaukum,und,"Port Elizabeth, EC, ZA | Uitenhage, EC, ZA","",,Khoekhoegowab,Dewald du Plessis,2022-01-10T20:41:44Z
579632,Ramenas,und,"BioGaps Karoo | Oudtshoorn, WC, ZA","",,Khoekhoegowab,Dewald du Plessis,2022-01-10T20:42:33Z
425919,Garaa,und,"","",,Khoekhoegowab,Dewald du Plessis,2022-01-10T21:28:49Z
489471,Goree,und,"","",,Khoekhoegowab,Dewald du Plessis,2022-01-10T22:14:30Z
