id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
110712,Élé,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/10085769/common/348637,Kim,Ken-ichi Ueda,2019-04-18T19:57:00Z
97790,Gening-mat,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082883/common/83766,Kim,,2021-07-12T17:05:16Z
97770,Gening-mat,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082893/common/83728,Kim,,2021-07-12T17:05:17Z
102742,Pwon,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066252/common/233202,Kim,,2021-07-15T14:16:54Z
102742,Paï,und,"","",,Kim,Zane Roskoph,2021-07-16T16:18:51Z
102742,Poï,und,"","",,Kim,Zane Roskoph,2021-07-16T16:19:10Z
102854,Kabre,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066294/common/66232,Kim,,2021-07-27T12:55:06Z
105180,Kabre,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066310/common/23695,Kim,,2021-07-27T12:55:06Z
101554,Kabre,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10081824/common/74095,Kim,,2021-07-27T12:55:07Z
110921,Kabre,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10081889/common/50505,Kim,,2021-07-27T12:55:07Z
102849,Kabre,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066288/common/66255,Kim,,2021-07-27T12:55:08Z
113597,Al,und,"","",,Kim,Zane Roskoph,2021-08-03T19:21:49Z
113597,Araï,und,"","",,Kim,Zane Roskoph,2021-08-03T19:22:01Z
113597,Eh-ere,und,"","",,Kim,Zane Roskoph,2021-08-03T19:22:12Z
113597,Walsal,und,"","",,Kim,Zane Roskoph,2021-08-03T19:22:28Z
113597,Walseng,und,"","",,Kim,Zane Roskoph,2021-08-03T19:22:37Z
493799,Gong kakarte,und,"","",,Kim,Zane Roskoph,2021-09-11T20:38:57Z
493799,Gong kekerte,und,"","",,Kim,Zane Roskoph,2021-09-11T20:39:22Z
113934,Bwol,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kim,,2021-12-23T20:16:54Z
113934,Pôpobe,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kim,,2021-12-23T20:17:11Z
188508,Bandëling,und,"","",,Kim,Zane Roskoph,2021-12-31T15:15:15Z
188508,Eh-ere,und,"","",,Kim,Zane Roskoph,2021-12-31T15:15:54Z
