id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
60129,tl'o'diich'iihi,und,"","",,Kiowa,Elliott Gordon,2022-01-04T23:06:19Z
71127,tł'éłdiłgyǫǫdee,und,"","",,Kiowa,Elliott Gordon,2022-01-04T23:07:04Z
162167,yoohichishe'ize,und,"","",,Kiowa,Elliott Gordon,2022-01-04T23:08:20Z
162167,'izee'isóóhee,und,"","",,Kiowa,Elliott Gordon,2022-01-04T23:08:37Z
121976,jáłíchii,und,"","",,Kiowa,Elliott Gordon,2022-01-04T23:09:26Z
59924,izełíchihi,und,"","",,Kiowa,Elliott Gordon,2022-01-04T23:24:08Z
164777,xosdíszhot'é,und,"","",,Kiowa,Elliott Gordon,2022-01-04T23:25:03Z
81801,dadátł'itsée,und,"","",,Kiowa,Elliott Gordon,2022-01-04T23:25:49Z
58138,daachá'is'ąąde,und,"","",,Kiowa,Elliott Gordon,2022-01-04T23:26:22Z
49399,gyad,und,"","",,Kiowa,Elliott Gordon,2022-01-04T23:36:47Z
83435,ts'iyííłzhįįhįįbíje'e,und,"","",,Kiowa,Elliott Gordon,2022-01-04T23:37:23Z
47746,koyátł'oh,und,"","",,Kiowa,Elliott Gordon,2022-01-04T23:38:22Z
58160,nádískąąde,und,"","",,Kiowa,Elliott Gordon,2022-01-04T23:43:44Z
125186,dóba' ít'ąą,und,"","",,Kiowa,Elliott Gordon,2022-01-04T23:44:22Z
125186,kółizhį  de'ít'ą',und,"","",,Kiowa,Elliott Gordon,2022-01-04T23:44:39Z
54504,chiishch'iida,und,"","",,Kiowa,Elliott Gordon,2022-01-04T23:45:11Z
67593,ch'iłxashéé,und,"","",,Kiowa,Elliott Gordon,2022-01-04T23:45:34Z
64547,tsí sdeekáshé'íze,und,"","",,Kiowa,Elliott Gordon,2022-01-04T23:46:07Z
127941,tł'odi cheelebilaga 'ił chi,und,"","",,Kiowa,Elliott Gordon,2022-01-04T23:46:35Z
58205,kǫ'éłítsowe,und,"","",,Kiowa,Elliott Gordon,2022-01-04T23:47:31Z
54801,idákxah,und,"","",,Kiowa,Elliott Gordon,2022-01-04T23:48:11Z
48599,k'áábehíbéshee,und,"","",,Kiowa,Elliott Gordon,2022-01-04T23:50:03Z
71973,tl'o'shigolchii,und,"","",,Kiowa,Elliott Gordon,2022-01-04T23:51:23Z
62832,chishłítsowe,und,"","",,Kiowa,Elliott Gordon,2022-01-04T23:53:03Z
48686,k'aazoł,und,"","",,Kiowa,Elliott Gordon,2022-01-04T23:54:04Z
54860,ch'iłjįį,und,"","",,Kiowa,Elliott Gordon,2022-01-04T23:54:32Z
81792,tséditł'itséé,und,"","",,Kiowa,Elliott Gordon,2022-01-04T23:54:55Z
126645,dalts'al,und,"","",,Kiowa,Elliott Gordon,2022-01-04T23:55:34Z
