id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
49962,Bákoa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10065911/common/226124,Kiribati,,2019-11-26T19:18:14Z
100111,Bákati,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073135/common/42210,Kiribati,,2021-07-15T12:15:17Z
100111,Te kauoto,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073135/common/42140,Kiribati,,2021-07-15T12:15:29Z
93696,Te kimoa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10064520/common/203887,Kiribati,,2021-07-27T15:45:34Z
94016,Te kimoa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076137/common/200123,Kiribati,,2021-07-27T15:45:35Z
52508,Te kimoa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076322/common/200214,Kiribati,,2021-07-27T15:45:35Z
52508,Te nareau,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076322/common/200212,Kiribati,,2021-07-27T15:56:12Z
135283,Te katawa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066658/common/54772,Kiribati,,2021-07-27T18:06:53Z
424818,Te ibabataranga,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066720/common/55512,Kiribati,,2021-07-28T13:12:50Z
97158,Te ibabataranga,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10069756/common/30711,Kiribati,,2021-07-28T13:12:50Z
48744,Te ibabataranga,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10069814/common/29591,Kiribati,,2021-07-28T13:12:50Z
83884,Te bubunabanaba,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10084953/common/180611,Kiribati,,2021-07-30T19:21:13Z
52456,Te nimanang,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073036/common/61391,Kiribati,,2021-07-31T23:58:10Z
196838,Te maowa,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kiribati,,2021-09-12T23:03:58Z
196838,Te mawa,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kiribati,,2021-09-12T23:04:13Z
132366,Te mako,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kiribati,,2021-09-17T19:14:35Z
47257,Te baara,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kiribati,,2021-09-20T00:27:40Z
47257,Te barakua,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kiribati,,2021-09-20T00:27:50Z
47257,Te baratau,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kiribati,,2021-09-20T00:27:59Z
47257,B'a'ra,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kiribati,,2021-09-20T00:28:09Z
68028,Te ikabata,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kiribati,,2021-09-25T14:52:26Z
68025,Te ikabata,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kiribati,,2021-09-25T14:52:26Z
52464,Te bubuaki,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kiribati,,2021-10-17T14:15:32Z
49498,Te kabanei,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kiribati,,2021-10-17T14:33:00Z
67963,Te arinaimawa,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kiribati,,2021-12-04T06:50:18Z
113980,Te arinaimawa,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kiribati,,2021-12-04T06:50:18Z
81498,Te arinaimawa,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kiribati,,2021-12-04T06:50:19Z
49492,Te arinaimawa,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kiribati,,2021-12-04T06:50:19Z
81498,Arinaimawa,und,"","",,Kiribati,Zane Roskoph,2021-12-04T06:50:47Z
105062,Arinamawa,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kiribati,,2021-12-04T15:04:37Z
67963,Arinamawa,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kiribati,,2021-12-04T15:04:38Z
58467,Arinamawa,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kiribati,,2021-12-04T15:04:38Z
122514,Te kaitewe,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kiribati,,2021-12-06T00:31:49Z
