id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
41663,x̣áyk̕ʷs,und,"","",,Klallam,Peter Abrahamsen,2021-12-27T01:05:02Z
41638,sčqʷáy̕əč,und,"","",,Klallam,Peter Abrahamsen,2021-12-27T01:06:46Z
566550,smə́yəc,und,"","",,Klallam,Peter Abrahamsen,2021-12-27T01:07:50Z
1264432,mə́ščuʔ,und,"","",,Klallam,Peter Abrahamsen,2021-12-27T01:09:47Z
42221,húʔpt,und,"","",,Klallam,Peter Abrahamsen,2021-12-27T01:10:51Z
42007,q̕ə́wic̕əp,und,"","",,Klallam,Peter Abrahamsen,2021-12-27T01:13:23Z
48252,x̣páy,und,"","",,Klallam,Peter Abrahamsen,2021-12-27T01:15:51Z
53414,q̕áʔc̕ɬč,und,"","",,Klallam,Peter Abrahamsen,2021-12-27T01:16:21Z
47543,ʔəlíluʔ,und,"","",,Klallam,Peter Abrahamsen,2021-12-27T01:16:49Z
51646,t̕ə́qʷəm,und,"","",,Klallam,Peter Abrahamsen,2021-12-27T01:17:13Z
83914,púʔqʷɬč,und,"","",,Klallam,Peter Abrahamsen,2021-12-27T01:18:06Z
48354,píxʷ,und,"","",,Klallam,Peter Abrahamsen,2021-12-27T01:18:39Z
59524,ƛ̕ə́ƛ̕,und,"","",,Klallam,Peter Abrahamsen,2021-12-27T01:20:25Z
48523,snúʔnəkʷ sčayíqʷɬ,und,"","",,Klallam,Peter Abrahamsen,2021-12-27T01:21:14Z
120499,q̕ʷq̕ʷúʔəŋ̕,und,"","",,Klallam,Peter Abrahamsen,2021-12-27T01:21:38Z
57030,t̕t̕úc̕,und,"","",,Klallam,Peter Abrahamsen,2021-12-27T01:22:39Z
52673,sc̕c̕x̣áɬč,und,"","",,Klallam,Peter Abrahamsen,2021-12-27T01:23:58Z
47751,scx̣áyəm̕,und,"","",,Klallam,Peter Abrahamsen,2021-12-27T01:25:22Z
51884,sčx̣áyč;,und,"","",,Klallam,Peter Abrahamsen,2021-12-27T01:25:58Z
48349,yéʔx̣əm,und,"","",,Klallam,Peter Abrahamsen,2021-12-27T01:26:48Z
51646,t̕əqʷəmíɬč,und,"","",,Klallam,Peter Abrahamsen,2021-12-27T01:27:28Z
43794,ɬq̕tə́w̕əč,und,"","",,Klallam,Peter Abrahamsen,2021-12-27T01:33:17Z
