id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
81491,Muveve,und,"","",,Korekore,Botswanabugs,2021-04-18T02:13:24Z
169414,Mutamba,und,"","",,Korekore,Botswanabugs,2021-04-18T02:15:16Z
595009,Mutamba,und,"","",,Korekore,Botswanabugs,2021-04-18T02:19:17Z
431389,Mupotanzou,und,"","",,Korekore,Botswanabugs,2021-04-18T02:21:00Z
428454,Mufenje,und,"","",,Korekore,Botswanabugs,2021-04-18T02:25:02Z
79137,Muhnundurwa,und,"","",,Korekore,Botswanabugs,2021-04-18T02:27:05Z
416649,Muriranyenze,und,"","",,Korekore,Botswanabugs,2021-04-18T02:29:15Z
147000,Muveneka,und,"","",,Korekore,Botswanabugs,2021-04-18T02:33:20Z
340194,Mutowha,und,"","",,Korekore,Botswanabugs,2021-04-18T02:37:24Z
133184,Mukashu,und,"","",,Korekore,Botswanabugs,2021-04-18T02:42:21Z
430874,Muchabobo,und,"","",,Korekore,Botswanabugs,2021-04-18T02:46:42Z
342711,Munego,und,"","",,Korekore,Botswanabugs,2021-04-18T02:49:38Z
340314,Muchape,und,"","",,Korekore,Botswanabugs,2021-04-18T02:51:58Z
133182,Mukuyu,und,"","",,Korekore,Botswanabugs,2021-04-18T02:53:49Z
81500,mumungu,und,"","",,Korekore,Botswanabugs,2021-11-11T15:30:50Z
81500,muuku,und,"","",,Korekore,Botswanabugs,2021-11-11T15:31:15Z
81500,muuyu,und,"","",,Korekore,Botswanabugs,2021-11-11T15:31:34Z
81500,muvuku,und,"","",,Korekore,Botswanabugs,2021-11-11T15:31:54Z
81500,muwiyo,und,"","",,Korekore,Botswanabugs,2021-11-11T15:32:16Z
81500,muwuyu,und,"","",,Korekore,Botswanabugs,2021-11-11T15:32:35Z
81500,muwiyu,und,"","",,Korekore,Botswanabugs,2021-11-11T15:32:54Z
