id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
41964,Tsau,und,"","",,!Kung,Joachim Louis,2015-12-17T09:12:42Z
594421,n!ã,und,"","",,!Kung,Botswanabugs,2019-09-27T13:42:39Z
861928,n≠eng,und,"","",,!Kung,Botswanabugs,2019-09-27T13:45:27Z
527007,!gou,und,"","",,!Kung,Botswanabugs,2019-09-27T13:59:04Z
594427,yi,und,"","",,!Kung,Botswanabugs,2019-09-27T14:06:59Z
340245,kae,und,"","",,!Kung,Botswanabugs,2020-01-13T06:15:07Z
47651,!Găŭ,und,"","",,!Kung,Dewald du Plessis,2020-03-14T13:53:34Z
47651,!Gãũ,und,"","",,!Kung,Dewald du Plessis,2020-03-14T13:54:06Z
47651,!Hau,und,"","",,!Kung,Dewald du Plessis,2020-03-14T13:54:35Z
47651,!Hou,und,"","",,!Kung,Dewald du Plessis,2020-03-14T13:54:58Z
67688,!Hou,und,"","",,!Kung,Dewald du Plessis,2020-03-14T13:55:50Z
67688,!Hau,und,"","",,!Kung,Dewald du Plessis,2020-03-14T13:56:15Z
67688,!Găŭ,und,"","",,!Kung,Dewald du Plessis,2020-03-14T13:56:39Z
47649,!Gãũ,und,"","",,!Kung,Dewald du Plessis,2020-03-14T13:57:28Z
538528,|Nā:ro,und,"","",,!Kung,Dewald du Plessis,2020-03-16T09:04:17Z
538528,|Nărū:,und,"","",,!Kung,Dewald du Plessis,2020-03-16T09:04:41Z
199919,|Nā:ro,und,"","",,!Kung,Dewald du Plessis,2020-03-16T09:05:57Z
199919,|Nărū:,und,"","",,!Kung,Dewald du Plessis,2020-03-16T09:06:26Z
53765,Ň=xaí,und,"","",,!Kung,Dewald du Plessis,2020-04-07T11:12:39Z
53765,=Xi ||kanna se,und,"","",,!Kung,Dewald du Plessis,2020-04-07T11:13:03Z
47114,"Hohori, Xoxori, Xurri",und,"","",,!Kung,Dewald du Plessis,2020-04-07T11:38:43Z
51672,=Hoowa,und,"","",,!Kung,Dewald du Plessis,2020-08-21T11:27:50Z
51673,=Hoowa,und,"","",,!Kung,Dewald du Plessis,2020-08-21T11:29:48Z
123675,=Hoowa,und,"","",,!Kung,Dewald du Plessis,2020-08-21T12:07:37Z
664049,"Háishe, Haisho",und,"Grootfontein, OD, NA | Okavango Basin | Namibia",NA,,!Kung,Dewald du Plessis,2020-11-11T12:53:35Z
48112,"Koăkoári, Kwa’kwa’-ri",und,"Grootfontein, OD, NA | Okavango Basin | Namibia",NA,,!Kung,Dewald du Plessis,2020-11-11T12:56:11Z
47158,Kwa'kwá'-rì,und,"Grootfontein, OD, NA | Okavango Basin | Namibia",NA,,!Kung,Dewald du Plessis,2020-11-11T12:57:28Z
48112,||Gámma-tshŏtshóro,und,"Grootfontein, OD, NA | Okavango Basin | Namibia",NA,,!Kung,Dewald du Plessis,2020-11-11T13:22:21Z
664049,||Gáng'-a,und,"Grootfontein, OD, NA | Okavango Basin | Namibia",NA,,!Kung,Dewald du Plessis,2020-11-11T13:25:22Z
48112,=Xa=xárro,und,"Grootfontein, OD, NA | Okavango Basin | Namibia",NA,,!Kung,Dewald du Plessis,2020-11-11T13:36:01Z
421796,=Xa=xárro,und,"Grootfontein, OD, NA | Okavango Basin","",,!Kung,Dewald du Plessis,2020-11-11T13:38:14Z
55123,"Háishe, Haisho",und,"Grootfontein, OD, NA | Okavango Basin | Namibia",NA,,!Kung,Dewald du Plessis,2020-11-11T13:47:30Z
55123,||Gáng'-a,und,"Grootfontein, OD, NA | Okavango Basin | Namibia",NA,,!Kung,Dewald du Plessis,2020-11-11T13:48:01Z
142929,Na’ná’rro,und,"Namibia | Okavango Basin | Grootfontein, OD, NA",NA,,!Kung,Dewald du Plessis,2020-11-11T14:39:39Z
142929,=Na'=na'nna,und,"Grootfontein, OD, NA | Namibia | Okavango Basin",NA,,!Kung,Dewald du Plessis,2020-11-11T14:45:05Z
83833,||Gwe,und,"Ngamiland West, NC, BW | Tsumkwe, OD, NA","",,!Kung,Dewald du Plessis,2021-01-12T21:32:17Z
873768,Shoro,und,"Ngamiland West, NC, BW | Tsumkwe, OD, NA","",,!Kung,Dewald du Plessis,2021-01-12T21:33:03Z
48894,=Kei,und,"Ngamiland West, NC, BW | Otjozondjupa, NA","",,!Kung,Dewald du Plessis,2021-10-18T18:36:46Z
489554,"=Kei, Ň=xaí, !Xàì",und,"Ngamiland West, NC, BW | Otjozondjupa, NA","",,!Kung,Dewald du Plessis,2021-10-19T20:14:42Z
