id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
47434,Famîleya genim û kurtîjan,und,"","",,Kurdish,John E. Christensen,2017-11-29T09:39:23Z
355675,Movikdar,und,"","",,Kurdish,John E. Christensen,2017-12-06T09:38:43Z
18874,Tûtî,und,"","",,Kurdish,John E. Christensen,2017-12-15T07:48:35Z
53912,Beqerî,und,"","",,Kurdish,John E. Christensen,2017-12-16T09:34:25Z
343021,Kurmarmarok,und,"","",,Kurdish,John E. Christensen,2018-01-02T11:19:59Z
20978,Bejavî,und,"","",,Kurdish,John E. Christensen,2018-01-07T09:29:06Z
47120,Girêçikpê,und,"","",,Kurdish,John E. Christensen,2018-01-18T15:54:40Z
6888,Balindeyên dirûvê qazan,und,"","",,Kurdish,John E. Christensen,2018-01-25T15:48:43Z
47178,Masiyên perikên strîdar,und,"","",,Kurdish,John E. Christensen,2018-02-10T07:42:59Z
10070,Befrîk,und,"","",,Kurdish,John E. Christensen,2018-02-12T12:53:12Z
53052,Rizyane,und,"","",,Kurdish,John E. Christensen,2018-02-15T09:16:36Z
145360,Pêping,und,"","",,Kurdish,John E. Christensen,2018-02-24T14:51:58Z
8088,Bûrek,und,"","",,Kurdish,John E. Christensen,2018-03-24T06:43:21Z
53178,Hevîzar,und,"","",,Kurdish,John E. Christensen,2018-04-03T06:48:03Z
63081,Zîro,und,"","",,Kurdish,John E. Christensen,2018-06-13T08:48:57Z
71412,Famîleya botavan,und,"","",,Kurdish,John E. Christensen,2018-07-01T16:52:34Z
569428,Kûzikê nas,und,"","",,Kurdish,John E. Christensen,2018-07-05T06:45:44Z
39392,Pezmijok,und,"","",,Kurdish,John E. Christensen,2018-07-08T16:13:01Z
131586,Gulemî,und,"","",,Kurdish,John E. Christensen,2018-10-01T09:51:45Z
53030,Strîpor,und,"","",,Kurdish,John E. Christensen,2018-10-24T09:15:49Z
58321,Famîleya dodan û darspiyan,und,"","",,Kurdish,John E. Christensen,2018-10-29T16:58:38Z
54327,Pîzang,und,"","",,Kurdish,John E. Christensen,2018-10-30T09:56:55Z
122970,Sêvarxin,und,"","",,Kurdish,John E. Christensen,2018-11-04T13:18:41Z
57140,Zeytûn,und,"","",,Kurdish,John E. Christensen,2018-12-02T22:41:35Z
7006,Qaz,und,"","",,Kurdish,John E. Christensen,2019-01-04T08:44:22Z
4756,Sîqalka ciluq,und,"","",,Kurdish,John E. Christensen,2019-01-23T10:01:05Z
40268,Perçemk,und,"","",,Kurdish,John E. Christensen,2019-03-10T07:58:31Z
47170,Kuv,und,"","",,Kurdish,John E. Christensen,2019-04-03T13:20:31Z
40019,Kûsî,und,"","",,Kurdish,John E. Christensen,2019-05-28T13:31:45Z
93629,darex‎ darach,und,"","",,Kurdish,Cody Hough,2019-06-25T06:44:18Z
57563,Artîşoka spanî,und,"","",,Kurdish,John E. Christensen,2019-07-06T09:46:04Z
131201,Çirnûkê gur,und,"","",,Kurdish,John E. Christensen,2019-09-03T16:08:28Z
505478,Mirîşk,und,"","",,Kurdish,John E. Christensen,2019-12-11T15:29:43Z
47605,Koma kulîlkselikan,und,"","",,Kurdish,John E. Christensen,2020-02-10T07:37:25Z
48386,Famîleya berbiran,und,"","",,Kurdish,John E. Christensen,2020-02-12T15:26:01Z
131236,vîrus,und,"","",,Kurdish,James K. Douch,2020-02-23T02:58:50Z
526556,Kûzeyê avî,und,"","",,Kurdish,John E. Christensen,2020-06-07T11:44:12Z
48536,Famîleya kardî û zîlgurzan,und,"","",,Kurdish,John E. Christensen,2020-07-03T13:15:04Z
4691,Balaban,und,"","",https://eol.org/pages/45514168,Kurdish,rjq,2020-08-07T16:50:28Z
42158,Pezkovî,und,"","",,Kurdish,John E. Christensen,2020-09-26T15:25:34Z
4270,Qirmiraviya reş,und,"","",,Kurdish,John E. Christensen,2020-10-30T09:20:23Z
5017,Garanîk,und,"","",,Kurdish,Chris Cheatle,2020-11-14T16:35:30Z
32805,Margîse,und,"","",,Kurdish,John E. Christensen,2021-03-12T19:19:04Z
41970,Jaguar,und,"","",,Kurdish,Zane Roskoph,2021-07-30T12:06:47Z
42007,Kûgar,und,"","",,Kurdish,Zane Roskoph,2021-08-01T01:04:28Z
30472,Şahkobra,und,"","",,Kurdish,Zane Roskoph,2021-08-02T18:27:28Z
41724,Foka leopar,und,"","",,Kurdish,Zane Roskoph,2021-08-11T19:27:29Z
41955,Şîpa nêçirvan,und,"","",,Kurdish,Zane Roskoph,2021-08-13T12:09:50Z
41955,Yûzpiling,und,"","",,Kurdish,Zane Roskoph,2021-08-13T12:38:26Z
41964,Şêr,und,"","",,Kurdish,Zane Roskoph,2021-08-24T14:58:54Z
74831,Parsa berfîn,und,"","",,Kurdish,Zane Roskoph,2021-08-25T11:48:40Z
41967,Piling,und,"","",,Kurdish,Zane Roskoph,2021-08-26T16:07:15Z
39453,Pezmijoka dêwlaş,und,"","",,Kurdish,Zane Roskoph,2021-08-27T16:08:01Z
31519,Ejdehayê strîdar,und,"","",,Kurdish,Zane Roskoph,2021-08-27T17:38:19Z
469472,sêv,und,"","",,Kurdish,DW,2022-03-27T04:44:55Z
51607,Bindehlok,und,"","",,Kurdish,nalagtus,2022-05-02T11:08:00Z
