id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
67971,Page,und,"","",,Kuyunon,Zane Roskoph,2021-07-19T14:51:07Z
67971,Kalbog,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078380/common/265774,Kuyunon,,2021-07-19T14:51:31Z
49639,Lapu-lapu,und,"","",,Kuyunon,Zane Roskoph,2021-07-29T00:41:04Z
52456,Lapu-lapu,und,"","",,Kuyunon,Zane Roskoph,2021-08-01T00:01:46Z
123227,Danggit,und,"","",,Kuyunon,Zane Roskoph,2021-08-03T11:57:00Z
123227,Samaral,und,"","",,Kuyunon,Zane Roskoph,2021-08-03T11:57:26Z
52451,Suran,und,"","",,Kuyunon,Zane Roskoph,2021-08-03T16:14:39Z
96995,Bulang,und,"","",,Kuyunon,Zane Roskoph,2021-08-09T14:42:42Z
153280,Talakitok,und,"","",,Kuyunon,Zane Roskoph,2021-08-29T13:42:55Z
196838,Ubakan,und,"","",,Kuyunon,Zane Roskoph,2021-09-12T23:05:59Z
47257,Tangige,und,"","",,Kuyunon,Zane Roskoph,2021-09-20T00:29:30Z
112150,Busalog,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kuyunon,,2021-09-25T14:30:12Z
102861,Busalog,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kuyunon,,2021-09-25T14:30:13Z
97637,Busalog,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kuyunon,,2021-09-25T14:30:13Z
52498,Busalog,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kuyunon,,2021-09-25T14:30:13Z
104344,Busalog,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kuyunon,,2021-09-25T14:30:13Z
97638,Busalog,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kuyunon,,2021-09-25T14:30:14Z
112160,Busalog,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kuyunon,,2021-09-25T14:30:14Z
112138,Busalog,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kuyunon,,2021-09-25T14:30:15Z
68026,Busalog,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kuyunon,,2021-09-25T14:30:15Z
112161,Busalog,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kuyunon,,2021-09-25T14:30:16Z
112144,Busalog,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kuyunon,,2021-09-25T14:30:16Z
68028,Busalog,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kuyunon,,2021-09-25T14:30:16Z
83297,Busalog,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kuyunon,,2021-09-25T14:30:17Z
96500,Busalog,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kuyunon,,2021-09-25T14:30:17Z
112145,Busalog,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kuyunon,,2021-09-25T14:30:17Z
97648,Busalog,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kuyunon,,2021-09-25T14:30:18Z
112167,Busalog,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kuyunon,,2021-09-25T14:30:18Z
97097,Busalog,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kuyunon,,2021-09-25T14:30:19Z
97098,Busalog,und,"","",,Kuyunon,Zane Roskoph,2021-09-25T15:29:45Z
179870,Bansay,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kuyunon,,2021-10-17T23:20:09Z
47256,Bansay,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kuyunon,Donald Davesne,2021-10-17T23:20:09Z
47259,Bansay,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kuyunon,,2021-10-17T23:20:09Z
47251,Bansay,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kuyunon,,2021-10-17T23:20:10Z
93987,Alito,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Kuyunon,,2021-12-04T16:30:41Z
122514,Ubakan,und,"","",,Kuyunon,Zane Roskoph,2021-12-06T00:33:14Z
122514,Salmonete,und,"","",,Kuyunon,Zane Roskoph,2021-12-06T00:33:31Z
121661,Tabarong,und,"","",,Kuyunon,Zane Roskoph,2021-12-28T15:27:24Z
