id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
579607,ekundu,und,"","",,Kwangali,Bobby McCabe,2019-12-06T14:09:15Z
579607,endobo,und,"","",,Kwangali,Bobby McCabe,2019-12-06T14:10:04Z
579607,endombwe,und,"","",,Kwangali,Bobby McCabe,2019-12-06T14:11:30Z
340245,uwongo,und,"","",,Kwangali,Botswanabugs,2020-01-13T06:33:08Z
340245,ufuongo,und,"","",,Kwangali,Botswanabugs,2020-01-13T06:33:50Z
340245,omoongo,und,"","",,Kwangali,Botswanabugs,2020-01-13T06:36:03Z
567417,mukoro,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:20Z
595946,muntėu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:21Z
595946,untėu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:21Z
594421,mugcaunga,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:21Z
861928,mugumbahambo,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:22Z
861928,mungamba,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:22Z
601535,muginda,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:22Z
567324,mumangondijamba,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:23Z
601154,kankata,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:23Z
601154,munkata,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:23Z
594427,mungando,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:24Z
594427,ungandu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:24Z
601538,mumangandjamba,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:24Z
601538,mutwa,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:25Z
601538,muzwa,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:25Z
567419,likonda,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:25Z
567419,mumanganjamba,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:26Z
81500,euyu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:26Z
81500,livuyu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:27Z
81500,uyu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:27Z
340175,mudirundiru,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:27Z
340175,muhėngutji,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:28Z
340175,mukengutji,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:28Z
340175,uhenguti,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:28Z
416649,muhurungu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:29Z
340225,mukongotji,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:29Z
340225,musese,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:29Z
340234,gampunza,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:30Z
340234,matoni,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:30Z
340234,mpindu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:30Z
340136,runkwanana,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:31Z
189622,uhahe,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:31Z
67321,mucuti,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:32Z
67321,muhusi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:32Z
67321,muntjuti,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:32Z
340336,nombe,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:33Z
340336,ukerete,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:33Z
340336,umbe,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:33Z
70065,munkudi unkudi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:33Z
340238,mutundungu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:34Z
340238,uhehe,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:34Z
582587,muramata,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:34Z
426118,mupupu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:35Z
426118,upupu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:35Z
582590,ruputa,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:35Z
340062,mutumba,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:36Z
340062,mutumbanandjuki,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:36Z
340408,munyondo,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:36Z
211071,mungongangonga,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:37Z
553599,mukenge,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:37Z
598289,mughowo,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:38Z
598289,muhowo,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:38Z
598289,mutjima-gongombo,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:38Z
582614,mughogho,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:38Z
582614,muwowo,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:39Z
598569,mbango,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:39Z
340314,murongo,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:39Z
583617,mutėimba,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:40Z
583617,nonsimba,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:40Z
583617,usimba,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:40Z
349756,moye,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:41Z
349756,mwege,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:41Z
349756,mweghe,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:41Z
598741,shihorowa,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:42Z
598741,sihorowa,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:42Z
340214,unyandi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Kwangali,Ken-ichi Ueda,2021-10-21T20:17:42Z
