id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
39677,Agalo,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T06:49:21Z
59035,Agouman,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T06:51:45Z
49399,Akajou,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T06:54:13Z
158336,anjlen,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T06:58:51Z
160760,awali,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T07:03:19Z
62936,babadin,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T07:04:10Z
118620,babawen,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T07:04:51Z
123795,balizyé,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T07:08:20Z
201656,banbou,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T07:10:47Z
129324,bandja,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T07:12:07Z
50636,bannann,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T07:14:01Z
56943,banndjo,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T07:14:42Z
47257,bawé,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T07:17:02Z
61398,bazilik,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T07:20:48Z
63190,béléjenn,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T07:21:59Z
47731,bètafé,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T07:23:20Z
49556,bètannipyé,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T07:23:54Z
47263,bétjin,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T07:24:52Z
42158,bich,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T07:25:39Z
123070,bouk,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T07:30:27Z
95066,bous,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T07:32:42Z
148030,bouwik,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T07:33:29Z
133685,bwadenn,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T07:34:40Z
53464,bwadnò,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T07:35:15Z
70027,bwapen,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T08:23:14Z
48876,bwi,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T08:24:21Z
499859,bwigo,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T08:25:15Z
54299,chadèt,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T08:27:13Z
48036,chadon,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T08:28:09Z
52290,chadon nwè,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T08:28:59Z
47170,chanpiyon,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T08:31:20Z
47169,chapo djab,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T08:33:31Z
346373,chatany,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T08:34:24Z
47458,chatou,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T08:35:48Z
156777,chennèt,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T08:37:06Z
127352,chès,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T08:37:31Z
341129,chik,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T08:38:14Z
54516,chouponm,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T08:40:41Z
48111,chouval Bondyé,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T08:42:05Z
122835,dachin,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T08:44:24Z
122835,danma,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T08:45:40Z
85469,diten,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T21:29:09Z
919365,djapanna,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T21:31:12Z
41495,dowad,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T21:39:06Z
41526,dowad,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T21:40:12Z
1018977,échofi,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T21:42:02Z
48894,èskoupyon,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T21:45:15Z
160544,fatpòk,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:14:52Z
62853,manng salé,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:16:35Z
189589,manng salé,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:17:12Z
781644,zo nwè,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:18:06Z
164320,chapantyé,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:19:15Z
361830,chapantyé gwan bwa,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:20:11Z
291119,ti patat,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:21:07Z
424452,lang béf,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:22:03Z
133981,zèpina blan,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:23:24Z
75395,zèpina,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:23:54Z
76746,semen contwé,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:24:44Z
853722,alatoukay,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:26:09Z
426902,lonyon gli,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:30:51Z
122988,ponm acajou,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:31:48Z
122988,nwa,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:32:06Z
349061,bwa di hou,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:32:46Z
85098,mouben,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:33:32Z
69972,fey manmà,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:34:20Z
69972,kajouka,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:34:33Z
69972,manjé kwab,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:35:03Z
430650,kachiman,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:35:33Z
284503,kòsòl,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:36:20Z
284506,kachiman blan,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:37:01Z
69973,ponm kannél,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:37:49Z
494249,kòsòl mawon,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:38:52Z
494249,ti kachiman bwa,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:39:31Z
162702,chadon beni,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:40:01Z
60121,pawasol djab,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:40:42Z
60121,pawasol demou,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:41:03Z
75602,kòtòn kadwiv,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:42:15Z
62924,kaka poul,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:42:54Z
161235,lèt makak,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:43:33Z
161235,zong makak,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:43:48Z
47563,lowyé wouj,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:44:23Z
543050,bwa let,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:45:17Z
291821,bwa let,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:45:45Z
417375,ti siton,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:46:25Z
126165,malanga,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:47:05Z
49181,sidjinn,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:48:02Z
283377,koko shak,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:48:50Z
206266,kann wivyé,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:50:01Z
206266,kann bwilé,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:50:20Z
78589,chapo ma,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:50:52Z
154794,tayo,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:51:32Z
154794,tannia,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:51:45Z
277338,chou jamaik,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:52:22Z
277338,chou blan,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:52:43Z
277338,chou bouton,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:53:04Z
284556,fijé sek,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:53:36Z
244459,ti koko,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:55:09Z
364173,gwigwi,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:56:12Z
364467,latanyé,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:56:49Z
48865,koko,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:57:33Z
206307,goglèt,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:57:59Z
132635,palmis,und,"","",,Kwéyòl,anneliese merrigan,2020-07-26T23:58:48Z
346387,gwou-gwou,und,"","",,Kwéyòl,anneliese merrigan,2020-07-27T00:00:04Z
284610,twef,und,"","",,Kwéyòl,anneliese merrigan,2020-07-27T00:00:38Z
143422,zèb a mouton,und,"","",,Kwéyòl,anneliese merrigan,2020-07-27T00:01:19Z
143422,labonn fanm,und,"","",,Kwéyòl,anneliese merrigan,2020-07-27T00:01:39Z
143422,latifi,und,"","",,Kwéyòl,anneliese merrigan,2020-07-27T00:01:55Z
50204,zèb a zédjwi,und,"","",,Kwéyòl,anneliese merrigan,2020-07-27T00:02:44Z
160297,magéwit,und,"","",,Kwéyòl,anneliese merrigan,2020-07-27T00:03:28Z
274158,fèy do blan,und,"","",,Kwéyòl,anneliese merrigan,2020-07-27T00:03:59Z
76765,konngolala,und,"","",,Kwéyòl,anneliese merrigan,2020-07-27T00:04:43Z
162267,tèt nèg,und,"","",,Kwéyòl,anneliese merrigan,2020-07-27T00:05:21Z
183585,kamami,und,"","",,Kwéyòl,anneliese merrigan,2020-07-27T00:06:20Z
165389,kacho,und,"","",,Kwéyòl,anneliese merrigan,2020-07-27T00:14:16Z
165697,zèb a pik,und,"","",,Kwéyòl,anneliese merrigan,2020-07-27T00:14:51Z
126424,matnitjen,und,"","",,Kwéyòl,anneliese merrigan,2020-07-27T01:28:46Z
281666,sitonnèl,und,"","",,Kwéyòl,anneliese merrigan,2020-07-27T01:29:46Z
167068,tabak djab,und,"","",,Kwéyòl,anneliese merrigan,2020-07-28T04:21:34Z
156560,tèt nèg,und,"","",,Kwéyòl,anneliese merrigan,2020-07-28T04:22:09Z
246102,venvenn kawayib,und,"","",,Kwéyòl,anneliese merrigan,2020-07-28T04:22:48Z
170298,bwa sousouwi,und,"","",,Kwéyòl,anneliese merrigan,2020-07-28T04:23:42Z
170298,bwa sòlèy,und,"","",,Kwéyòl,anneliese merrigan,2020-07-28T04:24:15Z
158405,djéwi tout,und,"","",,Kwéyòl,anneliese merrigan,2020-07-28T04:25:04Z
159191,zèpina,und,"","",,Kwéyòl,anneliese merrigan,2020-07-28T04:26:40Z
161121,kalbas,und,"","",,Kwéyòl,anneliese merrigan,2020-07-28T04:27:46Z
53726,pòwyé,und,"","",,Kwéyòl,anneliese merrigan,2020-07-28T04:28:29Z
283226,maho nwè,und,"","",,Kwéyòl,anneliese merrigan,2020-07-28T04:35:26Z
771351,maho nwè,und,"","",,Kwéyòl,anneliese merrigan,2020-07-28T18:48:17Z
771361,maho nwè,und,"","",,Kwéyòl,anneliese merrigan,2020-07-28T18:49:49Z
359840,sip blan,und,"","",,Kwéyòl,anneliese merrigan,2020-07-28T18:51:27Z
48895,kwèp kodenn,und,"","",,Kwéyòl,anneliese merrigan,2020-07-28T18:52:02Z
78174,kouso,und,"","",,Kwéyòl,anneliese merrigan,2020-07-28T18:52:55Z
277363,kawata,und,"","",,Kwéyòl,anneliese merrigan,2020-07-28T18:58:34Z
160239,kawata,und,"","",,Kwéyòl,anneliese merrigan,2020-07-28T18:59:09Z
141303,kawata,und,"","",,Kwéyòl,anneliese merrigan,2020-07-28T18:59:40Z
346372,kawata,und,"","",,Kwéyòl,anneliese merrigan,2020-07-28T19:00:14Z
49571,kawata,und,"","",,Kwéyòl,anneliese merrigan,2020-07-28T19:04:03Z
870223,kawata,und,"","",,Kwéyòl,anneliese merrigan,2020-07-28T19:05:34Z
130734,gonmyé modi,und,"","",,Kwéyòl,anneliese merrigan,2020-07-28T19:10:48Z
544044,gonmyé,und,"","",,Kwéyòl,anneliese merrigan,2020-07-28T19:17:58Z
442617,lansan,und,"","",,Kwéyòl,anneliese merrigan,2020-07-28T19:19:02Z
157908,tèt anglés,und,"","",,Kwéyòl,anneliese merrigan,2020-07-28T19:19:44Z
274370,watjèt,und,"","",,Kwéyòl,anneliese merrigan,2020-07-28T19:20:45Z
