id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
1150916,óowáanin,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:14:08Z
47372,womelanodal wohóowáanin,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:17:09Z
69150,wonasháalede wohóowáanin,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:17:57Z
59531,womebo wohóowáanin,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:19:16Z
78465,aálesh,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:20:54Z
57912,abash,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:22:26Z
130176,analel,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:23:15Z
64340,ahanayáanin,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:24:01Z
55882,boóbil,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:24:49Z
48592,bremeda,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:26:15Z
47561,medathimi,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:26:54Z
53940,dazhéebeyáanin,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:27:41Z
636795,domesh,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:28:36Z
469472,doyu,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:30:25Z
58460,edenesh,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:31:14Z
122850,edeni,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:31:47Z
64342,yobeyáanin,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:32:23Z
85469,háami,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:33:14Z
331124,hezh,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:33:51Z
415524,hizh,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:34:35Z
135421,homeyu,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:35:18Z
62671,huthil,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:36:17Z
61381,ilihede,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:36:50Z
122976,ilimeda,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:37:28Z
53106,mehilimeda,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:38:05Z
53597,meléeli,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:38:48Z
83072,lehina,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:39:18Z
48353,meleyidalatham,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:40:28Z
47544,meloyodalatham,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:41:25Z
123454,medalayun,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:42:23Z
128270,meénehesh,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:43:04Z
49883,meláanin,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:43:38Z
76538,ozhi,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:44:16Z
70054,ilihozhi,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:44:53Z
53438,meshahina,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:45:55Z
64540,ríshoméenanethil,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:46:47Z
64538,ríshoméenanethil,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:47:04Z
55821,thezh,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:48:01Z
135331,thuyu,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:48:39Z
53858,udemeda,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:49:07Z
53779,webesh,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:49:46Z
51738,wothesh,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:50:26Z
331122,yun,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:51:17Z
123005,zhu,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:51:50Z
50829,mehoyimahina,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:53:20Z
55800,mehodo,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:54:08Z
51876,meboómi,und,"","",,Láadan,Jason Hernandez,2020-11-21T05:55:24Z
