id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
110381,Pa salam,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10077959/common/166301,Laotian,,2021-07-13T16:37:22Z
103728,Pa pi kai,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10081615/common/50392,Laotian,,2021-07-14T12:49:04Z
108331,Pa beuk,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10080364/common/263398,Laotian,,2021-07-15T14:29:15Z
108331,Pa boeuk,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10080364/common/263396,Laotian,,2021-07-15T14:29:20Z
96854,Pa kaho,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10059121/common/341695,Laotian,,2021-07-15T14:42:13Z
97274,Pa meng phou,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10070074/common/128853,Laotian,,2021-07-15T15:16:30Z
97273,Pa gooan,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10070070/common/128921,Laotian,,2021-07-15T15:40:38Z
97273,Pa kouan,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10070070/common/128920,Laotian,,2021-07-15T15:40:46Z
97273,Pba gooa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10070070/common/128919,Laotian,,2021-07-15T15:40:51Z
623876,Fa hang,und,"","",,Laotian,Zane Roskoph,2021-07-15T16:23:14Z
623876,Pa fa hang,und,"","",,Laotian,Zane Roskoph,2021-07-15T16:23:40Z
623876,Pa fa lai,und,"","",,Laotian,Zane Roskoph,2021-07-15T16:24:00Z
115010,Khao,und,"","",,Laotian,Zane Roskoph,2021-07-19T15:58:49Z
115010,Pa khao,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10081706/common/102865,Laotian,,2021-07-19T15:58:58Z
187508,Pa kheung,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10081428/common/127754,Laotian,,2021-07-19T16:13:54Z
187509,Pa kheung,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10081429/common/127744,Laotian,,2021-07-19T16:13:55Z
95038,Pa ke,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10081711/common/150929,Laotian,,2021-07-27T12:58:49Z
188570,Pba tohn,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10061244/common/93491,Laotian,,2021-07-27T13:54:14Z
188570,Pba gwa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10061244/common/93490,Laotian,,2021-07-27T13:54:27Z
188569,Pba daeng,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10061242/common/93500,Laotian,,2021-07-27T14:00:46Z
188571,Pa kva,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10061245/common/93470,Laotian,,2021-07-27T14:02:41Z
187508,Pa goht mahw,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10081428/common/127753,Laotian,,2021-08-09T14:08:24Z
187508,Pa kot mo,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10081428/common/127752,Laotian,,2021-08-09T14:08:39Z
187098,Pa pao luang,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Laotian,,2021-10-09T17:01:27Z
93987,Pa kheng,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Laotian,,2021-12-04T16:36:19Z
93987,Pba keng,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Laotian,,2021-12-04T16:36:31Z
611816,Pba moo,und,"","",,Laotian,Zane Roskoph,2021-12-17T01:18:17Z
188583,Pa salid,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Laotian,,2021-12-31T05:55:59Z
188583,Pa ka dout,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Laotian,,2021-12-31T05:56:13Z
105252,Pa lat,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Laotian,,2022-03-09T23:21:44Z
187654,Pa lat,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Laotian,,2022-03-09T23:21:44Z
105252,Pa loht,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Laotian,,2022-03-09T23:21:57Z
105252,Pba laht,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Laotian,,2022-03-09T23:22:07Z
188570,Pa hien,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10061230/common/93631,Laotian,,2022-03-23T01:11:29Z
95038,Pba kae,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10081714/common/150913,Laotian,,2022-03-24T06:45:38Z
95038,Pa khae,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10081714/common/150911,Laotian,,2022-03-24T06:45:39Z
95038,Pa khe,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10081714/common/150912,Laotian,,2022-03-24T06:45:39Z
