id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
53726,Tabebuia,und,"","","FA Bisby, YR Roskov, MA Ruggiero, TM Orrell, LE Paglinawan, PW Brewer, N Bailly, J van Hertum, eds (2007). Species 2000 & ITIS Catalogue of Life: 2007 Annual Checklist Taxonomic Classification. CD-ROM; Species 2000: Reading, U.K.",Latin,Ricardo da Silva Ribeiro,2009-10-25T00:54:27Z
47170,Fungi imperfecti,und,"","",http://eol.org/pages/20651323,Latin,James Kameron Mitchell,2017-07-05T20:42:59Z
123880,Diatomae,und,"","",,Latin,John E. Christensen,2018-03-02T13:41:22Z
61851,Eristalis pratorum,und,"","",,Latin,Wouter Staelens,2018-07-12T14:49:11Z
168867,Libanotis pyrenica,und,"","",,Latin,Zoltán Nagy,2018-07-21T19:10:46Z
43584,hominum,und,"","",,Latin,Andrés Nicolás Ramírez,2019-09-15T21:26:20Z
131236,vira,und,"","",,Latin,James K. Douch,2020-01-25T14:35:33Z
71973,Hierochloë,und,"","",,Latin,cassi saari,2020-02-10T16:17:49Z
201627,Bruchus,und,"","",,Latin,Dewald du Plessis,2020-03-15T06:43:44Z
201627,Locusta,und,"","",,Latin,Dewald du Plessis,2020-03-15T06:44:46Z
119686,Attacus,und,"","",,Latin,Dewald du Plessis,2020-03-15T06:55:20Z
325445,Attacus,und,"","",,Latin,Dewald du Plessis,2020-03-15T06:56:30Z
71251,Ophiomachus,und,"","",,Latin,Dewald du Plessis,2020-03-16T07:11:31Z
1066451,Hemeroblemma stira,und,"","",,Latin,Claudio Flamigni,2020-04-09T08:45:52Z
1074632,Cannagara bubona,und,"","",,Latin,Claudio Flamigni,2020-04-23T10:36:32Z
43335,Hippotigris,und,"","",,Latin,Dewald du Plessis,2020-04-24T12:53:44Z
144091,Urus,und,"Scotland, GB","",,Latin,Dewald du Plessis,2020-04-24T13:13:38Z
42309,Leucoryx,und,Egypt | Sudan,"EG,SD",,Latin,Dewald du Plessis,2020-04-24T14:42:44Z
42157,Camelopardalis,und,Ethiopia,ET,,Latin,Dewald du Plessis,2020-04-24T15:03:47Z
47126,Plantae,und,"","",,Latin,Andrés Nicolás Ramírez,2020-05-16T23:28:25Z
118552,domesticis cattus,und,"","",,Latin,Andrés Nicolás Ramírez,2020-05-16T23:32:28Z
1097825,Meganola permitens,und,"","",,Latin,Claudio Flamigni,2020-06-11T21:05:21Z
1065596,Meganola mesographa,und,"","",,Latin,Claudio Flamigni,2020-06-11T21:29:21Z
1112603,Aphanorrhegma patens,und,"","",https://www.inaturalist.org/taxon_names/1386162/edit,Latin,,2020-09-02T12:07:44Z
1117251,Eucereon alba,und,"","",,Latin,Claudio Flamigni,2020-10-15T23:28:54Z
54629,hedera crassifolius,und,"","",,Latin,maplerice,2020-10-27T20:53:00Z
1130827,Dolichosomastis deois,und,"","",,Latin,Claudio Flamigni,2020-10-31T13:43:13Z
1148770,Homoeocera papalo,und,"","",,Latin,Claudio Flamigni,2020-11-05T21:33:28Z
127421,Hormaphis spinosus,und,"","",,Latin,John Kelly,2021-02-17T22:19:45Z
62336,Herba Angelica,und,"","",,Latin,Dewald du Plessis,2021-04-28T20:24:27Z
435637,Orchis palustris,und,"","",,Latin,Michal Ducháček,2021-06-06T15:44:04Z
155487,Virga strigosa,und,"","",,Latin,Michal Ducháček,2021-06-06T15:46:10Z
41964,Leo,und,"","",,Latin,Zane Roskoph,2021-08-24T12:24:37Z
41967,tigris,und,"","",,Latin,Zane Roskoph,2021-08-26T16:08:08Z
314141,Mammillaria wildii,und,"","",,Latin,Eduard Garin,2021-09-21T05:39:41Z
1228795,Sapium biloculare,und,"","",,Latin,Douglas Goldman,2022-02-14T03:58:01Z
83469,Laternaria phosphorea,und,"","",,Latin,Yurii Basov,2022-02-19T04:42:50Z
1366694,Swida hungarica,und,"","",,Latin,Denis Davydov,2022-03-21T13:56:09Z
469472,malum,und,"","",,Latin,DW,2022-03-27T04:46:53Z
1375256,Thymus enervius,und,"","",,Latin,Denis Davydov,2022-04-12T13:41:46Z
1375256,Thymus parviflorus,und,"","",,Latin,Denis Davydov,2022-04-12T13:42:41Z
1375256,Thymus amplificatus,und,"","",,Latin,Denis Davydov,2022-04-12T13:43:22Z
1375256,Thymus danubialis,und,"","",,Latin,Denis Davydov,2022-04-12T13:43:50Z
1375256,Thymus clandestinus,und,"","",,Latin,Denis Davydov,2022-04-12T13:44:41Z
1375256,Thymus montanus,und,"","",,Latin,Denis Davydov,2022-04-12T13:45:24Z
64615,Hepaticae,und,"","",,Latin,w4v,2022-04-24T07:30:10Z
1396061,Prunus avium × cerasus,und,"","",,Latin,Denis Davydov,2022-06-12T09:18:15Z
