id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
84298,Parastā zirgkastaņa,lv,"","",,Latvian,John E. Christensen,2017-11-28T16:42:00Z
47208,Vaboles,lv,"","",,Latvian,John E. Christensen,2017-11-30T21:47:18Z
355675,Mugurkaulnieki,lv,"","",,Latvian,John E. Christensen,2017-12-06T09:32:37Z
48582,Parastais pīlādzis,lv,"","",,Latvian,John E. Christensen,2017-12-18T06:24:12Z
123003,Džefrūts,lv,"","",,Latvian,John E. Christensen,2017-12-26T07:54:41Z
48824,Sūkļi,lv,"","",,Latvian,John E. Christensen,2017-12-31T16:44:57Z
26036,Rāpuļi,lv,"","",,Latvian,John E. Christensen,2018-01-12T14:29:48Z
6888,Zosveidīgie,lv,"","",,Latvian,John E. Christensen,2018-01-25T15:50:37Z
481959,Jūras zvaigznes,lv,"","",,Latvian,John E. Christensen,2018-01-29T09:56:08Z
47459,Galvkāji,lv,"","",,Latvian,John E. Christensen,2018-01-30T07:29:44Z
311249,Pirmsvasas augi,lv,"","",,Latvian,John E. Christensen,2018-02-03T08:15:24Z
4730,Stārķu dzimta,lv,"","",,Latvian,John E. Christensen,2018-02-03T08:50:13Z
47178,Starspures,lv,"","",,Latvian,John E. Christensen,2018-02-10T07:43:21Z
9398,Dadzītis,lv,"","",,Latvian,John E. Christensen,2018-02-14T11:08:25Z
115167,Zobenzivs,lv,"","",,Latvian,John E. Christensen,2018-02-17T13:17:08Z
568873,Mūlis,lv,"","",,Latvian,John E. Christensen,2018-02-19T10:49:16Z
145360,Zaļžubīte,lv,"","",,Latvian,John E. Christensen,2018-02-24T14:52:20Z
372739,Seškāji,lv,"","",,Latvian,John E. Christensen,2018-03-07T09:51:20Z
131605,Bruņcepuru dzegužpuķe,lv,"","",,Latvian,John E. Christensen,2018-03-10T14:22:29Z
54327,Sirseņi,lv,"","",,Latvian,John E. Christensen,2018-03-20T09:53:26Z
52761,Asinszāles,lv,"","",,Latvian,John E. Christensen,2018-03-25T06:46:37Z
56222,Māllēpe,lv,"","",,Latvian,John E. Christensen,2018-04-10T16:26:03Z
47603,Pienenes,lv,"","",,Latvian,John E. Christensen,2018-04-30T15:07:33Z
58722,Parastā priede,lv,"","",,Latvian,,2018-06-16T13:24:57Z
47102,Skudrlāči,lv,"","",,Latvian,John E. Christensen,2018-06-16T14:44:49Z
51935,Rasenes,lv,"","",,Latvian,John E. Christensen,2018-07-22T11:44:01Z
55884,Suņu roze,lv,"","",,Latvian,John E. Christensen,2018-10-18T13:45:46Z
47336,Skudru dzimta,lv,"","",,Latvian,John E. Christensen,2018-11-01T16:30:32Z
41789,Āpši,lv,"","",,Latvian,John E. Christensen,2018-11-14T10:03:27Z
121943,Paparžaugi,lv,"","",,Latvian,John E. Christensen,2018-12-17T16:24:43Z
4950,Gārņi,lv,"","",,Latvian,John E. Christensen,2019-01-13T08:44:55Z
42241,Dobradži,lv,"","",,Latvian,John E. Christensen,2019-01-30T16:21:18Z
40151,Zīdītāji,lv,"","",,Latvian,John E. Christensen,2019-02-07T16:20:02Z
85493,Vēžveidīgie,lv,"","",,Latvian,John E. Christensen,2019-02-10T11:12:02Z
5068,Ērgļu ģints,lv,"","",,Latvian,John E. Christensen,2019-02-12T20:37:51Z
47119,Zirnekļveidīgie,lv,"","",,Latvian,John E. Christensen,2019-02-13T20:02:13Z
47398,Vientuļniekvēži,lv,"","",,Latvian,John E. Christensen,2019-02-24T13:30:28Z
48486,Mārīšu dzimta,lv,"","",,Latvian,John E. Christensen,2019-02-25T19:05:40Z
7251,Zvirbuļveidīgie,lv,"","",,Latvian,John E. Christensen,2019-03-02T10:05:03Z
133387,Ēriku dzimta,lv,"","",,Latvian,John E. Christensen,2019-04-07T11:53:19Z
47125,Segsēkļi,lv,"","",,Latvian,John E. Christensen,2019-04-27T09:49:31Z
51741,Podagras gārsa,lv,"","",,Latvian,John E. Christensen,2019-05-01T07:56:58Z
8088,Sīlis,lv,Latvia,LV,,Latvian,George Lx,2019-05-02T07:47:50Z
56224,Purva purene,lv,Latvia,LV,,Latvian,George Lx,2019-05-02T07:50:59Z
47746,Kosas,lv,"","",,Latvian,John E. Christensen,2019-05-06T11:21:41Z
8029,Krauķis,lv,Latvia,LV,,Latvian,George Lx,2019-05-06T12:47:56Z
56739,Rīcinaugs,lv,"","",,Latvian,John E. Christensen,2019-05-12T14:28:51Z
321595,Gremzdgraužu apakšdzimta,lv,"","",,Latvian,John E. Christensen,2019-06-10T14:40:17Z
50190,Cikāžu virsdzimta,lv,"","",,Latvian,John E. Christensen,2019-06-13T08:52:14Z
125440,Parastais osis,lv,Latvia,LV,,Latvian,George Lx,2019-07-02T07:11:09Z
55819,Gaiļbiksīte,lv,Latvia,LV,,Latvian,George Lx,2019-07-02T07:16:54Z
48403,Trīsadatu stagars,lv,Latvia,LV,,Latvian,George Lx,2019-07-02T07:22:05Z
48403,Kazrags,lv,Latvia,LV,,Latvian,George Lx,2019-07-02T07:22:38Z
5179,Klijāni,lv,"","",,Latvian,John E. Christensen,2019-09-05T13:53:24Z
131586,Rudens vēlziede,lv,"","",,Latvian,John E. Christensen,2019-10-02T07:24:00Z
233598,Polārlapsa,lv,"","",,Latvian,John E. Christensen,2019-10-06T20:14:33Z
43011,Ežu dzimta,lv,"","",,Latvian,John E. Christensen,2019-10-19T15:30:40Z
505478,Mājas vista,lv,"","",,Latvian,John E. Christensen,2019-12-18T08:41:19Z
82391,Parastais plakanstaipeknis,lv,"","",,Latvian,Johan Devos,2020-01-29T19:40:43Z
47605,Asteru rinda,lv,"","",,Latvian,John E. Christensen,2020-02-10T07:37:45Z
2314,Zivju dzenīšu dzimta,lv,"","",,Latvian,John E. Christensen,2020-03-26T12:04:09Z
68901,Parastais lēcējzirneklis,lv,Latvia,LV,,Latvian,Ilja Fescenko,2020-04-25T17:52:27Z
10070,Žubīte,lv,Latvia,LV,,Latvian,Ilja Fescenko,2020-04-25T17:54:58Z
167373,Ložņu retējs,lv,"","",,Latvian,Ilja Fescenko,2020-04-26T15:23:39Z
63567,Parastā egle,lv,"","",,Latvian,Ilja Fescenko,2020-04-26T15:25:03Z
120183,Marmora riteņzirneklis,lv,"","",,Latvian,Ilja Fescenko,2020-04-27T05:03:57Z
204321,Pavasara mazpurenīte,lv,"","",,Latvian,Ilja Fescenko,2020-04-28T13:25:50Z
41733,Pelēkais ronis,lv,"","",,Latvian,Ilja Fescenko,2020-04-28T13:27:15Z
3048,Lauka balodis,lv,"","",,Latvian,Ilja Fescenko,2020-04-28T13:29:36Z
122238,Mitrene parastā,lv,"","",,Latvian,Ilja Fescenko,2020-04-28T13:32:24Z
55830,Efeju sētložņa,lv,"","",,Latvian,Ilja Fescenko,2020-04-30T15:36:09Z
77914,Vālīšu staipeknis,lv,"","",,Latvian,Ilja Fescenko,2020-04-30T15:43:31Z
204168,Gada staipeknis,lv,"","",,Latvian,Ilja Fescenko,2020-04-30T15:47:37Z
639660,Zilā vizbulīte,lv,"","",,Latvian,Ilja Fescenko,2020-04-30T15:48:45Z
56222,Parastā māllēpe,lv,"","",,Latvian,Ilja Fescenko,2020-04-30T16:10:40Z
483180,Pakalnu vijolīte,lv,"","",,Latvian,Ilja Fescenko,2020-04-30T16:24:03Z
46001,Vāvere,lv,"","",,Latvian,Ilja Fescenko,2020-04-30T16:25:21Z
4954,Zivju gārnis,lv,"","",,Latvian,Ilja Fescenko,2020-04-30T16:26:31Z
49134,Košā agrene,lv,"","",,Latvian,Ilja Fescenko,2020-04-30T16:27:45Z
78157,Vārpainā daudzlape,lv,"","",,Latvian,Ilja Fescenko,2020-04-30T16:39:06Z
67532,Pitonu dzimta,lv,"","",,Latvian,John E. Christensen,2020-05-14T12:25:33Z
320809,Purva sermulīte,lv,"","",,Latvian,Ilja Fescenko,2020-05-15T05:08:54Z
526556,Ūdri,lv,"","",,Latvian,John E. Christensen,2020-06-07T11:44:36Z
153757,Parastais slaidzirneklis,lv,Latvia,LV,,Latvian,George Lx,2020-06-20T18:32:11Z
482,Ūdensvista,lv,Latvia,LV,,Latvian,George Lx,2020-06-20T18:33:20Z
51662,Dārza vabole,lv,Latvia,LV,,Latvian,George Lx,2020-06-20T18:35:04Z
127299,Zeltmalu airvabole,lv,Latvia,LV,,Latvian,George Lx,2020-06-20T18:37:22Z
3,putni,lv,"","",,Latvian,Ken-ichi Ueda,2020-07-01T23:37:42Z
47158,kukaiņi,lv,"","",,Latvian,Ken-ichi Ueda,2020-07-01T23:38:37Z
82160,Tumšsarkanā dzeguzene,lv,"","",,Latvian,Ilja Fescenko,2020-07-18T14:05:02Z
71956,Alvejas,lv,"","",,Latvian,Chris Cheatle,2020-07-24T14:34:03Z
19350,Pūčveidīgie,lv,"","",,Latvian,John E. Christensen,2020-08-30T20:06:18Z
4270,Jūras krauklis,lv,"","",,Latvian,John E. Christensen,2020-10-30T09:20:41Z
558634,Kaņepītis,lv,"","",,Latvian,Marina Gorbunova,2020-11-06T19:12:51Z
980262,Japānas baltactiņa,lv,"","",,Latvian,Marina Gorbunova,2020-11-07T18:12:59Z
204512,Melnais mušķērājs,lv,"","",,Latvian,Marina Gorbunova,2020-11-07T18:32:34Z
15302,Dārza ķauķis,lv,"","",,Latvian,Marina Gorbunova,2020-11-07T18:38:54Z
13071,Zilrīklīte,lv,"","",,Latvian,Marina Gorbunova,2020-11-07T19:15:55Z
7347,lauku cīrulis,lv,"","",,Latvian,Marina Gorbunova,2020-11-07T19:18:15Z
9212,Birztalu stērste,lv,"","",,Latvian,Marina Gorbunova,2020-11-07T19:33:51Z
9212,Zeltainā stērste,lv,"","",,Latvian,Marina Gorbunova,2020-11-07T19:34:03Z
10069,Ziemas žubīte,lv,"","",,Latvian,Marina Gorbunova,2020-11-07T19:42:22Z
10069,Ziemeļu žubīte,lv,"","",,Latvian,Marina Gorbunova,2020-11-07T19:42:31Z
10069,ziemas zubīte,lv,"","",,Latvian,Marina Gorbunova,2020-11-07T19:42:43Z
145293,tuksneša žubīte,lv,"","",,Latvian,Marina Gorbunova,2020-11-07T19:49:16Z
53781,Kaņepju dzimta,lv,"","",,Latvian,John E. Christensen,2020-11-21T14:46:42Z
371588,Purva bērzlape,lv,"","",,Latvian,James Kameron Mitchell,2020-12-17T04:40:44Z
68235,Pushordaiņi,lv,"","",,Latvian,John E. Christensen,2021-01-01T16:00:35Z
48648,lasis,lv,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078694/common/45781,Latvian,,2021-07-09T13:43:31Z
48156,zandarts,lv,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10071449/common/135174,Latvian,,2021-07-14T18:10:36Z
47516,varaviksnes forele,lv,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078654/common/19118,Latvian,,2021-07-19T12:23:06Z
41970,Jaguārs,lv,"","",,Latvian,Zane Roskoph,2021-07-30T12:09:48Z
41972,Dūmakainais leopards,lv,"","",,Latvian,Zane Roskoph,2021-07-30T12:56:28Z
74753,Zundu dūmakainais leopards,lv,"","",,Latvian,Zane Roskoph,2021-07-30T13:12:24Z
50873,Lielā baltā haizivs,lv,"","",,Latvian,Zane Roskoph,2021-07-30T14:01:15Z
42007,Puma,lv,"","",,Latvian,Zane Roskoph,2021-08-01T01:05:43Z
123749,Kermoda lācis,lv,"","",,Latvian,Zane Roskoph,2021-08-02T00:39:30Z
132831,Karalienes Šarlotes melnais lācis,lv,"","",,Latvian,Zane Roskoph,2021-08-02T00:50:15Z
14038,Afganistānas sniedze,lv,"","",,Latvian,Zane Roskoph,2021-08-02T12:52:15Z
30472,karaliskā kobra,lv,"","",https://eol.org/pages/1055746,Latvian,,2021-08-02T18:28:40Z
52188,Vaļhaizivs,lv,"","",https://eol.org/pages/46559686,Latvian,,2021-08-03T14:00:40Z
10421,Skotijas krustknābis,lv,"","",https://eol.org/pages/45518970,Latvian,,2021-08-06T15:17:56Z
