id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
47158,Insekte,und,"","",,Limburgish,John E. Christensen,2017-11-30T22:21:27Z
15964,Winterkeuninkskes,und,"","",,Limburgish,John E. Christensen,2018-03-16T11:19:56Z
53178,Smale waegbrei,und,"","",,Limburgish,John E. Christensen,2018-04-03T06:47:41Z
59029,Dónderpele,und,"","",,Limburgish,John E. Christensen,2018-07-28T12:45:55Z
47125,Bedèkzäöjige,und,"","",,Limburgish,John E. Christensen,2019-04-27T09:49:57Z
47822,Twièvleugelige,und,"","",,Limburgish,John E. Christensen,2019-12-08T12:56:13Z
505478,Hoon,und,"","",,Limburgish,John E. Christensen,2019-12-18T08:39:17Z
936369,Hoondape,und,"","",,Limburgish,John E. Christensen,2020-09-29T09:26:01Z
41970,Jaguar,und,"","",,Limburgish,Zane Roskoph,2021-07-30T12:07:59Z
41644,Iesbeer,und,"","",,Limburgish,Zane Roskoph,2021-08-11T16:51:46Z
41955,Jachluipeerd,und,"","",,Limburgish,Zane Roskoph,2021-08-13T12:10:39Z
41955,Jachliepeerd,und,"","",,Limburgish,Zane Roskoph,2021-08-13T12:10:51Z
41955,Jachluipaerd,und,"","",,Limburgish,Zane Roskoph,2021-08-13T12:11:05Z
41553,Blauwe vinvès,und,"","",,Limburgish,Zane Roskoph,2021-08-15T15:05:08Z
41553,Blawwe vinvis,und,"","",,Limburgish,Zane Roskoph,2021-08-15T15:05:39Z
41553,Blawwe vinvisj,und,"","",,Limburgish,Zane Roskoph,2021-08-15T15:06:33Z
41964,Liew,und,"","",,Limburgish,Zane Roskoph,2021-08-24T12:24:54Z
41967,Tieger,und,"","",,Limburgish,Zane Roskoph,2021-08-26T16:09:18Z
