id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
26036,Linyóka,und,"","",,Lingala,John E. Christensen,2018-01-12T14:28:44Z
343021,Angwisí,und,"","",,Lingala,John E. Christensen,2018-01-22T07:05:46Z
62867,Lípéla,und,"","",,Lingala,John E. Christensen,2018-02-07T10:37:21Z
63081,Nsónzo,und,"","",,Lingala,John E. Christensen,2018-06-13T08:49:23Z
121943,Misili,und,"","",,Lingala,John E. Christensen,2018-08-12T07:11:16Z
21359,Ligɔ́rɔ́dɔ́,und,"","",,Lingala,John E. Christensen,2018-12-21T09:41:36Z
43444,Nkɛ́mɛ́,und,"","",,Lingala,John E. Christensen,2019-05-08T12:15:11Z
47822,Nzinzi,und,"","",,Lingala,John E. Christensen,2019-12-08T12:56:33Z
505478,Nsósó,und,"","",,Lingala,John E. Christensen,2019-12-18T08:39:45Z
558829,Badigui,und,"","",,Lingala,Dewald du Plessis,2020-03-23T13:56:15Z
558829,Mourou-ngou,und,"","",,Lingala,Dewald du Plessis,2020-03-23T13:57:09Z
558829,Ngakoula-ngou,und,"","",,Lingala,Dewald du Plessis,2020-03-23T13:57:35Z
558829,Nguma-monene,und,"","",,Lingala,Dewald du Plessis,2020-03-23T13:58:01Z
558829,Songo,und,"","",,Lingala,Dewald du Plessis,2020-03-23T13:58:22Z
67532,Ngúma,und,"","",,Lingala,John E. Christensen,2020-05-14T12:24:38Z
42007,Puma,und,"","",,Lingala,Zane Roskoph,2021-08-01T01:05:02Z
112581,Ngɔlɔ,und,"","",,Lingala,Zane Roskoph,2021-08-14T18:18:41Z
41964,Nkɔ́si,und,"","",,Lingala,Zane Roskoph,2021-08-24T12:25:21Z
41967,Nkɔi etáné,und,"","",,Lingala,Zane Roskoph,2021-08-26T16:10:05Z
