id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
340245,marula,und,"","",,Lobedu,Botswanabugs,2020-01-13T06:38:15Z
580733,motakwe,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Lobedu,Ken-ichi Ueda,2021-10-21T20:18:10Z
580733,motekawe,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Lobedu,Ken-ichi Ueda,2021-10-21T20:18:10Z
132932,molyamahogovu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Lobedu,Ken-ichi Ueda,2021-10-21T20:18:11Z
342724,mopadadi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Lobedu,Ken-ichi Ueda,2021-10-21T20:18:11Z
76425,ledapa,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Lobedu,Ken-ichi Ueda,2021-10-21T20:18:11Z
516178,Moshishiwauy,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Lobedu,Ken-ichi Ueda,2021-10-21T20:18:12Z
55854,lezabazaba,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Lobedu,Ken-ichi Ueda,2021-10-21T20:18:12Z
585363,kherodwe,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Lobedu,Ken-ichi Ueda,2021-10-21T20:18:12Z
428367,motagu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Lobedu,Ken-ichi Ueda,2021-10-21T20:18:13Z
428367,mothagu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Lobedu,Ken-ichi Ueda,2021-10-21T20:18:13Z
340123,monogani,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Lobedu,Ken-ichi Ueda,2021-10-21T20:18:13Z
588682,khokukurwani,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Lobedu,Ken-ichi Ueda,2021-10-21T20:18:14Z
588682,mokhukurwani,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Lobedu,Ken-ichi Ueda,2021-10-21T20:18:14Z
343067,mosungwani,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Lobedu,Ken-ichi Ueda,2021-10-21T20:18:14Z
133587,mozwagu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Lobedu,Ken-ichi Ueda,2021-10-21T20:18:15Z
53168,moogwani,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Lobedu,Ken-ichi Ueda,2021-10-21T20:18:15Z
428559,morodolodi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Lobedu,Ken-ichi Ueda,2021-10-21T20:18:15Z
600650,amatunga,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Lobedu,Ken-ichi Ueda,2021-10-21T20:18:16Z
593043,khirale,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Lobedu,Ken-ichi Ueda,2021-10-21T20:18:16Z
593043,modutu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Lobedu,Ken-ichi Ueda,2021-10-21T20:18:16Z
428173,kherogolo,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Lobedu,Ken-ichi Ueda,2021-10-21T20:18:17Z
336810,mososo,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Lobedu,Ken-ichi Ueda,2021-10-21T20:18:17Z
595606,bobaobani,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Lobedu,Ken-ichi Ueda,2021-10-21T20:18:17Z
595606,popaopani,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Lobedu,Ken-ichi Ueda,2021-10-21T20:18:18Z
586655,phathaphathani,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Lobedu,Ken-ichi Ueda,2021-10-21T20:18:18Z
587506,mosingwane wa lesodi wa aldafa maato,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Lobedu,Ken-ichi Ueda,2021-10-21T20:18:18Z
587506,tselegani,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Lobedu,Ken-ichi Ueda,2021-10-21T20:18:19Z
