id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
2,Ruggensnarendeerter,und,"","",,Low German,John E. Christensen,2017-11-30T13:17:24Z
47821,Bauen,und,"","",,Low German,John E. Christensen,2018-11-08T15:48:02Z
40151,Söögdeerten,und,"","",,Low German,John E. Christensen,2019-02-07T16:17:29Z
48486,Sünnenküken,und,"","",,Low German,John E. Christensen,2019-02-25T19:06:17Z
201282,Nendrinė vištelė,und,Lithuania,LT,,Low German,Tadas Gružinskas,2019-08-02T19:02:48Z
505478,Hohn,und,"","",,Low German,John E. Christensen,2019-12-22T07:08:20Z
171203,Grootmudderbloom,und,"","",,Low German,Jim,2020-11-01T18:55:14Z
17599,Boomhacker,und,"","",,Low German,Jim,2020-11-01T18:58:14Z
144243,Gröne Boomhacker,und,"","",,Low German,Jim,2020-11-01T18:58:50Z
17835,Swarte Boomhacker,und,"","",,Low German,Jim,2020-11-01T18:59:34Z
204472,Muushaavke,und,"","",,Low German,Jim,2020-11-01T19:00:39Z
8088,Eekheekster,und,"","",,Low German,Jim,2020-11-01T19:01:39Z
4857,Kievitt,und,"","",,Low German,Jim,2020-11-01T20:03:13Z
10070,Bookfink,und,"","",,Low German,Jim,2020-11-02T06:33:31Z
4954,Schittreiher,und,"","",,Low German,Jim,2020-11-02T06:33:59Z
13094,Rootbössen,und,"","",,Low German,Jim,2020-11-02T06:34:54Z
203153,Speckmees,und,"","",,Low German,Jim,2020-11-02T06:35:21Z
482,Blesshehn,und,"","",,Low German,Jim,2020-11-02T06:36:37Z
12716,Swartdrussel,und,"","",,Low German,Jim,2020-11-02T06:37:19Z
144849,Piepmees,und,"","",,Low German,Jim,2020-11-02T06:37:39Z
14824,Boomkrüper,und,"","",,Low German,Jim,2020-11-02T06:38:07Z
4270,Nodder,und,"","",,Low German,Jim,2020-11-02T06:38:24Z
13695,Wippsteert,und,"","",,Low German,Jim,2020-11-02T06:39:07Z
201282,Dükerhehn,und,"","",,Low German,Jim,2020-11-02T06:39:29Z
14850,Spreen,und,"","",,Low German,Jim,2020-11-02T06:39:51Z
7046,Fres,und,"","",,Low German,Jim,2020-11-02T06:40:16Z
52188,Waalhai,und,"","",,Low German,Zane Roskoph,2021-08-03T14:03:09Z
3802,Jan vun Gent,und,"","",,Low German,Zane Roskoph,2021-08-11T15:46:26Z
41644,Iesboor,und,"","",,Low German,Zane Roskoph,2021-08-11T16:56:03Z
41967,Tiger,und,"","",,Low German,Zane Roskoph,2021-08-26T16:24:52Z
