id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
54468,Klenge Fochs,lb,"","",,Luxembourgish,Paul Braun,2017-06-06T09:23:29Z
62766,Klengen Nackerpäiperlek,lb,"","",,Luxembourgish,Paul Braun,2017-06-06T09:25:43Z
56225,C-Päiperlek,lb,"","",,Luxembourgish,Paul Braun,2017-06-06T09:26:17Z
123628,Keesermantel,lb,"","",,Luxembourgish,Paul Braun,2017-06-06T09:26:53Z
56529,Schmuebelschwanz,lb,"","",,Luxembourgish,Paul Braun,2017-06-06T09:27:27Z
207977,Pohunnena,lb,"","",,Luxembourgish,Paul Braun,2017-06-06T09:27:53Z
52771,Zitrouneblat,lb,Luxembourg,LU,,Luxembourgish,Paul Braun,2017-06-06T09:28:14Z
130398,Schachbriet,lb,"","",,Luxembourgish,Paul Braun,2017-06-06T09:28:34Z
49133,Amirol,lb,"","",,Luxembourgish,Paul Braun,2017-06-06T09:29:03Z
48548,Dëschtelpäiperlek,lb,"","",,Luxembourgish,Paul Braun,2017-06-06T09:29:30Z
130228,Risebiereklo,lb,"","",,Luxembourgish,Paul Braun,2017-06-06T09:31:14Z
54404,Feierblumm,lb,"","",,Luxembourgish,Paul Braun,2017-06-06T09:31:42Z
56057,Grouss Margréitchen,lb,"Grand-Duché de Luxembourg, LU","",,Luxembourgish,Paul Braun,2017-06-06T09:32:15Z
56934,Mäerzblimmchen,lb,"","",,Luxembourgish,Paul Braun,2017-06-06T09:33:05Z
55819,Schlësselblumm,lb,"","",,Luxembourgish,Paul Braun,2017-06-06T09:33:26Z
51702,Himmelsdéierchen,lb,"","",,Luxembourgish,Paul Braun,2017-06-06T09:33:57Z
53905,Quisel,lb,"","",,Luxembourgish,Paul Braun,2017-06-06T09:35:07Z
133250,Spréngerlek,lb,"","",,Luxembourgish,Paul Braun,2017-06-06T09:36:08Z
133250,Grashinchen,lb,"","",,Luxembourgish,Paul Braun,2017-06-06T09:36:19Z
55637,Wisebommel,lb,"","",,Luxembourgish,Paul Braun,2017-06-06T09:36:47Z
55637,Wissbei,lb,"","",,Luxembourgish,Paul Braun,2017-06-06T09:37:01Z
343021,Blannschlécher,lb,"","",,Luxembourgish,Paul Braun,2017-06-06T09:37:29Z
27726,Feiersalamander,lb,"","",,Luxembourgish,Paul Braun,2017-06-06T09:38:04Z
12992,Gaarderoutschwanz,lb,"","",,Luxembourgish,Paul Braun,2017-06-06T09:39:07Z
13000,Hausroutschwanz,lb,"","",,Luxembourgish,Paul Braun,2017-06-06T09:40:14Z
43128,Hues,lb,"","",,Luxembourgish,Paul Braun,2017-06-06T09:40:45Z
46001,Kaweechelchen,lb,"","",,Luxembourgish,Paul Braun,2017-06-06T09:41:14Z
43042,Kéiseker,lb,"","",,Luxembourgish,Paul Braun,2017-06-06T09:41:37Z
13858,Spatz,lb,"","",,Luxembourgish,Paul Braun,2017-06-06T09:43:12Z
61523,Wéngertsschleek,lb,"","",,Luxembourgish,Paul Braun,2017-06-06T09:43:53Z
46859,Geblummelecht Spëtzmaus,lb,"","",,Luxembourgish,Paul Braun,2017-06-06T09:51:55Z
46859,Waasserscharr,lb,"","",,Luxembourgish,Paul Braun,2017-06-06T09:52:14Z
40291,Grousst Mausouer,lb,"","",,Luxembourgish,Paul Braun,2017-06-06T09:52:49Z
40291,Grouss Flëntermaus,lb,"","",,Luxembourgish,Paul Braun,2017-06-06T09:53:09Z
40364,Gemeng Flëntermaus,lb,"","",,Luxembourgish,Paul Braun,2017-06-06T09:53:49Z
40364,Kleng Flëntermaus,lb,"","",,Luxembourgish,Paul Braun,2017-06-06T09:54:05Z
44705,Hausmaus,lb,"","",,Luxembourgish,Paul Braun,2017-06-06T09:54:34Z
44576,Brong Rat,lb,"","",,Luxembourgish,Paul Braun,2017-06-06T09:55:08Z
