id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
340245,ol-mangwai,und,"","",,Maasai,Botswanabugs,2020-01-13T06:42:52Z
594568,Ntulele,und,"","",,Maasai,Tony Rebelo,2020-06-05T13:08:21Z
888341,Ol-Morigye,und,"","",,Maasai,brnhn,2020-11-20T21:42:42Z
342743,Olokirdingai,und,"Narok, KE","",,Maasai,Zarek Cockar,2021-05-27T13:44:12Z
343032,Olkinyei,und,Kenya,KE,,Maasai,Zarek Cockar,2021-08-24T09:41:38Z
342713,Olngosua,und,"","",,Maasai,Zarek Cockar,2021-08-30T07:32:22Z
902135,Osoket,und,Kenya,KE,,Maasai,Zarek Cockar,2021-08-30T07:35:02Z
444802,Olsokonoi,und,Kenya,KE,,Maasai,Zarek Cockar,2021-08-30T07:38:09Z
1276542,Olorrondo,und,Kenya,KE,,Maasai,Zarek Cockar,2021-08-31T05:39:32Z
527007,Oiti,und,Kenya,KE,,Maasai,Zarek Cockar,2021-09-02T05:21:51Z
348763,elerai,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Maasai,Ken-ichi Ueda,2021-10-21T20:18:20Z
430600,Ol- morijoi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Maasai,Ken-ichi Ueda,2021-10-21T20:18:20Z
340175,ol mokotan,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Maasai,Ken-ichi Ueda,2021-10-21T20:18:21Z
340175,ol mokutan,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Maasai,Ken-ichi Ueda,2021-10-21T20:18:21Z
597739,maragurito,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Maasai,Ken-ichi Ueda,2021-10-21T20:18:21Z
184342,olarash,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Maasai,Ken-ichi Ueda,2021-10-21T20:18:22Z
342724,ol atorode,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Maasai,Ken-ichi Ueda,2021-10-21T20:18:22Z
