id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
47434,Треви,mk,"","",,Macedonian,John E. Christensen,2017-11-29T09:57:20Z
47903,Кактус,mk,"","",,Macedonian,John E. Christensen,2017-12-19T12:55:29Z
311249,Мов,mk,"","",,Macedonian,John E. Christensen,2018-01-01T10:04:30Z
56091,Боболка,mk,"","",,Macedonian,John E. Christensen,2018-02-18T14:07:24Z
372739,Шестноги,mk,"","",,Macedonian,John E. Christensen,2018-03-07T09:50:56Z
47603,Глуварче,mk,"","",,Macedonian,John E. Christensen,2018-04-30T15:06:54Z
67759,Коријандер,mk,"","",,Macedonian,John E. Christensen,2018-05-06T07:30:03Z
41663,Ракун,mk,"","",,Macedonian,John E. Christensen,2018-05-22T19:53:25Z
48623,Усноцветни,mk,"","",,Macedonian,John E. Christensen,2018-07-25T20:41:17Z
151882,Гинко,mk,"","",,Macedonian,John E. Christensen,2018-08-12T07:03:28Z
121943,Папрат,mk,"","",,Macedonian,John E. Christensen,2018-08-12T07:11:16Z
64615,Џигерница,mk,"","",,Macedonian,John E. Christensen,2018-09-03T15:06:22Z
49315,Обичен октопод,mk,"","",,Macedonian,Bobby McCabe,2018-09-26T16:05:55Z
47459,Главоноги,mk,"","",,Macedonian,Bobby McCabe,2018-10-09T05:37:20Z
41964,Лав,mk,"","",,Macedonian,Bobby McCabe,2018-10-22T04:12:14Z
41970,Јагуар,mk,"","",,Macedonian,Bobby McCabe,2018-10-22T04:32:52Z
41963,Леопард,mk,"","",,Macedonian,Bobby McCabe,2018-10-22T04:56:25Z
41967,Тигар,mk,"","",,Macedonian,Bobby McCabe,2018-10-22T05:14:54Z
74831,Снежен леопард,mk,"","",,Macedonian,Bobby McCabe,2018-10-22T05:36:05Z
41955,Гепард,mk,"","",,Macedonian,Bobby McCabe,2018-10-22T13:12:34Z
42007,Пума,mk,"","",,Macedonian,Bobby McCabe,2018-10-22T13:39:43Z
42007,Кагуар,mk,"","",,Macedonian,Bobby McCabe,2018-10-22T13:40:05Z
42007,Планински лав,mk,"","",,Macedonian,Bobby McCabe,2018-10-22T13:40:29Z
41641,Кафеава мечка,mk,"","",,Macedonian,Bobby McCabe,2018-10-22T22:46:21Z
41659,Џиновска панда,mk,"","",,Macedonian,Bobby McCabe,2018-10-23T00:43:33Z
41644,Бела мечка,mk,"","",,Macedonian,Bobby McCabe,2018-10-23T21:44:39Z
41644,Поларна мечка,mk,"","",,Macedonian,Bobby McCabe,2018-10-23T21:45:28Z
41638,Американска црна мечка,mk,"","",,Macedonian,Bobby McCabe,2018-10-24T13:22:20Z
41647,Азиска црна мечка,mk,"","",,Macedonian,Bobby McCabe,2018-10-24T14:31:21Z
711631,Тибетска црна мечка,mk,"","",,Macedonian,Bobby McCabe,2018-10-24T14:31:53Z
554363,Хималајска црна мечка,mk,"","",,Macedonian,Bobby McCabe,2018-10-24T14:33:01Z
43697,Азиски слон,mk,"","",,Macedonian,Bobby McCabe,2018-10-26T21:10:25Z
47336,Мравка,mk,"","",,Macedonian,John E. Christensen,2018-11-01T16:34:00Z
43692,Слон,mk,"","",,Macedonian,Bobby McCabe,2018-11-01T19:17:45Z
43694,Африкански савана слон,mk,"","",,Macedonian,Bobby McCabe,2018-11-10T23:34:32Z
357910,Африкански шума слон,mk,"","",,Macedonian,Bobby McCabe,2018-11-22T17:41:09Z
43348,Бел носорог,mk,"","",,Macedonian,Bobby McCabe,2018-11-26T13:39:28Z
47851,Даб,mk,"","",,Macedonian,John E. Christensen,2018-11-26T15:14:29Z
848319,Торбарите,mk,"","",,Macedonian,Bobby McCabe,2019-01-18T21:35:29Z
40151,Цицачи,mk,"","",,Macedonian,John E. Christensen,2019-02-07T16:19:00Z
121039,Гавијаловидни,mk,"","",,Macedonian,John E. Christensen,2019-02-08T15:30:24Z
133387,Вресови,mk,"","",,Macedonian,John E. Christensen,2019-04-07T11:53:47Z
81542,Едногрба камила,mk,"","",,Macedonian,Bobby McCabe,2019-04-11T14:44:08Z
81542,Дромедар,mk,"","",,Macedonian,Bobby McCabe,2019-04-11T14:44:50Z
81542,Арапска камила,mk,"","",,Macedonian,Bobby McCabe,2019-04-11T14:45:09Z
147328,Кардинал,mk,"","",,Macedonian,Jonathan Hoskins,2019-04-12T21:50:20Z
43236,Птицечовка,mk,"","",,Macedonian,Bobby McCabe,2019-04-18T15:33:43Z
74113,Домашно говедо,mk,"","",,Macedonian,Bobby McCabe,2019-05-07T14:40:03Z
74113,Крава,mk,"","",,Macedonian,Bobby McCabe,2019-05-07T14:40:28Z
131201,Едич,mk,"","",,Macedonian,John E. Christensen,2019-09-03T16:05:58Z
72281,Мушкатла,mk,"","",,Macedonian,John E. Christensen,2019-10-26T07:11:01Z
505478,Кокошка,mk,"","",,Macedonian,John E. Christensen,2019-12-18T08:43:50Z
48460,Живот,mk,"","",,Macedonian,cassi saari,2020-01-30T18:23:02Z
1199,Паун,mk,"","",https://eol.org/pages/45510661,Macedonian,,2020-06-16T05:15:38Z
48536,Аруми,mk,"","",,Macedonian,John E. Christensen,2020-07-03T13:15:33Z
115268,Vretenar,mk,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10071454/common/291022,Macedonian,,2021-07-27T14:36:41Z
47516,Калифорниска пастрмка,mk,"","",,Macedonian,Zane Roskoph,2021-07-29T23:20:18Z
41972,Облачен леопард,mk,"","",,Macedonian,Zane Roskoph,2021-07-30T12:56:42Z
74753,Борнејски облачен леопард,mk,"","",,Macedonian,Zane Roskoph,2021-07-30T13:12:08Z
50873,Голема бела ајкула,mk,"","",,Macedonian,Zane Roskoph,2021-07-30T14:02:10Z
26076,Филипински крокодил,mk,"","",,Macedonian,Zane Roskoph,2021-07-30T15:07:04Z
26061,Кубански крокодил,mk,"","",,Macedonian,Zane Roskoph,2021-07-30T15:20:56Z
123749,Кермодова мечка,mk,"","",,Macedonian,Zane Roskoph,2021-08-02T00:40:34Z
26081,Ориночки крокодил,mk,"","",,Macedonian,Zane Roskoph,2021-08-02T23:26:02Z
52459,жолт хирург,mk,"","",,Macedonian,Zane Roskoph,2021-08-03T13:15:30Z
52188,Кит-ајкула,mk,"","",,Macedonian,Zane Roskoph,2021-08-03T14:02:00Z
112841,Гренландска ајкула,mk,"","",,Macedonian,Zane Roskoph,2021-08-03T15:31:01Z
52729,пони-риби,mk,"","",https://eol.org/pages/5300,Macedonian,,2021-08-03T19:48:47Z
49105,листен морски змеј,mk,"","",,Macedonian,Zane Roskoph,2021-08-05T13:45:42Z
35347,морска игуана,mk,"","",,Macedonian,Zane Roskoph,2021-08-10T19:50:01Z
4564,галапагоски галеб,mk,"","",,Macedonian,Zane Roskoph,2021-08-11T12:36:15Z
41738,галапагоски морски лав,mk,"","",,Macedonian,Zane Roskoph,2021-08-11T19:17:19Z
41724,морски леопард,mk,"","",,Macedonian,Zane Roskoph,2021-08-11T19:28:22Z
54699,Манука,mk,"","",,Macedonian,Zane Roskoph,2021-08-12T12:56:11Z
210165,Канука,mk,"","",,Macedonian,Zane Roskoph,2021-08-12T13:00:12Z
18941,Кеа,mk,"","",,Macedonian,Zane Roskoph,2021-08-12T14:40:02Z
147527,азиски гепард,mk,"","",,Macedonian,Zane Roskoph,2021-08-13T11:45:00Z
112581,Som,mk,"","",,Macedonian,Zane Roskoph,2021-08-14T18:34:18Z
41553,Син кит,mk,"","",,Macedonian,Zane Roskoph,2021-08-15T15:08:24Z
41570,северноатлантски леден кит,mk,"","",,Macedonian,Zane Roskoph,2021-08-15T17:21:48Z
41461,белуга,mk,"","",,Macedonian,Zane Roskoph,2021-08-15T19:48:37Z
41461,бел кит,mk,"","",,Macedonian,Zane Roskoph,2021-08-15T19:49:02Z
42407,европски бизон,mk,"","",,Macedonian,Zane Roskoph,2021-08-25T13:53:55Z
130796,Сибирски тигар,mk,"","",,Macedonian,Zane Roskoph,2021-08-26T14:36:01Z
130799,Суматрански тигар,mk,"","",,Macedonian,Zane Roskoph,2021-08-26T17:00:50Z
130799,Балиски тигар,mk,"","",,Macedonian,Zane Roskoph,2021-08-26T17:52:11Z
130793,Бенгалски тигар,mk,"","",,Macedonian,Zane Roskoph,2021-08-27T12:31:20Z
