id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
47120,Pókszabásúak,und,"","",,Magyar,John E. Christensen,2017-11-30T06:59:07Z
199870,Lisztilonca,und,"","",,Magyar,Melitta Csepregi,2020-01-12T19:39:14Z
326168,Issler-laposkorpafű,und,"","",,Magyar,Johan Devos,2020-01-29T19:47:01Z
448157,Hegyi csipkeharaszt,und,"","",,Magyar,Johan Devos,2020-01-29T21:06:07Z
493496,kékes vajvirág (kékes szádor),und,Hungary,HU,,Magyar,Heizler Balázs,2020-04-08T13:17:43Z
60367,Kereklevelű körtike,und,"","",,Magyar,Heizler Balázs,2020-05-17T15:12:45Z
59944,Mocsári kardvirág,und,"","",,Magyar,Heizler Balázs,2020-05-26T15:00:57Z
131603,Egyhajúvirág,und,"","",,Magyar,Johan Devos,2020-06-05T19:55:37Z
363511,Magyar kikerics,und,"","",,Magyar,Johan Devos,2020-06-05T20:30:32Z
868268,Sárga kikerics​,und,"","",,Magyar,Johan Devos,2020-06-05T20:50:44Z
67343,Fánlakó mohagomba,und,"","",,Magyar,Johan Devos,2020-12-13T21:40:23Z
47169,Bazídiumos gombák törzse,und,"","",,Magyar,Pusztai Eszter,2021-01-06T15:39:04Z
50816,Fülgombafélék családja,und,"","",,Magyar,Pusztai Eszter,2021-01-06T15:40:50Z
50817,Fülgomba,und,"","",,Magyar,Pusztai Eszter,2021-01-06T15:42:16Z
48531,Kocsonyagomba-félék családja,und,"","",,Magyar,Pusztai Eszter,2021-01-06T15:43:51Z
48250,Tömlősgombák törzse,und,"","",,Magyar,Pusztai Eszter,2021-01-06T15:45:12Z
176048,Álszarvasgomba-félék családja,und,"","",,Magyar,Pusztai Eszter,2021-01-06T15:46:31Z
175846,Álszarvasgomba,und,"","",,Magyar,Pusztai Eszter,2021-01-06T15:47:19Z
57373,Csészegombafélék családja,und,"","",,Magyar,Pusztai Eszter,2021-01-06T15:47:59Z
57372,Csészegomba,und,"","",,Magyar,Pusztai Eszter,2021-01-06T15:48:37Z
48719,Csészegomba,und,"","",,Magyar,Pusztai Eszter,2021-01-06T15:49:09Z
49136,Csészegomba,und,"","",,Magyar,Pusztai Eszter,2021-01-06T15:49:45Z
57369,Fülesgomba,und,"","",,Magyar,Pusztai Eszter,2021-01-06T15:50:27Z
1025817,Szarvasgomba,und,"","",,Magyar,Pusztai Eszter,2021-01-06T15:51:13Z
49205,Papsapkagomba-félék csládja,und,"","",,Magyar,Pusztai Eszter,2021-01-06T15:51:56Z
49206,Papsapkagomba,und,"","",,Magyar,Pusztai Eszter,2021-01-06T15:52:34Z
85118,Papsapkagomba,und,"","",,Magyar,Pusztai Eszter,2021-01-06T15:53:10Z
56831,Kucsmagombafélék családja,und,"","",,Magyar,Pusztai Eszter,2021-01-06T15:53:43Z
56830,Kucsmagomba,und,"","",,Magyar,Pusztai Eszter,2021-01-06T15:54:22Z
118001,Kucsmagomba,und,"","",,Magyar,Pusztai Eszter,2021-01-06T15:54:53Z
126912,Tárcsagomba,und,"","",,Magyar,Pusztai Eszter,2021-01-06T15:56:28Z
48806,Agancsgombafélék családja,und,"","",,Magyar,Pusztai Eszter,2021-01-06T15:57:09Z
55268,Agancsgomba,und,"","",,Magyar,Pusztai Eszter,2021-01-06T15:57:52Z
120277,Szarvasgombafélék családja,und,"","",,Magyar,Pusztai Eszter,2021-01-06T15:58:34Z
120278,Szarvasgomba,und,"","",,Magyar,Pusztai Eszter,2021-01-06T15:59:00Z
176008,Szarvasgomba,und,"","",,Magyar,Pusztai Eszter,2021-01-06T16:00:17Z
48532,Rezgőgomba,und,"","",,Magyar,Pusztai Eszter,2021-01-06T16:00:55Z
47348,Rókagomba,und,"","",,Magyar,Pusztai Eszter,2021-01-06T16:03:37Z
48707,Korallgomba,und,"","",,Magyar,Pusztai Eszter,2021-01-06T16:05:38Z
120242,Csíkos pohárgomba,und,Hungary,HU,,Magyar,Pusztai Eszter,2021-01-06T16:06:43Z
119969,Álszömörcsög,und,Hungary,HU,,Magyar,Pusztai Eszter,2021-01-06T16:07:22Z
51135,Tintahalgomba,und,Hungary,HU,,Magyar,Pusztai Eszter,2021-01-06T16:08:09Z
54594,Erdei szömörcsög,und,Hungary,HU,,Magyar,Pusztai Eszter,2021-01-06T16:08:47Z
179071,Nyeles áltrifla,und,Hungary,HU,,Magyar,Pusztai Eszter,2021-01-06T16:09:26Z
55927,Rőt áltrifla,und,Hungary,HU,,Magyar,Pusztai Eszter,2021-01-06T16:09:59Z
179166,Honi csillaggomba,und,Hungary,HU,,Magyar,Pusztai Eszter,2021-01-06T16:10:32Z
179167,Közönséges (erdei) csillaggomba,und,Hungary,HU,,Magyar,Pusztai Eszter,2021-01-06T16:11:21Z
352663,Bocskoros nyelespöfeteg,und,Hungary,HU,,Magyar,Pusztai Eszter,2021-01-06T16:11:55Z
776979,Lemezes pöfeteg,und,Hungary,HU,,Magyar,Pusztai Eszter,2021-01-06T16:12:36Z
351516,Vörösbarna kocsonyáspöfeteg,und,Hungary,HU,,Magyar,Pusztai Eszter,2021-01-06T16:13:17Z
118132,Szürke pöfeteg,und,Hungary,HU,,Magyar,Pusztai Eszter,2021-01-06T16:13:47Z
57692,Óriás pöfeteg,und,Hungary,HU,,Magyar,Pusztai Eszter,2021-01-06T16:14:27Z
