id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
194688,Voatsiperifery,und,"","",,Malagasy,sea-kangaroo,2012-12-03T09:07:15Z
5102,Fandraokibo,und,"","",,Malagasy,Cédric de Foucault,2015-01-27T18:02:37Z
8369,Sariheza,und,"","",,Malagasy,Cédric de Foucault,2015-01-27T18:17:32Z
114114,Voronondry,und,"","",,Malagasy,Cédric de Foucault,2015-01-27T18:20:54Z
114114,Fitilimbengy,und,"","",,Malagasy,Cédric de Foucault,2015-01-27T18:21:24Z
5247,Fihiaka,und,"","",,Malagasy,Cédric de Foucault,2015-01-27T18:26:14Z
493,Droviky,und,"","",,Malagasy,Cédric de Foucault,2015-01-27T18:29:14Z
4801,Rakibondrano,und,"","",,Malagasy,Cédric de Foucault,2015-01-27T18:31:43Z
13163,Todiana,und,"","",,Malagasy,Cédric de Foucault,2015-01-27T18:33:56Z
72728,Tintsina,und,"","",,Malagasy,Cédric de Foucault,2015-01-27T18:36:16Z
340008,Satramirina,und,"","",,Malagasy,Cédric de Foucault,2015-01-31T19:09:11Z
154283,Satrana be,und,"","",,Malagasy,Cédric de Foucault,2015-01-31T19:12:55Z
346381,Kotikana Kindro,und,"","",,Malagasy,Cédric de Foucault,2015-01-31T19:14:55Z
429365,Sely be,und,"","",,Malagasy,Cédric de Foucault,2015-01-31T19:17:31Z
164238,Valavelona kely,und,"","",,Malagasy,Cédric de Foucault,2015-01-31T19:19:14Z
142422,Sofindambo,und,"","",,Malagasy,Cédric de Foucault,2015-01-31T19:25:25Z
183179,Fanihy tiavato,und,"","",,Malagasy,Cédric de Foucault,2015-01-31T20:02:53Z
191316,Manary boty,und,"","",,Malagasy,Cédric de Foucault,2015-01-31T20:10:20Z
191286,Manary baomby,und,"","",,Malagasy,Cédric de Foucault,2015-01-31T20:11:18Z
133599,Kindro madinika,und,"","",,Malagasy,Cédric de Foucault,2015-02-02T09:55:55Z
429345,Motrobeantsinanana,und,"","",,Malagasy,Cédric de Foucault,2015-02-02T10:01:19Z
191286,Manarimboty,und,"","",,Malagasy,Cédric de Foucault,2015-02-02T10:09:28Z
191286,Manaritoloho,und,"","",,Malagasy,Cédric de Foucault,2015-02-02T10:09:53Z
362952,Coco masombika,und,"","",,Malagasy,Cédric de Foucault,2015-02-02T10:22:38Z
166920,Madirokarany,und,"","",,Malagasy,Cédric de Foucault,2015-02-02T10:23:49Z
428365,Mokonazy,und,"","",,Malagasy,Cédric de Foucault,2015-02-02T10:31:03Z
169414,Mokotra,und,"","",,Malagasy,Cédric de Foucault,2015-02-02T10:41:48Z
169414,Maroambonga,und,"","",,Malagasy,Cédric de Foucault,2015-02-02T10:42:42Z
429346,Mandravasarotra,und,Madagascar | Madagascar | Anjajavy Reserves,"MG,MG",,Malagasy,Cédric de Foucault,2015-02-02T16:14:46Z
60832,Bonara,und,"","",,Malagasy,Cédric de Foucault,2015-02-02T18:49:28Z
430231,Jajavy,und,Anjajavy Reserves,"",,Malagasy,Cédric de Foucault,2015-02-04T16:43:25Z
430388,Mainaty,und,"","",,Malagasy,Cédric de Foucault,2015-02-04T19:34:48Z
363748,Manjakabenitany,und,"","",,Malagasy,Cédric de Foucault,2015-02-04T20:28:40Z
430394,Arofy mena,und,"","",,Malagasy,Cédric de Foucault,2015-02-04T20:31:58Z
430393,Foraha,und,"","",,Malagasy,Cédric de Foucault,2015-02-04T20:33:13Z
430393,Tsihanimposa,und,"","",,Malagasy,Cédric de Foucault,2015-02-04T20:33:23Z
430395,Rengitra,und,"","",,Malagasy,Cédric de Foucault,2015-02-04T20:43:07Z
32923,Rakolaka bory tandroka,und,"","",,Malagasy,Cédric de Foucault,2015-02-04T20:46:37Z
132903,Morango keliravina,und,"","",,Malagasy,Cédric de Foucault,2015-02-05T15:20:54Z
5313,Ankoay,und,"","",,Malagasy,Cédric de Foucault,2015-02-05T19:22:23Z
74959,Tsibahaka,und,"","",,Malagasy,Cédric de Foucault,2015-02-05T19:31:02Z
74959,Komba malandy,und,"","",,Malagasy,Cédric de Foucault,2015-02-05T19:31:53Z
451237,Mangarahara,und,"","",,Malagasy,Cédric de Foucault,2015-07-14T05:43:01Z
66100,Antsirevo volontany,und,"","",,Malagasy,Cédric de Foucault,2015-07-16T12:31:10Z
107726,Androngovato,und,"","",,Malagasy,Cédric de Foucault,2015-07-16T12:38:31Z
19078,Sarovazo,und,"","",,Malagasy,Cédric de Foucault,2015-07-16T12:45:24Z
19078,Karako,und,"","",,Malagasy,Cédric de Foucault,2015-07-16T12:46:09Z
40874,Fanihy be,und,"","",,Malagasy,Cédric de Foucault,2015-07-16T12:54:08Z
29368,Bibimora,und,"","",,Malagasy,Cédric de Foucault,2015-07-16T12:54:31Z
3776,Akohoala,und,"","",,Malagasy,Cédric de Foucault,2015-07-16T12:57:15Z
8628,Tsaotsao,und,"","",,Malagasy,Cédric de Foucault,2015-07-16T13:00:17Z
8628,Voronjaza,und,"","",,Malagasy,Cédric de Foucault,2015-07-16T13:00:37Z
29456,Antoalegny,und,"","",,Malagasy,Cédric de Foucault,2015-07-16T13:02:51Z
29456,Lapata,und,"","",,Malagasy,Cédric de Foucault,2015-07-16T13:03:17Z
123690,Kikao manga,und,"","",,Malagasy,Cédric de Foucault,2015-07-16T16:47:50Z
119385,Botagna,und,"","",,Malagasy,Cédric de Foucault,2015-07-16T16:49:47Z
194896,Kikao mavo,und,"","",,Malagasy,Cédric de Foucault,2015-07-16T16:54:06Z
69675,Jaodary,und,"","",,Malagasy,Cédric de Foucault,2015-07-16T16:59:05Z
132369,Ango,und,"","",,Malagasy,Cédric de Foucault,2015-07-16T17:02:54Z
47251,Jano be,und,"","",,Malagasy,Cédric de Foucault,2015-07-16T17:04:37Z
106222,Bika ndranomasina,und,"","",,Malagasy,Cédric de Foucault,2015-07-16T17:10:19Z
429399,Antseraka,und,"","",,Malagasy,Cédric de Foucault,2015-07-16T17:19:25Z
98531,Ndroaro bory,und,"","",,Malagasy,Cédric de Foucault,2015-07-16T17:49:31Z
111000,Tabaka,und,"","",,Malagasy,Cédric de Foucault,2015-07-16T17:50:23Z
47541,Ndroaro,und,"","",,Malagasy,Cédric de Foucault,2015-07-16T17:51:02Z
52188,Feso marokita,und,"","",,Malagasy,Cédric de Foucault,2015-07-16T17:56:24Z
188954,Fony,und,"","",,Malagasy,Cédric de Foucault,2015-07-17T06:16:03Z
196667,Honkovavy,und,"Mahajanga, MG | Anjajavy Reserves","",,Malagasy,Cédric de Foucault,2015-07-17T13:02:34Z
190475,Honkolahy,und,"Mahajanga, MG | Anjajavy Reserves","",,Malagasy,Cédric de Foucault,2015-07-17T13:03:09Z
429473,Farafaka,und,"","",,Malagasy,Cédric de Foucault,2015-07-17T13:10:21Z
159698,Foraha,und,"","",,Malagasy,Cédric de Foucault,2015-07-17T13:13:01Z
425753,Lovinjo,und,"","",,Malagasy,Cédric de Foucault,2015-07-17T13:13:38Z
82768,Voaro,und,"","",,Malagasy,Cédric de Foucault,2015-07-17T13:14:25Z
1876,Gory Hakoko,und,"","",,Malagasy,Cédric de Foucault,2015-07-18T17:34:42Z
1862,Gory Mandehetokana,und,"","",,Malagasy,Cédric de Foucault,2015-07-18T17:36:42Z
1865,Tivoka,und,"","",,Malagasy,Cédric de Foucault,2015-07-18T17:38:17Z
1923,Tôtônkafa,und,"","",,Malagasy,Cédric de Foucault,2015-07-18T17:43:53Z
204560,Torotoroka,und,"","",,Malagasy,Cédric de Foucault,2015-07-19T07:10:38Z
470423,Ramy,und,"","",,Malagasy,Cédric de Foucault,2015-07-26T07:19:00Z
334675,Omby,und,"","",,Malagasy,Cédric de Foucault,2015-08-02T18:51:22Z
362952,Laafa,und,"","",,Malagasy,Cédric de Foucault,2015-08-10T07:22:42Z
363069,Tsingovotra,und,"","",,Malagasy,Cédric de Foucault,2015-08-10T07:30:15Z
345932,Madiovozona,und,"","",,Malagasy,Cédric de Foucault,2015-08-10T07:35:38Z
340008,Satrana,und,"","",,Malagasy,Cédric de Foucault,2015-08-10T07:42:17Z
153280,Kikao be vody,und,"","",,Malagasy,Cédric de Foucault,2015-08-25T11:33:23Z
47263,Jano,und,"","",,Malagasy,Cédric de Foucault,2015-08-25T11:43:24Z
100111,Alovy,und,"","",,Malagasy,Cédric de Foucault,2015-08-25T11:58:29Z
119719,Vovorontsatra,und,"","",,Malagasy,Cédric de Foucault,2015-08-25T12:16:59Z
47257,Angoho,und,"","",,Malagasy,Cédric de Foucault,2015-08-25T12:18:32Z
135281,Votro,und,"","",,Malagasy,Cédric de Foucault,2015-08-25T12:24:21Z
204571,Vontry tebokamainty,und,"","",,Malagasy,Cédric de Foucault,2015-08-26T06:54:46Z
154723,Votro,und,"","",,Malagasy,Cédric de Foucault,2015-08-26T07:07:09Z
47293,Menahelika,und,"","",,Malagasy,Cédric de Foucault,2015-08-26T07:14:16Z
47293,Tsivaravara,und,"","",,Malagasy,Cédric de Foucault,2015-08-26T07:15:28Z
359839,Kotrokotro,und,"","",,Malagasy,Cédric de Foucault,2015-08-26T07:21:17Z
359838,Tamporoha,und,"","",,Malagasy,Cédric de Foucault,2015-08-26T07:24:21Z
335690,Tamporoha,und,"","",,Malagasy,Cédric de Foucault,2015-08-26T07:37:03Z
122033,Vango,und,"","",,Malagasy,Cédric de Foucault,2015-08-26T07:38:47Z
127131,Ampandro,und,"","",,Malagasy,Cédric de Foucault,2015-08-26T07:40:45Z
127132,Ampandro be,und,"","",,Malagasy,Cédric de Foucault,2015-08-26T07:42:59Z
161235,Lombiro,und,"","",,Malagasy,Cédric de Foucault,2015-08-27T05:36:25Z
348836,Hazomananjary,und,"","",,Malagasy,Cédric de Foucault,2015-08-27T14:02:38Z
340170,Vakakoa,und,Madagascar,MG,,Malagasy,Cédric de Foucault,2015-08-27T17:47:19Z
