id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
89413,Brahmana kenda,und,"","",http://www.ubio.org/browser/details.php?namebankID=4713581,Malayalam,Ken-ichi Ueda,2012-11-11T02:41:38Z
89413,Brahmana kendai,und,"","",http://www.ubio.org/browser/details.php?namebankID=4713582,Malayalam,Ken-ichi Ueda,2012-11-11T02:41:38Z
369989,Rudraspushpam,und,India,IN,Integrated Taxonomic Information System website at https://www.itis.gov/,Malayalam,Chandan Pandey,2014-09-11T18:28:08Z
20978,ഉഭയജീവി,und,"Kerala, IN","",,Malayalam,John E. Christensen,2017-12-01T10:21:03Z
355675,നട്ടെല്ലുള്ള ജീവികൾ,und,"","",,Malayalam,John E. Christensen,2017-12-06T09:25:34Z
211194,ട്രക്കിയോഫൈറ്റ്,und,"","",,Malayalam,John E. Christensen,2017-12-24T13:21:36Z
311249,ശേവാലം,und,"","",,Malayalam,John E. Christensen,2018-01-01T10:07:03Z
43343,സുമാത്രൻ കാണ്ടാമൃഗം,und,"","",,Malayalam,Bobby McCabe,2018-01-29T01:26:41Z
196615,അടവാലൻ തിരണ്ടി,und,"","",,Malayalam,John E. Christensen,2018-02-04T16:25:17Z
47144,നായ,und,"","",,Malayalam,John E. Christensen,2018-02-16T15:48:31Z
61905,လဗင်ဒါပင်,und,"","",,Malayalam,John E. Christensen,2018-05-09T07:37:37Z
26433,വയനാടൻ കരിയിലത്തവള,und,"","",,Malayalam,Bobby McCabe,2018-05-14T02:18:57Z
82096,മഗ്നോലിയ,und,"","",,Malayalam,John E. Christensen,2018-06-30T18:32:19Z
47375,കോണിഫർ,und,"","",,Malayalam,John E. Christensen,2018-08-12T07:05:56Z
58321,സാപ്പിൻഡേസീ,und,"","",,Malayalam,John E. Christensen,2018-10-29T16:57:13Z
805392,Ada kodien,und,"","",,Malayalam,Kai-Philipp Schablewski,2018-12-03T00:25:23Z
36982,അരണ,und,"","",,Malayalam,John E. Christensen,2018-12-06T10:01:35Z
114891,ഉടുമ്പ്,und,"","",,Malayalam,John E. Christensen,2019-01-03T07:20:39Z
7006,വാത്ത,und,"","",,Malayalam,John E. Christensen,2019-01-04T08:38:28Z
4950,ആർഡിയ,und,"","",,Malayalam,John E. Christensen,2019-01-13T08:45:47Z
45933,അണ്ണാൻ (കുടുംബം),und,"","",,Malayalam,John E. Christensen,2019-01-14T09:20:38Z
4756,ടർക്കി കഴുകൻ,und,"","",,Malayalam,John E. Christensen,2019-01-23T10:06:16Z
63597,Balala,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076469/common/66382,Malayalam,,2019-02-27T00:35:45Z
103436,Balala,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076421/common/67088,Malayalam,,2019-02-27T00:35:46Z
94231,Balala,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073015/common/106558,Malayalam,,2019-02-27T00:35:46Z
84964,ഹെലിക്കോണിയ,und,"","",,Malayalam,John E. Christensen,2019-03-31T13:49:12Z
82814,താമര,und,"","",,Malayalam,John E. Christensen,2019-05-05T10:46:37Z
43444,മകാക്,und,"","",,Malayalam,John E. Christensen,2019-05-08T12:16:04Z
904682,Kattu Thumba,und,"Kerala, IN","",,Malayalam,harshithjv,2019-06-30T18:57:22Z
160294,കുടകം,und,"","",,Malayalam,harshithjv,2019-07-14T10:59:08Z
160294,കുടഞ്ഞാല്‍,und,"","",,Malayalam,harshithjv,2019-07-14T10:59:33Z
122835,Chempakizhanna,und,"","",,Malayalam,harshithjv,2019-07-14T12:34:13Z
934078,Suryamani,und,"","",,Malayalam,Lera Miles,2019-09-07T23:44:58Z
72281,പെലർഗോണിയം,und,"","",,Malayalam,John E. Christensen,2019-10-26T07:10:00Z
505478,കോഴി,und,"","",,Malayalam,John E. Christensen,2019-12-18T08:44:14Z
851911,kazhanchi,und,"","",https://www.inaturalist.org/taxon_names/1364811/edit,Malayalam,,2020-04-05T22:18:34Z
134200,ഗരുഡശലഭം,und,"Kerala, IN","",,Malayalam,Firos AK,2020-04-19T07:57:55Z
548323,ബുദ്ധമയൂരി,und,"","",,Malayalam,Firos AK,2020-04-19T08:19:14Z
51581,വിറവാലൻ,und,"","",,Malayalam,Manoj Karingamadathil,2020-04-19T18:00:49Z
210213,വരയൻ വാൾവാലൻ,und,"","",,Malayalam,Manoj Karingamadathil,2020-04-19T18:03:54Z
699812,നീലഗിരി പാപ്പാത്തി,und,"Kerala, IN","",,Malayalam,Firos AK,2020-04-21T15:08:49Z
518640,പുള്ളിമാരൻ,und,"Kerala, IN","",,Malayalam,Firos AK,2020-04-21T15:38:08Z
124872,താരകനീലി,und,"Kerala, IN","",,Malayalam,Firos AK,2020-05-03T18:19:13Z
787042,കണ്ണാന്തളി,und,"Kerala, IN","",,Malayalam,Firos AK,2020-05-23T17:58:34Z
526556,നീർനായ (ഉപകുടുംബം),und,"","",,Malayalam,John E. Christensen,2020-06-07T11:45:01Z
1076093,Scheru-valli-caniram,und,"","",,Malayalam,Kitty Maurey,2020-07-16T13:03:51Z
1076093,Cherukanniram,und,"","",,Malayalam,Kitty Maurey,2020-07-16T13:04:26Z
30264,കാട്ടുപാമ്പ്,und,"","",,Malayalam,Kitty Maurey,2020-10-08T14:34:48Z
1148606,Shirukodala,und,"","",,Malayalam,Kitty Maurey,2020-11-04T23:35:33Z
1148606,Pungeri,und,"","",,Malayalam,Kitty Maurey,2020-11-04T23:35:50Z
1148606,Kalrudraksham,und,"","",,Malayalam,Kitty Maurey,2020-11-04T23:36:06Z
1148606,Punkara,und,"","",,Malayalam,Kitty Maurey,2020-11-04T23:36:20Z
1148606,Pungari,und,"","",,Malayalam,Kitty Maurey,2020-11-04T23:36:35Z
56943,Choora,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10072945/common/258400,Malayalam,,2020-12-17T09:09:55Z
188560,Choora,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10072981/common/159706,Malayalam,,2020-12-17T09:09:55Z
120615,Choora,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10072938/common/160732,Malayalam,Donald Davesne,2020-12-17T09:09:56Z
