id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
52188,Fehurihi,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10065883/common/332080,Maldivian,,2021-07-13T18:54:14Z
52188,Fevurehi,und,"","",,Maldivian,Zane Roskoph,2021-07-19T11:43:30Z
52508,Hibbaruhikkae,und,"","",,Maldivian,Zane Roskoph,2021-07-27T15:56:51Z
154282,Bis rondu,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10084940/common/227976,Maldivian,,2021-07-27T16:33:46Z
94016,Dielahikkae,und,"","",,Maldivian,Zane Roskoph,2021-07-27T16:59:24Z
121705,Rykathi,und,"","",,Maldivian,Zane Roskoph,2021-07-27T17:36:34Z
135283,Haravalu-rykathi,und,"","",,Maldivian,Zane Roskoph,2021-07-27T18:10:10Z
135283,Fashuli libaas,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066658/common/54827,Maldivian,,2021-07-27T18:10:23Z
49641,Dhunfaiy mas,und,"","",,Maldivian,Zane Roskoph,2021-07-28T13:46:28Z
424219,Ven funna,und,"","",,Maldivian,Zane Roskoph,2021-07-28T23:38:21Z
49639,Sikkifana,und,"","",,Maldivian,Zane Roskoph,2021-07-29T00:46:42Z
53669,Vaalan rondu,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10084948/common/235470,Maldivian,,2021-07-30T11:38:24Z
179875,Funna,und,"","",,Maldivian,Zane Roskoph,2021-07-30T15:30:13Z
123269,Noo libaas,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066657/common/54913,Maldivian,,2021-07-30T18:44:04Z
83884,Gabulhi rondu,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10084953/common/180663,Maldivian,,2021-07-30T19:22:30Z
52456,Mas faana,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073036/common/61425,Maldivian,,2021-08-01T00:07:44Z
52451,Ammas,und,"","",,Maldivian,Zane Roskoph,2021-08-03T16:17:29Z
614292,Funna,und,"","",,Maldivian,Zane Roskoph,2021-08-05T18:14:13Z
84181,Kokaa,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Maldivian,,2021-09-13T12:40:41Z
68025,Landaa,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Maldivian,,2021-09-25T14:55:01Z
83297,Landaa,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Maldivian,,2021-09-25T14:55:01Z
102860,Landaa,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Maldivian,,2021-09-25T14:55:01Z
112132,Landaa,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Maldivian,,2021-09-25T14:55:02Z
471636,Kiru bodahandhi,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Maldivian,,2021-12-04T14:46:02Z
