id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
85297,Tarakihi,und,"","","FA Bisby, YR Roskov, MA Ruggiero, TM Orrell, LE Paglinawan, PW Brewer, N Bailly, J van Hertum, eds (2007). Species 2000 & ITIS Catalogue of Life: 2007 Annual Checklist Taxonomic Classification. CD-ROM; Species 2000: Reading, U.K.",Mangareva,Mark Rosenstein,2011-07-27T09:24:45Z
424818,Pakarero,und,"","",,Mangareva,Zane Roskoph,2021-07-28T13:23:48Z
83884,Humu,und,"","",,Mangareva,Zane Roskoph,2021-07-30T19:23:49Z
83884,Humu tagarova,und,"","",,Mangareva,Zane Roskoph,2021-07-30T19:24:23Z
52456,Roi,und,"","",,Mangareva,Zane Roskoph,2021-08-01T00:20:29Z
52459,Pakarero,und,"","",,Mangareva,Zane Roskoph,2021-08-03T13:10:46Z
52451,Ume rore,und,"","",,Mangareva,Zane Roskoph,2021-08-03T16:19:40Z
54441,Puhi,und,"","",,Mangareva,Zane Roskoph,2021-08-29T12:00:10Z
153280,Mata ura,und,"","",,Mangareva,Zane Roskoph,2021-08-29T13:26:55Z
153280,Urua,und,"","",,Mangareva,Zane Roskoph,2021-08-29T13:27:34Z
196838,Titoki,und,"","",,Mangareva,Zane Roskoph,2021-09-12T23:17:01Z
84181,Tugou,und,"","",,Mangareva,Zane Roskoph,2021-09-13T12:44:01Z
84181,Togougou,und,"","",,Mangareva,Zane Roskoph,2021-09-13T12:44:15Z
83879,Tatii,und,"","",,Mangareva,Zane Roskoph,2021-09-15T23:39:04Z
122514,Auru,und,"","",,Mangareva,Zane Roskoph,2021-12-06T00:50:43Z
122514,Rakeiega,und,"","",,Mangareva,Zane Roskoph,2021-12-06T00:51:33Z
