id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
473623,Sangbrei,und,"","",,Manipuri,Chandan Pandey,2015-09-07T15:13:34Z
160294,পেৰূক,und,"","",,Manipuri,harshithjv,2019-07-14T11:07:19Z
122835,পান,und,"","",,Manipuri,harshithjv,2019-07-14T12:32:49Z
97273,Ngamuporom,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10070070/common/128923,Manipuri,,2021-07-15T15:43:35Z
115010,Barali,und,"","",,Manipuri,Zane Roskoph,2021-07-19T16:05:34Z
95038,Ngaren,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10081711/common/150930,Manipuri,,2021-07-27T13:01:16Z
114230,Jongapittia,und,"","",,Manipuri,Zane Roskoph,2021-07-27T13:26:28Z
41967,ꯀꯩ,und,"","",,Manipuri,Zane Roskoph,2021-08-26T16:15:44Z
41964,ꯅꯣꯡꯁꯥ,und,"","",,Manipuri,Zane Roskoph,2021-08-26T16:17:05Z
41967,ꯄꯥꯝꯕ ꯀꯩ,und,"","",,Manipuri,Zane Roskoph,2021-08-26T16:22:52Z
93987,Okabi,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Manipuri,,2021-12-04T16:48:40Z
93987,Ukabi,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Manipuri,,2021-12-04T16:48:47Z
105252,Ngaril,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Manipuri,,2022-03-09T23:25:39Z
