id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
47549,Echinodermata,und,"","",,Manx,John E. Christensen,2017-12-02T21:29:13Z
170883,Bananey,und,"","",,Manx,John E. Christensen,2017-12-20T15:48:55Z
211194,Lossreeyn feddanagh,und,"","",,Manx,John E. Christensen,2017-12-24T13:19:47Z
41808,Assag,und,Isle of Man,IM,,Manx,David Bellamy,2018-01-18T09:08:14Z
628190,Assag,und,"","",,Manx,David Bellamy,2018-01-19T21:06:46Z
56222,Cabbag ny h-awin,und,"","",,Manx,John E. Christensen,2018-04-10T16:29:41Z
143243,Camomile,und,"","",,Manx,John E. Christensen,2018-04-25T14:46:29Z
54856,billey theiley,und,"","",,Manx,John E. Christensen,2018-06-18T09:44:12Z
121943,Renniagh (lus),und,"","",,Manx,John E. Christensen,2018-08-12T07:11:15Z
64615,Aane ushtey,und,"","",,Manx,John E. Christensen,2018-09-03T15:07:15Z
57278,Billey niau,und,"","",,Manx,John E. Christensen,2018-10-31T08:28:17Z
122970,Blaa greiney,und,"","",,Manx,John E. Christensen,2018-11-04T13:16:01Z
62498,Cushag,und,Isle of Man,IM,,Manx,David Bellamy,2019-01-06T18:47:53Z
52856,Bollan-bane,und,Isle of Man,IM,,Manx,David Bellamy,2019-01-06T18:48:47Z
40151,Sheeintagh,und,"","",,Manx,John E. Christensen,2019-02-07T16:22:27Z
57563,Cardoon,und,"","",,Manx,John E. Christensen,2019-07-06T09:45:12Z
52818,Ayr lossey,und,"","",,Manx,John E. Christensen,2019-09-01T13:20:43Z
44576,Roddan,und,"","",,Manx,David Bellamy,2019-09-12T20:12:00Z
51884,Jinny nettle,und,Isle of Man,IM,,Manx,David Bellamy,2020-01-16T00:41:11Z
55759,Blaa ny Ferrishyn,und,Isle of Man,IM,,Manx,David Bellamy,2020-01-16T00:48:25Z
228496,Bloghan,und,Isle of Man,IM,,Manx,David Bellamy,2020-01-16T00:52:05Z
332553,Callig,und,Isle of Man,IM,,Manx,David Bellamy,2020-01-16T00:53:54Z
163682,Farrain,und,Isle of Man,IM,,Manx,David Bellamy,2020-01-16T00:56:48Z
112372,Gobbag,und,Isle of Man,IM,,Manx,David Bellamy,2020-01-16T00:57:43Z
53453,Shellagh,und,Isle of Man,IM,,Manx,David Bellamy,2020-01-16T00:59:17Z
47561,Juys (Pinus),und,"","",,Manx,John E. Christensen,2020-02-29T11:39:17Z
8349,Caaig,und,Isle of Man,IM,,Manx,David Bellamy,2020-09-05T20:20:10Z
48648,Braddan,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078694/common/45826,Manx,,2021-07-09T13:40:06Z
10421,Gob cam Albinagh,und,"","",,Manx,Zane Roskoph,2021-08-06T15:16:44Z
123356,Billey kidrane,und,"","",,Manx,Zane Roskoph,2021-08-10T12:40:03Z
4555,Foillan iuaagagh,und,"","",,Manx,Zane Roskoph,2021-08-11T12:20:33Z
3802,Gant,und,"","",,Manx,Zane Roskoph,2021-08-11T15:43:24Z
152974,Cadlag,und,"","",,Manx,Zane Roskoph,2021-09-19T12:43:11Z
47639,Bullkione,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Manx,,2021-10-02T14:15:18Z
