id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
334379,muhonde,und,"","",,Manyika,Botswanabugs,2021-08-11T13:14:20Z
367465,mutsepete,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Manyika,Ken-ichi Ueda,2021-10-21T20:18:35Z
211103,chibambati,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Manyika,Ken-ichi Ueda,2021-10-21T20:18:36Z
415490,hotekao,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Manyika,Ken-ichi Ueda,2021-10-21T20:18:36Z
568770,nyakahunze,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Manyika,Ken-ichi Ueda,2021-10-21T20:18:36Z
402272,mubaratsotsa,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Manyika,Ken-ichi Ueda,2021-10-21T20:18:37Z
428461,nyakanebve,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Manyika,Ken-ichi Ueda,2021-10-21T20:18:37Z
133558,sijarira,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Manyika,Ken-ichi Ueda,2021-10-21T20:18:37Z
81491,mubvee,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Manyika,Ken-ichi Ueda,2021-10-21T20:18:38Z
343067,mosukubyane,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Manyika,Ken-ichi Ueda,2021-10-21T20:18:38Z
70260,meni,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Manyika,Ken-ichi Ueda,2021-10-21T20:18:38Z
515950,nyamarora,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Manyika,Ken-ichi Ueda,2021-10-21T20:18:39Z
600650,chidzimamuriro,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Manyika,Ken-ichi Ueda,2021-10-21T20:18:39Z
166935,mukwenkwe,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Manyika,Ken-ichi Ueda,2021-10-21T20:18:39Z
521001,chiminda,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Manyika,Ken-ichi Ueda,2021-10-21T20:18:39Z
435322,chati,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Manyika,Ken-ichi Ueda,2021-10-21T20:18:40Z
578244,murgwiti,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Manyika,Ken-ichi Ueda,2021-10-21T20:18:40Z
593374,ukato,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Manyika,Ken-ichi Ueda,2021-10-21T20:18:40Z
358409,nhun`unira,und,"","",,Manyika,Botswanabugs,2021-10-30T17:31:44Z
42405,nyati,und,"","",,Manyika,Botswanabugs,2021-11-16T05:23:20Z
42157,Furiramudenga,und,"","",,Manyika,Botswanabugs,2021-11-27T09:17:14Z
1230379,Dandemutande,und,"","",,Manyika,Botswanabugs,2021-11-27T09:30:23Z
