id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
47353,Kaka,mi,"","","FA Bisby, YR Roskov, MA Ruggiero, TM Orrell, LE Paglinawan, PW Brewer, N Bailly, J van Hertum, eds (2007). Species 2000 & ITIS Catalogue of Life: 2007 Annual Checklist Taxonomic Classification. CD-ROM; Species 2000: Reading, U.K.",Maori,rosemarykb,2008-04-25T23:56:03Z
51754,Harakeke,mi,New Zealand,NZ,http://www.ubio.org/browser/details.php?namebankID=5421873,Maori,Stephen Thorpe,2009-06-08T15:13:34Z
52390,kahikatea,mi,"","","FA Bisby, YR Roskov, MA Ruggiero, TM Orrell, LE Paglinawan, PW Brewer, N Bailly, J van Hertum, eds (2007). Species 2000 & ITIS Catalogue of Life: 2007 Annual Checklist Taxonomic Classification. CD-ROM; Species 2000: Reading, U.K.",Maori,Scott Loarie,2009-07-14T19:16:52Z
3831,Hoiho,mi,"","",,Maori,Ken-ichi Ueda,2009-12-11T06:40:42Z
54629,horoeka,mi,New Zealand,NZ,,Maori,Ken-ichi Ueda,2009-12-16T03:12:08Z
54699,manuka,mi,"","",http://www.ubio.org/browser/details.php?namebankID=9729268,Maori,,2009-12-20T02:56:26Z
54687,Tanekaha,mi,"New Zealand | New Zealand Zone, NZ",NZ,,Maori,Ken-ichi Ueda,2009-12-20T03:32:51Z
70230,makomako,mi,"","",,Maori,Scott Loarie,2011-05-02T03:57:02Z
8325,Pipipi,mi,"","",,Maori,,2011-05-18T03:14:06Z
52382,rimu,mi,"","","FA Bisby, YR Roskov, MA Ruggiero, TM Orrell, LE Paglinawan, PW Brewer, N Bailly, J van Hertum, eds (2007). Species 2000 & ITIS Catalogue of Life: 2007 Annual Checklist Taxonomic Classification. CD-ROM; Species 2000: Reading, U.K.",Maori,Ed Wilson,2011-07-27T09:18:54Z
52313,Totara,mi,"","","FA Bisby, YR Roskov, MA Ruggiero, TM Orrell, LE Paglinawan, PW Brewer, N Bailly, J van Hertum, eds (2007). Species 2000 & ITIS Catalogue of Life: 2007 Annual Checklist Taxonomic Classification. CD-ROM; Species 2000: Reading, U.K.",Maori,,2011-07-27T09:19:11Z
85275,tōtara,mi,New Zealand,NZ,"FA Bisby, YR Roskov, MA Ruggiero, TM Orrell, LE Paglinawan, PW Brewer, N Bailly, J van Hertum, eds (2007). Species 2000 & ITIS Catalogue of Life: 2007 Annual Checklist Taxonomic Classification. CD-ROM; Species 2000: Reading, U.K.",Maori,Leon Perrie,2011-07-27T09:19:12Z
49269,Totara,mi,"","","FA Bisby, YR Roskov, MA Ruggiero, TM Orrell, LE Paglinawan, PW Brewer, N Bailly, J van Hertum, eds (2007). Species 2000 & ITIS Catalogue of Life: 2007 Annual Checklist Taxonomic Classification. CD-ROM; Species 2000: Reading, U.K.",Maori,Bobby McCabe,2011-07-27T09:19:12Z
85295,Kahawai,mi,"","","FA Bisby, YR Roskov, MA Ruggiero, TM Orrell, LE Paglinawan, PW Brewer, N Bailly, J van Hertum, eds (2007). Species 2000 & ITIS Catalogue of Life: 2007 Annual Checklist Taxonomic Classification. CD-ROM; Species 2000: Reading, U.K.",Maori,,2011-07-27T09:24:43Z
521,Mōho,mi,"","",,Maori,Scott Loarie,2011-12-01T07:49:16Z
121718,Kauri,mi,"","","FA Bisby, YR Roskov, MA Ruggiero, TM Orrell, LE Paglinawan, PW Brewer, N Bailly, J van Hertum, eds (2007). Species 2000 & ITIS Catalogue of Life: 2007 Annual Checklist Taxonomic Classification. CD-ROM; Species 2000: Reading, U.K.",Maori,sea-kangaroo,2011-12-15T07:26:39Z
129506,Ongaonga,mi,New Zealand,NZ,,Maori,sea-kangaroo,2012-06-03T20:24:41Z
131669,kaponga,mi,"","",,Maori,Johnny Wilson,2012-06-29T20:26:49Z
131669,ponga,mi,"","",,Maori,Johnny Wilson,2012-06-29T20:27:09Z
122905,Pōhutukawa,mi,New Zealand,NZ,,Maori,Justin,2012-08-14T22:46:16Z
4690,Kārearea,mi,"","",,Maori,Justin,2012-08-17T01:03:21Z
