id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
43997,koypu,und,"","",,Mapudungun,Diego Almendras,2019-01-10T02:04:54Z
47414,Limanche,und,"","",,Mapudungun,Diego Almendras,2019-06-05T03:46:04Z
41516,Kawel,und,"","",,Mapudungun,Diego Almendras,2019-06-10T02:33:03Z
126404,Pehuen,und,"","",,Mapudungun,Diego Almendras,2019-06-11T20:55:19Z
42169,püdü,und,"","",,Mapudungun,Diego Almendras,2019-06-17T20:34:58Z
8901,Kamtrü,und,"","",,Mapudungun,Diego Almendras,2019-06-24T21:58:13Z
497142,Diullin,und,"","",,Mapudungun,Diego Almendras,2019-06-25T22:54:47Z
810560,kawen,und,"","",,Mapudungun,Diego Almendras,2019-07-03T19:40:48Z
73388,pinzá,und,"","",,Mapudungun,Diego Almendras,2019-07-24T16:20:45Z
41168,Piwicheñ,und,"","",,Mapudungun,Diego Almendras,2019-08-16T23:19:47Z
41168,Piuchén,und,"","",,Mapudungun,Diego Almendras,2019-08-16T23:20:10Z
135546,Lleuque,und,"","",,Mapudungun,Diego Almendras,2019-09-02T04:57:33Z
47144,Quiltro,und,"","",,Mapudungun,Diego Almendras,2020-02-25T22:42:56Z
704519,Quilquil,und,"","",,Mapudungun,Jorge Herreros de Lartundo,2020-03-04T02:37:38Z
855363,Katalapi,und,Chile,CL,,Mapudungun,Diego Almendras,2020-04-16T05:00:04Z
23214,Coicoy,und,"","",,Mapudungun,Diego Almendras,2020-05-02T00:06:39Z
18283,Rere,und,"","",,Mapudungun,Diego Almendras,2020-05-04T05:34:33Z
1093236,Melonhue,und,"","",,Mapudungun,Diego Almendras,2020-05-30T23:40:31Z
190621,Huillipatagua,und,"","",,Mapudungun,Nicolás Lavandero,2020-09-03T22:23:22Z
497142,Zuwlliñ,und,"","",,Mapudungun,Diego Almendras,2020-09-09T14:01:45Z
51751,chacay,und,"","",,Mapudungun,Diego Almendras,2020-09-10T22:21:20Z
556940,Awach awach,und,"","",,Mapudungun,Diego Almendras,2020-09-21T23:40:44Z
278781,Foike,und,Chile,CL,,Mapudungun,Diego Almendras,2021-09-15T20:48:11Z
123353,Kan-Kan,und,"","",,Mapudungun,Diego Almendras,2021-09-16T13:04:23Z
74482,Kodkod,und,"","",,Mapudungun,Ariel Cabrera Foix,2021-10-17T15:59:04Z
367272,Huilli,und,"","",,Mapudungun,Waldo L. Moyano,2021-12-19T21:27:22Z
802830,Llaw llaw,und,"","",,Mapudungun,Waldo L. Moyano,2021-12-19T21:29:00Z
450336,Pellín,und,"","",,Mapudungun,Waldo L. Moyano,2021-12-19T21:29:43Z
450336,Hualle,und,Chile,CL,,Mapudungun,Waldo L. Moyano,2021-12-19T21:30:45Z
450336,Koyam,und,"","",,Mapudungun,Waldo L. Moyano,2021-12-19T21:31:44Z
18261,Pütiw,und,"","",,Mapudungun,Waldo L. Moyano,2021-12-20T14:07:36Z
528617,Ñuil,und,"","",,Mapudungun,Waldo L. Moyano,2021-12-20T15:26:40Z
556940,Italahuen,und,Chile,CL,,Mapudungun,Waldo L. Moyano,2021-12-20T16:33:54Z
787205,Pilpilvoqui,und,Chile,CL,,Mapudungun,Waldo L. Moyano,2021-12-20T16:47:36Z
1303107,Liguay,und,"","",,Mapudungun,Diego Almendras,2022-01-03T02:30:45Z
626441,Pengiill,und,"","",,Mapudungun,Diego Almendras,2022-01-06T18:01:08Z
860993,Quilmay,und,Chile,CL,,Mapudungun,Nicolás Clavijo Inzunza,2022-01-25T19:51:58Z
474994,Ñamku,und,Chile,CL,,Mapudungun,Waldo L. Moyano,2022-01-26T14:03:45Z
201044,Ñamku,und,"","",,Mapudungun,Waldo L. Moyano,2022-01-26T14:04:15Z
144595,kil-kil,und,"","",,Mapudungun,Diego Almendras,2022-02-13T01:22:29Z
28538,Vilo,und,"","",,Mapudungun,Diego Almendras,2022-02-15T02:33:59Z
29112,Iwai,und,"","",,Mapudungun,Diego Almendras,2022-02-15T02:36:34Z
352185,Pike,und,"","",,Mapudungun,Waldo L. Moyano,2022-03-18T16:42:11Z
126404,Pewen,und,"","",,Mapudungun,Diego Almendras,2022-05-09T18:16:25Z
77310,Pangue,und,"","",,Mapudungun,Diego Almendras,2022-05-11T20:16:30Z
19948,Kong kong,und,"","",,Mapudungun,Waldo L. Moyano,2022-05-13T04:23:36Z
39234,Lawañe,und,Chile,CL,,Mapudungun,Waldo L. Moyano,2022-06-21T17:58:28Z
38927,Palüm,und,Chile,CL,,Mapudungun,Waldo L. Moyano,2022-06-21T18:21:09Z
