id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
49601,Môle,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/10085292/common/224015,Marshallese,Valentin de Mazancourt,2013-01-21T20:50:42Z
123393,Kale,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/10079388/common/38156,Marshallese,Mark Rosenstein,2013-10-22T18:43:17Z
47280,Kale,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/10079391/common/38069,Marshallese,Mark Rosenstein,2013-10-22T18:43:17Z
121193,Bir,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066662/common/220131,Marshallese,,2017-11-30T23:26:21Z
69760,Bir,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066640/common/220926,Marshallese,,2017-11-30T23:26:22Z
84150,Bōb,und,"","",,Marshallese,James Ojascastro,2018-03-15T19:26:13Z
121704,Ael,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066667/common/219895,Marshallese,,2019-01-07T19:00:27Z
49508,Loom,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10075908/common/78693,Marshallese,,2019-11-14T19:16:22Z
425753,Kōñe,und,Marshall Islands,MH,,Marshallese,Raphael forns,2021-03-13T02:03:57Z
133328,Kalañe,und,Marshall Islands,MH,,Marshallese,Raphael forns,2021-03-13T02:16:06Z
52508,Bijel,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076322/common/200267,Marshallese,,2021-07-27T15:54:01Z
110971,Bok,und,"","",,Marshallese,Zane Roskoph,2021-07-27T16:23:35Z
154282,Bub,und,"","",,Marshallese,Zane Roskoph,2021-07-27T16:35:22Z
187000,Muk,und,"","",,Marshallese,Zane Roskoph,2021-07-27T16:43:28Z
94016,Alle,und,"","",,Marshallese,Zane Roskoph,2021-07-27T17:00:35Z
135283,Hidsug,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066658/common/54819,Marshallese,,2021-07-27T18:11:44Z
135283,Kwi,und,"","",,Marshallese,Zane Roskoph,2021-07-27T18:13:06Z
63597,Likob,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076469/common/36369,Marshallese,,2021-07-27T19:31:11Z
424818,Laid,und,"","",,Marshallese,Zane Roskoph,2021-07-28T13:25:25Z
424818,Jorur,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066720/common/55488,Marshallese,,2021-07-28T13:25:38Z
111389,Jorur,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10070659/common/301907,Marshallese,,2021-07-28T13:25:38Z
424818,Hamoktan,und,"","",,Marshallese,Zane Roskoph,2021-07-28T13:27:08Z
132410,Teeeo,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066664/common/54418,Marshallese,,2021-07-28T15:04:11Z
424219,Jibalan,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10068428/common/178347,Marshallese,,2021-07-28T23:37:36Z
196628,Jibalan,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10074251/common/65752,Marshallese,,2021-07-28T23:37:37Z
446448,Jibalan,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10068717/common/72850,Marshallese,,2021-07-28T23:37:38Z
344685,Jibalan,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10068430/common/178332,Marshallese,,2021-07-28T23:37:38Z
368493,Jibalan,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10074418/common/231008,Marshallese,,2021-07-28T23:37:38Z
446462,Jibalan,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10068724/common/24107,Marshallese,,2021-07-28T23:37:39Z
121426,Jibalan,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10068521/common/230744,Marshallese,,2021-07-28T23:37:39Z
446125,Jibalan,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10068554/common/176824,Marshallese,,2021-07-28T23:37:40Z
196708,Jibalan,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10068395/common/189372,Marshallese,,2021-07-28T23:37:40Z
95478,Jibalan,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073793/common/115137,Marshallese,,2021-07-28T23:37:40Z
196701,Jibalan,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10068556/common/176792,Marshallese,,2021-07-28T23:37:41Z
196709,Jibalan,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10068401/common/189325,Marshallese,,2021-07-28T23:37:41Z
489359,Jibalan,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10074138/common/3262,Marshallese,,2021-07-28T23:37:41Z
