id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
111716,Bardé,und,Mauritius,MU,,Mauritian Creole,Zane Roskoph,2021-07-20T15:50:30Z
154282,Bourse piastre,und,Mauritius,MU,,Mauritian Creole,Zane Roskoph,2021-07-27T16:27:52Z
188622,Fam fol,und,"","",,Mauritian Creole,Zane Roskoph,2021-07-27T19:53:02Z
188622,Tabac,und,"","",,Mauritian Creole,Zane Roskoph,2021-07-27T19:53:30Z
424818,Fam Fol,und,"","",,Mauritian Creole,Zane Roskoph,2021-07-27T20:00:32Z
49641,Bouc,und,"","",,Mauritian Creole,Zane Roskoph,2021-07-28T13:38:11Z
49639,Vieille chinois,und,"","",,Mauritian Creole,Zane Roskoph,2021-07-29T00:21:40Z
52466,Bourse manène,und,"","",,Mauritian Creole,Zane Roskoph,2021-07-29T02:04:43Z
53669,Bourse manène,und,"","",,Mauritian Creole,Zane Roskoph,2021-07-30T11:33:26Z
121321,Laffe cochon,und,"","",,Mauritian Creole,Zane Roskoph,2021-07-30T19:00:05Z
119392,Laffe cinq doigts,und,"","",,Mauritian Creole,Zane Roskoph,2021-07-30T19:06:16Z
119392,Laffe cochon,und,"","",,Mauritian Creole,Zane Roskoph,2021-07-30T19:06:32Z
83884,Bourse corail,und,"","",,Mauritian Creole,Zane Roskoph,2021-07-30T19:16:23Z
83884,Bourse mayar,und,"","",,Mauritian Creole,Zane Roskoph,2021-07-30T19:16:42Z
97001,Vieille farraud,und,"","",,Mauritian Creole,Zane Roskoph,2021-07-31T20:23:59Z
52456,Vieille cuisinier,und,"","",,Mauritian Creole,Zane Roskoph,2021-07-31T23:42:48Z
52456,Vielle cuisinier,und,"","",,Mauritian Creole,Zane Roskoph,2021-07-31T23:43:14Z
95812,Maldak,und,"","",,Mauritian Creole,Zane Roskoph,2021-08-03T12:20:23Z
52452,Corne roi,und,"","",,Mauritian Creole,Zane Roskoph,2021-08-03T17:47:30Z
474007,Boucle d'oreille,und,"","",,Mauritian Creole,Zane Roskoph,2021-08-06T12:09:59Z
54441,Anguille morel grise,und,"","",,Mauritian Creole,Zane Roskoph,2021-08-29T11:46:39Z
153280,Carangue gros tête,und,"","",,Mauritian Creole,Zane Roskoph,2021-08-29T13:53:09Z
153280,Carangue grande face,und,"","",,Mauritian Creole,Zane Roskoph,2021-08-29T13:53:45Z
153280,Carangue grosse race,und,"","",,Mauritian Creole,Zane Roskoph,2021-08-29T13:54:30Z
153280,Carangue pièce noire,und,"","",,Mauritian Creole,Zane Roskoph,2021-08-29T13:55:03Z
106222,Mulet voilé,und,"","",,Mauritian Creole,Zane Roskoph,2021-09-01T17:17:05Z
142970,Anguille raide raide,und,"","",,Mauritian Creole,Zane Roskoph,2021-09-11T18:56:14Z
196708,Cabot sauteur,und,"","",,Mauritian Creole,Zane Roskoph,2021-09-11T19:08:14Z
84181,Guingham,und,"","",,Mauritian Creole,Zane Roskoph,2021-09-13T12:34:01Z
84181,Cous-cous,und,"","",,Mauritian Creole,Zane Roskoph,2021-09-13T12:34:20Z
84181,Dilar,und,"","",,Mauritian Creole,Zane Roskoph,2021-09-13T12:34:36Z
83879,Corne,und,"","",,Mauritian Creole,Zane Roskoph,2021-09-15T23:20:42Z
47257,Bécune grosse race,und,"","",,Mauritian Creole,Zane Roskoph,2021-09-20T00:12:00Z
47257,Thazard,und,"","",,Mauritian Creole,Zane Roskoph,2021-09-20T00:12:21Z
97004,Maman rouge,und,"","",,Mauritian Creole,Zane Roskoph,2021-10-09T16:03:30Z
97004,Vieille ananas,und,"","",,Mauritian Creole,Zane Roskoph,2021-10-09T16:03:51Z
108074,Madame tombée,und,"","",,Mauritian Creole,Zane Roskoph,2021-10-16T13:42:53Z
196936,Bouletang,und,"","",,Mauritian Creole,Zane Roskoph,2021-10-16T16:12:37Z
196936,Bouletang vielle,und,"","",,Mauritian Creole,Zane Roskoph,2021-10-16T16:13:14Z
196936,Bouletang ti poule,und,"","",,Mauritian Creole,Zane Roskoph,2021-10-16T16:13:45Z
47251,Barracouda,und,"","",,Mauritian Creole,Zane Roskoph,2021-10-17T22:33:05Z
58612,Dame céré,und,"","",,Mauritian Creole,Zane Roskoph,2021-10-23T15:35:24Z
58612,Madanm séré,und,"","",,Mauritian Creole,Zane Roskoph,2021-10-23T15:35:45Z
58612,Monbrun,und,"","",,Mauritian Creole,Zane Roskoph,2021-10-23T15:36:37Z
121261,Laffe de fond,und,"","",,Mauritian Creole,Zane Roskoph,2021-10-29T17:28:55Z
49269,Boule tangue,und,"","",,Mauritian Creole,Zane Roskoph,2021-11-07T23:27:14Z
121661,Goffe,und,"","",,Mauritian Creole,Zane Roskoph,2021-12-28T15:21:34Z
523135,Laffe,und,"","",,Mauritian Creole,Zane Roskoph,2022-01-06T00:57:23Z
1316901,Laffe cinq doigts,und,"","",https://www.inaturalist.org/taxon_names/2820109/edit,Mauritian Creole,,2022-03-15T23:12:32Z
