id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
26686,Uo,myn,"","",,Maya,Carlos Galindo-Leal,2013-02-11T00:35:42Z
26684,Uo,myn,"","",,Maya,Carlos Galindo-Leal,2013-04-16T04:08:14Z
65860,múuch,myn,"","",,Maya,Ken-ichi Ueda,2013-05-07T23:57:27Z
23702,yaaxmuch,myn,"","",,Maya,Bobby McCabe,2013-05-08T00:00:04Z
23702,quech yaax,myn,"","",,Maya,Bobby McCabe,2013-05-08T00:00:18Z
65373,x-túuts´,myn,"","",,Maya,Ken-ichi Ueda,2013-05-08T00:00:43Z
65373,quech,myn,"","",,Maya,Ken-ichi Ueda,2013-05-08T00:00:55Z
24277,quech,myn,"","",,Maya,Bobby McCabe,2013-05-08T00:02:38Z
24277,x-túuts´,myn,"","",,Maya,Bobby McCabe,2013-05-08T00:02:40Z
67241,x-túuts´,myn,"","",,Maya,Ken-ichi Ueda,2013-05-08T00:02:47Z
67242,x-túuts´,myn,"","",,Maya,Ken-ichi Ueda,2013-05-08T00:02:53Z
67252,x-túuts´,myn,"","",,Maya,Bobby McCabe,2013-05-08T00:02:56Z
67252,quech,myn,"","",,Maya,Bobby McCabe,2013-05-08T00:03:00Z
24436,x-túuts´,myn,"","",,Maya,Ken-ichi Ueda,2013-05-08T00:03:08Z
22976,múuch,myn,"","",,Maya,Ken-ichi Ueda,2013-05-08T00:03:17Z
22951,múuch,myn,"","",,Maya,Ken-ichi Ueda,2013-05-08T00:03:21Z
25079,múuch,myn,"","",,Maya,Ken-ichi Ueda,2013-05-08T00:03:30Z
25185,chacmuch,myn,"","",,Maya,Ken-ichi Ueda,2013-05-08T00:03:56Z
25185,múuch,myn,"","",,Maya,Ken-ichi Ueda,2013-05-08T00:04:01Z
70725,x-túuts´,myn,"","",,Maya,Ken-ichi Ueda,2013-05-08T00:05:11Z
26686,múuch,myn,"","",,Maya,Ken-ichi Ueda,2013-05-08T00:05:44Z
26686,pochi,myn,"","",,Maya,Ken-ichi Ueda,2013-05-08T00:05:49Z
32093,káxab yuk,myn,"","",,Maya,Ken-ichi Ueda,2013-05-08T00:07:52Z
165750,Naab,myn,"","",,Maya,Carlos Galindo-Leal,2013-05-13T02:45:21Z
165750,Nicté-Ha,myn,"","",,Maya,Carlos Galindo-Leal,2013-05-13T03:20:33Z
43714,tzub,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T07:55:38Z
43712,cuatuza,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T07:55:39Z
43411,mash,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T07:55:39Z
42076,ch’amac,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T07:55:40Z
41970,Balam,myn,"","",,Maya,Bobby McCabe,2013-05-16T07:55:47Z
41673,t' soy,myn,"","",,Maya,Carlos Galindo-Leal,2013-05-16T07:56:36Z
41663,a’ka’bak,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T07:56:37Z
60284,acaxacahuistli,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T07:58:01Z
285011,aguja de tórtola,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T07:58:25Z
202748,ahoché,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T07:58:27Z
76225,ak'ab-yom,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T07:58:36Z
120490,ak'al-k'umché,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T07:58:36Z
275360,akam-xiu,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T07:58:36Z
161930,ak'il-makal,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T07:58:38Z
58387,ak'il-suuk,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T07:58:38Z
209957,amché,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T07:59:23Z
286836,amché,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T07:59:23Z
75602,analk'aak,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T07:59:34Z
170081,apaak,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T07:59:42Z
286019,Bab,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T08:00:23Z
79141,bahab-kan,myn,"","",,Maya,harum.koh,2013-05-16T08:00:25Z
276322,bajonche,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T08:00:26Z
276303,bakal-ché,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T08:00:26Z
209896,bakal-ché,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T08:00:26Z
273803,balamb-niktpe,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T08:00:27Z
286418,balam-té,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T08:00:27Z
283130,Balche ke,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T08:00:27Z
290491,balché-chi,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T08:00:27Z
131579,Ja´abin,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T08:00:39Z
84537,bauviak,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T08:00:44Z
76854,bayal-suuk,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T08:00:44Z
166911,beeb,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T08:00:45Z
201456,beek-roble,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T08:00:46Z
278607,bix-chemax,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T08:01:12Z
209893,boochín,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T08:02:32Z
284356,boochín,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T08:02:32Z
273721,box-chakah,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T08:02:37Z
281579,Boxk uuts,myn,"","",,Maya,Bodo Nuñez Oberg,2013-05-16T08:02:37Z
162903,box-ya'suuk,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T08:02:38Z
284363,bub-saak,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T08:02:42Z
278609,buiché,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T08:02:43Z
288462,bulum-ek'xiu,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T08:02:43Z
84194,buulchich,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T08:02:45Z
127936,canchak-ché,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T08:03:31Z
185026,canché,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T08:03:31Z
127681,cantsin,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T08:03:42Z
58371,canzuuc,myn,"","",,Maya,Austin R. Kelly,2013-05-16T08:03:43Z
209891,Ceibo,myn,"","",,Maya,Adrian Bojorquez,2013-05-16T08:04:40Z
62809,Ceibo,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T08:04:40Z
316762,ceibo,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T08:04:41Z
126244,chaak,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T08:04:46Z
164145,chaban-kan,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T08:04:47Z
59061,chab-xaan,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T08:04:48Z
130734,Chaca o chacah,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T08:04:48Z
126925,Chacalhaaz,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T08:04:49Z
210961,chacana,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T08:04:49Z
210071,chac'ox,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T08:04:51Z
62859,chac-pichi,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T08:04:51Z
286338,chakak,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T08:04:52Z
184824,chak-k'eu,myn,"","",,Maya,Ken-ichi Ueda,2013-05-16T08:04:53Z
