id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
62809,Yaxchè,und,"","",,Mayan (Yucatec),Carlos Galindo-Leal,2014-10-07T21:43:22Z
166921,Tsiiw che',und,"","",,Mayan (Yucatec),Carlos Galindo-Leal,2015-08-13T04:50:54Z
317382,Xpú,und,"","",,Mayan (Yucatec),Carlos Galindo-Leal,2016-06-30T03:32:42Z
286009,Toj yuub,und,"","",,Mayan (Yucatec),Carlos Galindo-Leal,2016-07-14T18:19:15Z
509025,Toh,und,"","",,Mayan (Yucatec),max kirsch,2017-11-27T20:10:07Z
166920,Ts'iuche,und,"Península de Yucatán, MX","",,Mayan (Yucatec),victornc,2017-12-26T14:07:27Z
281724,k'an lool; k'an ja' abin,und,"Península de Yucatán, MX","",,Mayan (Yucatec),victornc,2017-12-26T14:16:06Z
180366,Mu´ul kab,und,"","",,Mayan (Yucatec),Carlos Galindo-Leal,2018-05-29T13:48:34Z
308558,Pic,und,"","",,Mayan (Yucatec),Carlos Galindo-Leal,2018-06-26T19:20:51Z
773029,K'oxolaak,und,"","",,Mayan (Yucatec),Carlos Galindo-Leal,2018-08-22T17:28:11Z
47144,Peek',und,"","",,Mayan (Yucatec),John E. Christensen,2019-02-15T07:42:50Z
5562,Tz'unu'un,und,"","",,Mayan (Yucatec),John E. Christensen,2019-02-15T07:46:26Z
112960,Pech,und,"","",,Mayan (Yucatec),Gabriela Cuevas,2019-03-11T23:12:59Z
1065410,Kitam che',und,"","",https://www.inaturalist.org/taxon_names/820104/edit,Mayan (Yucatec),,2020-04-05T22:07:28Z
